CODMUNOCOR,SUICIDES
315710,1
315720,3
315725,1
315730,1
315770,1
315780,16
315800,2
315820,1
315830,1
315850,2
315895,1
315900,1
315920,2
315960,2
315990,1
316040,3
316060,1
316070,2
316080,1
316105,2
316110,3
316130,1
316140,1
316150,1
316180,1
316190,2
316210,1
316240,1
316245,5
316250,9
316255,1
316260,1
316270,1
316290,2
316292,1
316294,1
316350,1
316370,8
316380,1
316400,1
316430,2
316443,1
316450,1
316460,1
316470,15
316480,2
316490,1
316500,2
316520,1
316530,1
316540,1
316553,2
316557,2
316580,1
316590,1
316620,1
316660,1
316670,1
316680,2
316690,4
316695,1
316720,17
316750,1
316760,2
316790,2
316800,1
316810,1
316840,1
316860,13
316870,4
316890,2
316900,2
316905,1
316910,2
316930,7
316935,4
316940,2
316970,1
316980,1
316990,6
317000,1
317010,10
317020,48
317040,4
317050,1
317052,2
317070,10
317080,3
317090,1
317103,1
317115,1
317120,6
317130,9
317170,4
317180,2
317200,4
317220,1
320010,4
320020,1
320030,1
320060,3
320080,4
320090,5
320115,2
320120,10
320130,18
320140,1
320150,5
320170,1
320180,1
320190,1
320210,2
320220,1
320230,2
320240,5
320245,2
320250,1
320260,1
320265,1
320270,1
320280,1
320290,1
320300,3
320305,2
320320,12
320334,1
320335,1
320360,1
320370,2
320380,1
320390,3
320400,1
320405,2
320425,1
320435,1
320440,1
320450,1
320455,6
320460,4
320470,1
320490,6
320495,1
320500,26
320501,3
320503,1
320506,4
320510,3
320515,1
320517,2
320520,12
320530,30
330010,8
330015,2
330020,6
330023,3
330040,12
330045,8
330050,1
330060,1
330070,11
330080,5
330090,1
330095,1
330100,23
330110,2
330115,1
330130,1
330150,1
330160,1
330170,27
330185,2
330187,4
330190,7
330200,3
330220,3
330225,4
330227,3
330230,2
330240,11
330250,9
330270,4
330285,2
330300,2
330320,3
330330,25
330340,11
330350,13
330390,11
330395,1
330411,2
330414,2
330415,1
330420,4
330430,1
330440,2
330452,6
330455,257
330460,1
330475,7
330490,32
330500,4
330510,11
330515,2
330520,6
330530,1
330540,3
330550,1
330555,1
330560,1
330575,1
330580,11
330600,2
330610,2
330620,2
330630,9
350010,6
350030,1
350050,1
350055,1
350070,7
350075,1
350080,2
350090,1
350100,3
350120,1
350130,1
350160,11
350170,2
350190,8
350210,3
350230,1
350250,2
350270,5
350280,17
350320,12
350330,12
350370,1
350380,2
350390,9
350400,7
350410,12
350420,2
350450,9
350460,1
350470,1
350490,1
350520,1
350530,2
350550,15
350560,2
350570,15
350590,3
350600,32
350610,2
350630,4
350635,2
350650,4
350670,1
350690,2
350700,3
350750,11
350760,19
350790,2
350800,2
350840,3
350850,1
350860,1
350870,1
350890,1
350900,5
350910,1
350920,5
350925,2
350940,2
350950,67
350960,8
350970,1
350980,1
351020,2
351040,3
351050,9
351060,19
351070,3
351080,2
351110,12
351140,3
351150,1
351160,1
351220,2
351240,2
351270,1
351280,3
351300,14
351310,1
351320,1
351330,1
351340,8
351350,3
351360,2
351380,21
351410,4
351430,1
351440,2
351450,1
351480,1
351490,1
351500,1
351510,2
351515,3
351518,6
351520,1
351550,6
351570,9
351600,1
351620,22
351630,6
351640,3
351670,3
351690,1
351700,2
351710,1
351740,3
351770,1
351810,1
351840,5
351850,1
351860,2
351870,11
351880,45
351885,1
351890,1
351907,10
351910,1
351925,2
351930,2
351960,5
351970,9
352010,4
352020,1
352030,1
352044,2
352050,9
352080,1
352100,2
352110,1
352140,2
352160,1
352170,2
352180,4
352190,1
352200,1
352210,12
352220,4
352230,18
352240,8
352250,6
352260,17
352270,5
352280,1
352310,16
352320,7
352340,6
352350,5
352360,1
352390,7
352400,2
352410,4
352430,5
352440,18
352460,1
352470,2
352480,4
352500,3
352510,2
352520,2
352530,13
352570,2
352580,1
352590,22
352620,1
352640,1
352670,4
352680,2
352690,31
352710,5
352720,8
352730,3
352760,1
352800,1
352840,4
352850,6
352900,20
352920,2
352930,2
352940,10
352970,1
352980,1
352990,1
353030,1
353050,4
353060,35
353070,12
353080,5
353090,1
353110,6
353130,3
353140,1
353150,3
353160,1
353180,3
353190,1
353200,1
353205,1
353240,1
353260,1
353340,1
353350,2
353390,2
353430,1
353440,35
353460,1
353470,11
353480,1
353490,2
353510,1
353520,1
353530,1
353540,1
353550,1
353560,1
353600,1
353620,6
353640,2
353650,5
353670,3
353680,1
353700,1
353710,4
353730,10
353760,4
353780,6
353800,8
353810,1
353820,1
353830,1
353850,2
353860,2
353870,24
353880,5
353890,4
353910,1
353920,1
353930,3
353950,3
353980,2
354000,1
354010,1
354020,5
354040,1
354060,6
354070,5
354075,1
354080,2
354100,24
354105,1
354120,1
354130,3
354140,10
354150,4
354160,5
354165,1
354220,1
354240,1
354250,1
354260,1
354290,2
354300,2
354310,1
354325,1
354330,3
354340,55
354390,15
354400,2
354410,1
354420,1
354425,3
354460,1
354490,2
354500,1
354520,5
354530,3
354540,1
354560,3
354580,5
354600,1
354610,1
354630,1
354640,3
354650,1
354660,1
354670,1
354680,3
354690,1
354730,7
354750,2
354770,2
354780,35
354790,3
354800,2
354805,2
354850,28
354860,4
354870,37
354880,6
354890,16
354910,7
354920,1
354930,1
354950,3
354960,2
354970,6
354980,29
354990,20
354995,1
355000,2
355010,3
355030,445
355040,2
355060,10
355070,7
355080,1
355090,2
355100,8
355110,3
355120,1
355130,1
355140,1
355150,4
355160,1
355170,9
355180,2
355210,1
355220,43
355240,8
355250,18
355270,2
355280,7
355300,1
355330,2
355340,1
355365,1
355370,6
355380,6
355385,1
355400,10
355410,12
355430,1
355480,2
355495,1
355500,6
355510,3
355520,1
355540,6
355580,2
355610,1
355620,5
355630,1
355645,3
355650,4
355670,3
355680,1
355700,5
355710,11
355720,2
410010,1
410040,5
410050,1
410090,1
410100,3
410130,1
410140,13
410150,10
410180,13
410190,2
410200,2
410210,2
410230,1
410240,1
410250,3
410275,1
410290,1
410304,2
410305,3
410335,1
410337,1
410340,1
410345,2
410350,2
410360,1
410370,4
410400,4
410410,1
410420,8
410425,2
410430,8
410440,2
410445,5
410450,3
410460,2
410480,18
410490,4
410510,1
410530,2
410540,2
410550,8
410560,1
410570,1
410580,9
410590,1
410610,1
410620,3
410630,2
410640,5
410660,1
410680,2
410690,99
410720,3
410725,2
410730,1
410754,2
410755,1
410760,3
410765,7
410770,1
410773,1
410800,1
410820,1
410830,16
410840,16
410860,2
410865,1
410870,1
410880,4
410890,1
410895,2
410900,1
410920,1
410930,3
410940,19
410960,7
410970,2
410980,3
411000,1
411005,1
411007,1
411010,3
411020,2
411050,1
411060,1
411070,6
411080,1
411110,2
411120,1
411125,2
411140,1
411150,5
411180,4
411200,3
411210,4
411220,1
411250,1
411270,1
411275,1
411280,3
411295,2
411320,3
411330,7
411342,1
411370,50
411390,3
411410,1
411420,1
411430,1
411435,1
411440,1
411450,1
411460,8
411470,1
411480,2
411520,23
411530,1
411560,1
411570,4
411575,2
411580,8
411620,3
411640,1
411690,3
411720,1
411722,1
411725,2
411750,3
411760,6
411770,2
411790,1
411800,2
411810,1
411820,3
411840,1
411850,13
411880,1
411890,1
411900,1
411915,3
411930,4
411940,1
411950,7
411980,3
411990,20
411995,1
412015,1
412035,2
412040,1
412060,6
412070,1
412080,1
412090,3
412110,1
412120,1
412130,1
412135,1
412140,1
412150,1
412160,2
412170,4
412200,2
412210,1
412220,1
412230,2
412240,6
412250,1
412260,1
412280,1
412340,1
412350,1
412380,1
412385,2
412400,1
412402,1
412405,1
412410,1
412440,3
412470,1
412520,1
412535,1
412540,1
412545,1
412550,11
412560,6
412570,2
412620,1
412625,12
412630,1
412660,2
412680,1
412690,2
412710,1
412740,2
412750,2
412770,13
412785,5
412788,1
412796,1
412810,7
412820,10
412840,2
412850,4
412860,2
412865,1
420010,3
420020,2
420030,2
420050,1
420060,1
420100,3
420125,2
420127,1
420130,3
420140,18
420150,1
420180,1
420190,1
420195,1
420200,14
420207,2
420208,1
420209,1
420210,3
420213,2
420230,6
420240,43
420243,1
420253,1
420260,2
420280,9
420285,1
420287,1
420290,8
420300,10
420320,3
420330,1
420360,8
420370,1
420380,8
420390,2
420395,3
420400,1
420420,18
420430,17
420435,1
420440,2
420455,1
420460,25
420470,2
420480,6
420515,1
420520,1
420530,3
420540,49
420545,3
420550,1
420570,4
420590,6
420610,1
420620,3
420630,2
420650,2
420660,1
420665,1
420670,3
420680,2
420690,5
420700,6
420710,2
420720,1
420730,4
420750,8
420760,1
420768,1
420770,2
420780,1
420800,2
420810,3
420820,20
420830,1
420840,1
420845,1
420850,6
420870,2
420880,2
420890,16
420900,2
420910,53
420915,1
420930,10
420940,4
420960,1
420970,2
420990,2
421003,1
421010,7
421020,1
421030,2
421050,2
421060,7
421080,3
421090,1
421100,5
421120,1
421125,1
421130,5
421140,1
421160,1
421165,1
421170,3
421175,2
421185,2
421189,1
421190,14
421200,4
421210,7
421220,1
421225,2
421240,1
421250,5
421270,2
421280,2
421290,1
421310,1
421315,1
421320,5
421350,1
421360,4
421370,3
421380,1
421390,1
421400,5
421420,1
421470,3
421480,8
421500,6
421507,2
421510,1
421530,1
421535,1
421550,1
421567,1
421569,1
421570,1
421580,11
421590,1
421600,1
421605,1
421620,1
421625,1
421630,1
421650,4
421660,16
421670,4
421680,4
421690,4
421700,1
421710,2
421720,2
421725,3
421730,1
421740,1
421750,2
421755,1
421770,7
421780,2
421800,3
421820,1
421825,1
421850,1
421860,1
421870,7
421875,1
421880,1
421890,1
421900,1
421920,1
421930,11
421940,1
421950,8
421960,1
421970,3
421985,1
422000,2
430005,2
430010,4
430020,3
430030,1
430040,10
430045,4
430047,2
430050,1
430055,1
430060,15
430063,1
430066,2
430085,1
430100,5
430105,3
430110,1
430120,1
430130,2
430140,2
430160,10
430163,1
430165,1
430170,1
430175,1
430180,1
430185,1
430190,1
430200,2
430210,15
430215,1
430220,1
430225,1
430230,1
430235,2
430240,2
430245,2
430260,1
430270,4
430280,2
430300,9
430310,11
430320,1
430330,2
430340,1
430350,8
430390,5
430400,1
430420,10
430430,1
430440,6
430450,6
430460,23
430463,4
430466,1
430467,1
430468,2
430469,1
430470,6
430480,2
430485,2
430495,1
430510,48
430517,2
430520,3
430530,2
430535,2
430543,1
430545,3
430590,1
430595,3
430600,2
430607,1
430610,10
430620,1
430632,1
430640,4
430650,1
430660,9
430670,1
430673,3
430676,5
430680,2
430690,8
430697,1
430700,15
430705,1
430710,1
430720,2
430730,1
430740,2
430745,2
430750,2
430760,1
430770,9
430780,4
430781,1
430783,1
430786,1
430790,3
430805,1
430810,3
430820,3
430830,1
430840,2
430843,1
430845,3
430850,5
430860,2
430865,1
430870,2
430880,4
430885,1
430890,4
430900,3
430910,7
430912,2
430915,1
430920,18
430925,1
430930,15
430940,3
430950,3
430955,1
430960,2
430990,1
431000,3
431010,3
431020,14
431033,5
431040,2
431043,2
431046,1
431050,3
431053,3
431057,1
431060,4
431080,4
431085,2
431090,1
431100,3
431110,1
431113,2
431115,1
431120,4
431125,1
431130,3
431140,14
431160,1
431162,1
431170,1
431175,3
431180,9
431190,2
431200,1
431213,2
431215,2
431220,1
431237,1
431240,5
431245,1
431247,1
431250,1
431260,1
431261,1
431262,1
431265,2
431270,2
431275,2
431290,3
431300,1
431303,1
431306,4
431320,3
431330,5
431335,1
431337,1
431340,21
431342,1
431349,1
431350,2
431360,2
431365,4
431370,6
431380,2
431390,5
431395,2
431405,3
431406,1
431410,31
431415,1
431430,1
431440,50
431445,2
431447,2
431450,3
431454,1
431460,4
431470,3
431475,2
431477,1
431480,4
431490,121
431500,4
431510,2
431513,1
431514,1
431517,1
431520,1
431530,2
431540,2
431560,31
431570,2
431580,6
431600,1
431610,1
431620,1
431630,5
431640,11
431643,1
431645,1
431647,1
431660,3
431670,1
431675,2
431680,24
431690,39
431695,1
431697,1
431700,2
431710,10
431720,16
431730,4
431740,5
431750,10
431755,1
431760,4
431770,2
431790,2
431800,5
431805,1
431810,4
431820,5
431830,5
431840,4
431842,1
431845,1
431848,1
431849,1
431850,2
431860,2
431862,1
431870,17
431880,5
431900,3
431912,1
431915,1
431920,1
431930,4
431935,1
431937,1
431940,2
431950,4
431960,4
431975,1
431980,1
431990,6
432000,6
432010,3
432020,1
432026,1
432030,2
432035,1
432040,2
432050,1
432055,1
432067,4
432070,1
432080,5
432085,1
432090,3
432100,1
432120,7
432130,3
432135,1
432140,1
432145,3
432149,1
432150,4
432160,8
432162,1
432166,1
432170,5
432180,4
432190,3
432195,1
432200,3
432215,2
432220,1
432232,1
432240,17
432250,13
432252,4
432253,4
432255,1
432260,23
432270,4
432280,1
432285,1
432300,21
432310,1
432320,2
432335,1
432360,1
432377,1
432380,1
500025,1
500060,7
500080,1
500090,4
500110,5
500124,2
500190,1
500200,1
500210,2
500220,1
500240,2
500260,2
500270,73
500280,1
500290,3
500295,4
500310,3
500315,4
500320,7
500325,2
500330,1
500345,4
500348,3
500370,32
500375,2
500430,5
500440,3
500450,2
500460,2
500470,4
500500,1
500515,1
500525,5
500540,3
500570,4
500580,2
500600,2
500620,5
500625,1
500630,8
500635,5
500640,1
500660,8
500690,1
500720,2
500740,1
500755,1
500769,1
500790,1
500793,1
500795,1
500800,1
500830,18
