"CID10","OPC","CAT","SUBCAT","DESCR","RESTRSEXO"
"A242","","N","S","A24.2 Melioidose subaguda e cronica","5"
"A243","","N","S","A24.3 Outr melioidoses","5"
"A244","","N","S","A24.4 Melioidose NE","5"
"A25","","S","N","A25   Febres transm p/mordedura de rato","5"
"A250","","N","S","A25.0 Espirilose","5"
"A251","","N","S","A25.1 Estreptobacilose","5"
"A259","","N","S","A25.9 Febre transm p/mordedura de rato tipo NE","5"
"A26","","S","N","A26   Erisipeloide","5"
"A260","","N","S","A26.0 Erisipeloide cutaneo","5"
"A267","","N","S","A26.7 Septicemia p/Erysipelothrix","5"
"A268","","N","S","A26.8 Outr form de erisipeloide","5"
"A269","","N","S","A26.9 Erisipeloide NE","5"
"A27","","S","N","A27   Leptospirose","5"
"A270","","N","S","A27.0 Leptopirose icterohemorragica","5"
"A278","","N","S","A27.8 Outr form de leptospirose","5"
"A279","","N","S","A27.9 Leptospirose NE","5"
"A28","","S","N","A28   Outr doenc bacter zoonoticas NCOP","5"
"A280","","N","S","A28.0 Pasteurelose","5"
"A281","","N","S","A28.1 Doenc p/arranhadura do gato","5"
"A282","","N","S","A28.2 Yersiniose extra-intestinal","5"
"A288","","N","S","A28.8 Outr doenc bacter zoonoticas espec NCOP","5"
"A289","","N","S","A28.9 Doenc bacter zoonotica NE","5"
"A30","","S","N","A30   Hanseniase","5"
"A300","","N","S","A30.0 Hanseniase indeterminada","5"
"A301","","N","S","A30.1 Hanseniase tuberculoide","5"
"A302","","N","S","A30.2 Hanseniase tuberculoide borderline","5"
"A303","","N","S","A30.3 Hanseniase dimorfa","5"
"A304","","N","S","A30.4 Hanseniase lepromatosa borderline","5"
"A305","","N","S","A30.5 Hanseniase lepromatosa","5"
"A308","","N","S","A30.8 Outr form de hanseniase","5"
"A309","","N","S","A30.9 Hanseniase NE","5"
"A31","","S","N","A31   Infecc dev outr micobacterias","5"
"A310","","N","S","A31.0 Infecc pulmonar micobacteriana","5"
"A311","","N","S","A31.1 Infecc cutanea micobacteriana","5"
"A318","","N","S","A31.8 Outr infecc micobacterianas","5"
"A319","","N","S","A31.9 Infecc micobacteriana NE","5"
"A32","","S","N","A32   Listeriose","5"
"A320","","N","S","A32.0 Listeriose cutanea","5"
"A321","+","N","S","A32.1 Meningite e meningoencefalite p/listeria","5"
"A327","","N","S","A32.7 Septicemia listeriotica","5"
"A328","","N","S","A32.8 Outr form de listeriose","5"
"A329","","N","S","A32.9 Listeriose NE","5"
"A33","","S","S","A33   Tetano do recem-nascido","5"
"A34","","S","S","A34   Tetano obstetrico","3"
"A35","","S","S","A35   Outr tipos de tetano","5"
"A36","","S","N","A36   Difteria","5"
"A360","","N","S","A36.0 Difteria faringea","5"
"A361","","N","S","A36.1 Difteria nasofaringea","5"
"A362","","N","S","A36.2 Difteria laringea","5"
"A363","","N","S","A36.3 Difteria cutanea","5"
"A368","","N","S","A36.8 Outr form de difteria","5"
"A369","","N","S","A36.9 Difteria NE","5"
"A37","","S","N","A37   Coqueluche","5"
"A370","","N","S","A37.0 Coqueluche p/Bordetella pertussis","5"
"A371","","N","S","A37.1 Coqueluche p/Bordetella parapertussis","5"
"A378","","N","S","A37.8 Coqueluche p/outr especies da Bordetella","5"
"A379","","N","S","A37.9 Coqueluche NE","5"
"A38","","S","S","A38   Escarlatina","5"
"A39","","S","N","A39   Infecc meningogocica","5"
"A390","+","N","S","A39.0 Meningite meningococica","5"
"A391","+","N","S","A39.1 Sindr de Waterhouse-Friderichsen","5"
"A392","","N","S","A39.2 Meningococcemia aguda","5"
"A393","","N","S","A39.3 Meningococcemia cronica","5"
"A394","","N","S","A39.4 Meningococcemia NE","5"
"A395","+","N","S","A39.5 Cardite p/meningococos","5"
"A398","","N","S","A39.8 Outr infecc p/meningococos","5"
"A399","","N","S","A39.9 Infecc meningococica NE","5"
"A40","","S","N","A40   Septicemia estreptococica","5"
"A400","","N","S","A40.0 Septicemia p/Streptococcus do grupo A","5"
"A401","","N","S","A40.1 Septicemia p/Streptococcus do grupo B","5"
"A402","","N","S","A40.2 Septicemia p/Streptococcus do grupo D","5"
"A403","","N","S","A40.3 Septicemia p/Streptococcus pneumonia","5"
"A408","","N","S","A40.8 Outr septicemias estreptococicas","5"
"A409","","N","S","A40.9 Septicemia estreptococica NE","5"
"A41","","S","N","A41   Outr septicemias","5"
"A410","","N","S","A41.0 Septicemia p/Staphylococcus aureus","5"
"A411","","N","S","A41.1 Septicemia p/outr estafilococos espec","5"
"A412","","N","S","A41.2 Septicemia p/estafilococos NE","5"
"A413","","N","S","A41.3 Septicemia p/Haemophilus influenzae","5"
"A414","","N","S","A41.4 Septicemia p/anaerobios","5"
"A415","","N","S","A41.5 Septicemia p/outr microorg gram-negativos","5"
"A418","","N","S","A41.8 Outr septicemias espec","5"
"A419","","N","S","A41.9 Septicemia NE","5"
"A42","","S","N","A42   Actinomicose","5"
"A420","","N","S","A42.0 Actinomicose pulmonar","5"
"A421","","N","S","A42.1 Actinomicose abdominal","5"
"A422","","N","S","A42.2 Actinomicose cervicofacial","5"
"A427","","N","S","A42.7 Septicemia actinomicotica","5"
"A428","","N","S","A42.8 Outr form de actinomicose","5"
"A429","","N","S","A42.9 Actinomicose NE","5"
"A43","","S","N","A43   Nocardiose","5"
"A430","","N","S","A43.0 Nocardiose pulmonar","5"
"A431","","N","S","A43.1 Nocardiose cutanea","5"
"A438","","N","S","A43.8 Outr form de nocardiose","5"
"A439","","N","S","A43.9 Nocardiose NE","5"
"A44","","S","N","A44   Bartonelose","5"
"A440","","N","S","A44.0 Bartonelose sistemica","5"
"A441","","N","S","A44.1 Bartonelose cutanea e cutaneo-mucosa","5"
"A448","","N","S","A44.8 Outr form de bartonelose","5"
"A449","","N","S","A44.9 Bartonelose NE","5"
"A46","","S","S","A46   Erisipela","5"
"A48","","S","N","A48   Outr doenc bacter NCOP","5"
"A480","","N","S","A48.0 Gangrena gasosa","5"
"A481","","N","S","A48.1 Doenc dos legionarios","5"
"A482","","N","S","A48.2 Doenc dos legionarios nao-pneumonica","5"
"A483","","N","S","A48.3 Sindr do choque toxico","5"
"A484","","N","S","A48.4 Febre purpurica do Brasil","5"
"A488","","N","S","A48.8 Outr doenc bacter espec","5"
"A49","","S","N","A49   Infecc bacter de local NE","5"
"A490","","N","S","A49.0 Infecc estafilococica NE","5"
"A491","","N","S","A49.1 Infecc estreptococica NE","5"
"A492","","N","S","A49.2 Infecc p/Haemophilus influenzae NE","5"
"A493","","N","S","A49.3 Infecc p/Mycoplasma NE","5"
"A498","","N","S","A49.8 Outr infecc bacter de localiz NE","5"
"A499","","N","S","A49.9 Infecc bacter NE","5"
"A50","","S","N","A50   Sifilis congen","5"
"A500","","N","S","A50.0 Sifilis congen precoce sintomatica","5"
"A501","","N","S","A50.1 Sifilis congen precoce form latente","5"
"A502","","N","S","A50.2 Sifilis congen precoce NE","5"
"A503","","N","S","A50.3 Oculopatia sifilitica congen tard","5"
"A504","","N","S","A50.4 Neurossifilis congen tard","5"
"A505","","N","S","A50.5 Outr form tard e sintomat sifilis congen","5"
"A506","","N","S","A50.6 Sifilis congen tard latente","5"
"A507","","N","S","A50.7 Sifilis congen tard NE","5"
"A509","","N","S","A50.9 Sifilis congen NE","5"
"A51","","S","N","A51   Sifilis precoce","5"
"A510","","N","S","A51.0 Sifilis genital prim","5"
"A511","","N","S","A51.1 Sifilis anal prim","5"
"A512","","N","S","A51.2 Sifilis prim de outr localiz","5"
"A513","","N","S","A51.3 Sifilis secund da pele e das mucosas","5"
"A514","","N","S","A51.4 Outr form de sifilis secund","5"
"A515","","N","S","A51.5 Sifilis precoce latente","5"
"A519","","N","S","A51.9 Sifilis precoce NE","5"
"A52","","S","N","A52   Sifilis tard","5"
"A520","+","N","S","A52.0 Sifilis cardiovascular","5"
"A521","","N","S","A52.1 Neurossifilis sintomatica","5"
"A522","","N","S","A52.2 Neurossifilis assintomatica","5"
"A523","","N","S","A52.3 Neurossifilis NE","5"
"A527","","N","S","A52.7 Outr form de sifilis tard sintomatica","5"
"A528","","N","S","A52.8 Sifilis tard latente","5"
"A529","","N","S","A52.9 Sifilis tard NE","5"
"A53","","S","N","A53   Outr form e as NE da sifilis","5"
"A530","","N","S","A53.0 Sifilis latente NE se recente ou tard","5"
"A539","","N","S","A53.9 Sifilis NE","5"
"A54","","S","N","A54   Infecc gonococica","5"
"A540","","N","S","A54.0 Inf gon tr genit inf s/abs periur/gland aces","5"
"A541","","N","S","A54.1 Inf gon tr genit inf c/abs periur/gland aces","5"
"A542","+","N","S","A54.2 Pelviperit gonoc e outr infecc genitur gonoc","5"
"A543","","N","S","A54.3 Infecc gonococica do olho","5"
"A544","+","N","S","A54.4 Infecc gonococica sist musculo-esqueletico","5"
"A545","","N","S","A54.5 Faringite gonococica","5"
"A546","","N","S","A54.6 Infecc gonococica do anus ou do reto","5"
"A548","","N","S","A54.8 Outr infecc gonococicas","5"
"A549","","N","S","A54.9 Infecc gonococica NE","5"
"A55","","S","S","A55   Linfogranuloma p/clamidia","5"
"A56","","S","N","A56   Outr infecc p/clamidias transm p/via sexual","5"
"A560","","N","S","A56.0 Infecc p/clamidias trato geniturinario infer","5"
"A561","+","N","S","A56.1 Infecc p/clamid pelviper e outr org genitur","5"
"A562","","N","S","A56.2 Infecc p/clamidias trato genitur localiz NE","5"
"A563","","N","S","A56.3 Infecc do anus e do reto p/clamidias","5"
"A564","","N","S","A56.4 Infecc da faringe p/clamidias","5"
"A568","","N","S","A56.8 Infecc p/clamid transm p/via sex outr local","5"
"A57","","S","S","A57   Cancro mole","5"
"A58","","S","S","A58   Granuloma inguinal","5"
"A59","","S","N","A59   Tricomoniase","5"
"A590","","N","S","A59.0 Tricomoniase urogenital","5"
"A598","","N","S","A59.8 Outr localiz de tricomoniase","5"
"A599","","N","S","A59.9 Tricomoniase NE","5"
"A60","","S","N","A60   Infecc anogenitais p/virus do herpes","5"
"A600","","N","S","A60.0 Infecc org genit trat genitur p/virus herpes","5"
"A601","","N","S","A60.1 Infecc margem cutan anus/reto p/virus herpes","5"
"A609","","N","S","A60.9 Infecc anogenital NE p/virus do herpes","5"
"A63","","S","N","A63   Outr doenc de transm predom sexual NCOP","5"
"A630","","N","S","A63.0 Verrugas anogenitais","5"
"A638","","N","S","A63.8 Outr doenc espec de transm predom sexual","5"
"A64","","S","S","A64   Doenc sexualmente transm NE","5"
"A65","","S","S","A65   Sifilis nao-venerea","5"
"A66","","S","N","A66   Bouba","5"
"A660","","N","S","A66.0 Lesoes iniciais da bouba","5"
"A661","","N","S","A66.1 Papilomas mult e bouba plantar umida","5"
"A662","","N","S","A66.2 Outr lesoes cutaneas precoces da bouba","5"
"A663","","N","S","A66.3 Hiperceratose dev bouba","5"
"A664","","N","S","A66.4 Gomas e ulceras dev bouba","5"
"A665","","N","S","A66.5 Gangosa","5"
"A666","","N","S","A66.6 Lesoes osteoarticulares dev bouba","5"
"A667","","N","S","A66.7 Outr manifestacoes da bouba","5"
"A668","","N","S","A66.8 Bouba latente","5"
"A669","","N","S","A66.9 Bouba NE","5"
"A67","","S","N","A67   Pinta","5"
"A670","","N","S","A67.0 Lesoes prim da pinta","5"
"A671","","N","S","A67.1 Lesoes intermediarias da pinta","5"
"A672","","N","S","A67.2 Lesoes tard da pinta","5"
"A673","","N","S","A67.3 Lesoes mistas da pinta","5"
"A679","","N","S","A67.9 Pinta NE","5"
"A68","","S","N","A68   Febres recorrentes","5"
"A680","","N","S","A68.0 Febre recorrente transm p/piolhos","5"
"A681","","N","S","A68.1 Febre recorrente transm p/carrapatos","5"
"A689","","N","S","A68.9 Febre recorrente NE","5"
"A69","","S","N","A69   Outr infecc p/espiroquetas","5"
"A690","","N","S","A69.0 Estomatite ulcerativa necrotizante","5"
"A691","","N","S","A69.1 Outr infecc de Vincent","5"
"A692","","N","S","A69.2 Doenc de Lyme","5"
"A698","","N","S","A69.8 Outr infecc espec p/espiroquetas","5"
"A699","","N","S","A69.9 Infecc p/espiroqueta NE","5"
"A70","","S","S","A70   Infecc causadas p/Clamidia psittaci","5"
"A71","","S","N","A71   Tracoma","5"
"A710","","N","S","A71.0 Fase inicial do tracoma","5"
"A711","","N","S","A71.1 Fase ativa do tracoma","5"
"A719","","N","S","A71.9 Tracoma NE","5"
"A74","","S","N","A74   Outr doenc causadas p/Clamidias","5"
"A740","+","N","S","A74.0 Conjuntivite causada p/clamidias","5"
"A748","","N","S","A74.8 Outr doenc causadas p/clamidias","5"
"A749","","N","S","A74.9 Infecc causada p/clamidias NE","5"
"A75","","S","N","A75   Tifo exantematico","5"
"A750","","N","S","A75.0 Tifo epidem transm p/piolhos R. prowazekii","5"
"A751","","N","S","A75.1 Tifo recrudescente","5"
"A752","","N","S","A75.2 Tifo p/Rickettsia typhi","5"
"A753","","N","S","A75.3 Tifo p/Rickettsia tsutsugamuchi","5"
"A759","","N","S","A75.9 Tifo NE","5"
"A77","","S","N","A77   Febre maculosa","5"
"A770","","N","S","A77.0 Febre maculosa p/Rickettsia richettsii","5"
"A771","","N","S","A77.1 Febre maculosa p/Rickettsia conorii","5"
"A772","","N","S","A77.2 Febre maculosa dev Rickettsia siberica","5"
"A773","","N","S","A77.3 Febre maculosa dev Rickettsia australis","5"
"A778","","N","S","A77.8 Outr febres maculosas","5"
"A779","","N","S","A77.9 Febre maculosa NE","5"
"A78","","S","S","A78   Febre Q","5"
"A79","","S","N","A79   Outr rickettsioses","5"
"A790","","N","S","A79.0 Febre das trincheiras","5"
"A791","","N","S","A79.1 Rickettsiose variceliforme dev R.akari","5"
"A798","","N","S","A79.8 Outr tipos de rickettsioses espec","5"
"A799","","N","S","A79.9 Rickettsiose NE","5"
"A80","","S","N","A80   Poliomielite aguda","5"
"A800","","N","S","A80.0 Poliomielite paral aguda assoc virus vacinal","5"
"A801","","N","S","A80.1 Poliomiel paral aguda virus selvagem import","5"
"A802","","N","S","A80.2 Poliomiel paral aguda virus selvagem indig","5"
"A803","","N","S","A80.3 Poliomielites paraliticas agudas outr e NE","5"
"A804","","N","S","A80.4 Poliomielite aguda nao-paralitica","5"
"A809","","N","S","A80.9 Poliomielite aguda NE","5"
"A81","","S","N","A81   Infecc p/virus atipico sist nervoso central","5"
"A810","","N","S","A81.0 Doenc de Creutzfeldt-Jakob","5"
"A811","","N","S","A81.1 Panencefalite esclerosante subaguda","5"
"A812","","N","S","A81.2 Leucoencefalopatia multifocal progressiva","5"
"A818","","N","S","A81.8 Outr infecc p/virus atipic sist nerv central","5"
"A819","","N","S","A81.9 Infecc NE sist nerv central p/virus atipico","5"
"A82","","S","N","A82   Raiva","5"
"A820","","N","S","A82.0 Raiva silvestre","5"
"A821","","N","S","A82.1 Raiva urbana","5"
"A829","","N","S","A82.9 Raiva NE","5"
"A83","","S","N","A83   Encefalite p/virus transm p/mosquitos","5"
"A830","","N","S","A83.0 Encefalite japonesa","5"
"A831","","N","S","A83.1 Encefalite equina ocidental","5"
"A832","","N","S","A83.2 Encefalite equina oriental","5"
"A833","","N","S","A83.3 Encefalite de St. Louis","5"
"A834","","N","S","A83.4 Encefalite australiana","5"
"A835","","N","S","A83.5 Encefalite da California","5"
"A836","","N","S","A83.6 Doenc p/virus de Rocio","5"
"A838","","N","S","A83.8 Outr encefalites p/virus transm p/mosquitos","5"
"A839","","N","S","A83.9 Encefalite NE p/virus transm p/mosquitos","5"
"A84","","S","N","A84   Encefalite p/virus transm p/carrapatos","5"
"A840","","N","S","A84.0 Encefalite da taiga","5"
"A841","","N","S","A84.1 Encefalite Europa Central transm p/carrapato","5"
"A848","","N","S","A84.8 Outr encefalites p/virus transm p/carrapatos","5"
"A849","","N","S","A84.9 Encefalite NE p/virus transm p/carrapatos","5"
"A85","","S","N","A85   Outr encefalites virais NCOP","5"
"A850","+","N","S","A85.0 Encefalite p/enterovirus","5"
"A851","+","N","S","A85.1 Encefalite p/adenovirus","5"
"A852","","N","S","A85.2 Encefalite p/virus transm p/artropodes NE","5"
"A858","","N","S","A85.8 Outr encefalites virais espec","5"
"A86","","S","S","A86   Encefalite viral NE","5"
"A87","","S","N","A87   Meningite viral","5"
"A870","+","N","S","A87.0 Meningite p/enterovirus","5"
"A871","+","N","S","A87.1 Meningite p/adenovirus","5"
"A872","","N","S","A87.2 Coriomeningite linfocitaria","5"
"A878","","N","S","A87.8 Outr meningites virais","5"
"A879","","N","S","A87.9 Meningite viral NE","5"
"A88","","S","N","A88   Outr infecc virais sist nervoso central NCOP","5"
"A880","","N","S","A88.0 Febre exantematica p/enterovirus","5"
"A881","","N","S","A88.1 Vertigem epidemica","5"
"A888","","N","S","A88.8 Outr infecc virais espec sist nerv central","5"
"A89","","S","S","A89   Infecc virais NE do sist nervoso central","5"
"A90","","S","S","A90   Dengue","5"
"A91","","S","S","A91   Febre hemorragica dev virus do dengue","5"
"A92","","S","N","A92   Outr febres virais transm p/mosquitos","5"
"A920","","N","S","A92.0 Febre de Chikungunya","5"
"A921","","N","S","A92.1 Febre de Onyong-nyong","5"
"A922","","N","S","A92.2 Febre equina venezuelana","5"
"A923","","N","S","A92.3 Febre p/virus West Nile","5"
"A924","","N","S","A92.4 Febre do vale do Rift","5"
"A928","","N","S","A92.8 Outr febres virais espec transm p/mosquitos","5"
"A929","","N","S","A92.9 Febre viral transm p/mosquitos NE","5"
"A93","","S","N","A93   Outr febres p/virus transm p/artropodes NCOP","5"
"A930","","N","S","A93.0 Febre de Oropouche","5"
"A931","","N","S","A93.1 Febre p/flebotomos","5"
"A932","","N","S","A93.2 Febre do Colorado transm p/carrapatos","5"
"A938","","N","S","A93.8 Outr febres virais espec transm p/artropodes","5"
"A94","","S","S","A94   Febre viral transm p/artropodes NE","5"
"A95","","S","N","A95   Febre amarela","5"
"A950","","N","S","A95.0 Febre amarela silvestre","5"
"A951","","N","S","A95.1 Febre amarela urbana","5"
"A959","","N","S","A95.9 Febre amarela NE","5"
"A96","","S","N","A96   Febre hemorragica p/arenavirus","5"
"A960","","N","S","A96.0 Febre hemorragica de Junin","5"
"A961","","N","S","A96.1 Febre hemorragica de Machupo","5"
"A962","","N","S","A96.2 Febre de Lassa","5"
"A968","","N","S","A96.8 Outr febres hemorragicas p/arenavirus","5"
"A969","","N","S","A96.9 Febre hemorragica p/arenavirus NE","5"
"A98","","S","N","A98   Outr febres hemorragicas p/virus NCOP","5"
"A980","","N","S","A98.0 Febre hemorragica da Crimeia","5"
"A981","","N","S","A98.1 Febre hemorragica de Omsk","5"
"A982","","N","S","A98.2 Doenc da floresta de Kyasanur","5"
"A983","","N","S","A98.3 Doenc de Marburg","5"
"A984","","N","S","A98.4 Doenc p/virus Ebola","5"
"A985","","N","S","A98.5 Febre hemorragica c/sindr renal","5"
"A988","","N","S","A98.8 Outr febres hemorragicas espec p/virus","5"
"A99","","S","S","A99   Febres hemorragicas virais NE","5"
