"Município";"Internações"
"240010 Acari";5
"240020 Açu";15
"240030 Afonso Bezerra";5
"240040 Água Nova";1
"240050 Alexandria";17
"240060 Almino Afonso";6
"240070 Alto do Rodrigues";7
"240080 Angicos";5
"240090 Antônio Martins";2
"240100 Apodi";10
"240110 Areia Branca";10
"240120 Arês";4
"240130 Augusto Severo";3
"240140 Baía Formosa";2
"240145 Baraúna";15
"240150 Barcelona";3
"240160 Bento Fernandes";1
"240165 Bodó";1
"240170 Bom Jesus";6
"240180 Brejinho";8
"240185 Caiçara do Norte";3
"240190 Caiçara do Rio do Vento";1
"240200 Caicó";21
"240210 Campo Redondo";7
"240220 Canguaretama";11
"240230 Caraúbas";17
"240240 Carnaúba dos Dantas";3
"240250 Carnaubais";3
"240260 Ceará-Mirim";25
"240270 Cerro Corá";5
"240280 Coronel Ezequiel";1
"240290 Coronel João Pessoa";3
"240300 Cruzeta";3
"240310 Currais Novos";19
"240330 Encanto";3
"240350 Espírito Santo";1
"240360 Extremoz";9
"240370 Felipe Guerra";1
"240375 Fernando Pedroza";2
"240380 Florânia";2
"240390 Francisco Dantas";2
"240400 Frutuoso Gomes";1
"240410 Galinhos";1
"240420 Goianinha";10
"240430 Governador Dix-Sept Rosado";5
"240440 Grossos";8
"240450 Guamaré";7
"240460 Ielmo Marinho";1
"240470 Ipanguaçu";4
"240485 Itajá";2
"240490 Itaú";3
"240500 Jaçanã";5
"240510 Jandaíra";6
"240520 Janduís";3
"240530 Januário Cicco";2
"240540 Japi";2
"240550 Jardim de Angicos";3
"240560 Jardim de Piranhas";5
"240570 Jardim do Seridó";3
"240580 João Câmara";17
"240600 José da Penha";3
"240610 Jucurutu";7
"240615 Jundiá";1
"240620 Lagoa d'Anta";3
"240630 Lagoa de Pedras";9
"240640 Lagoa de Velhos";3
"240650 Lagoa Nova";9
"240660 Lagoa Salgada";3
"240670 Lajes";1
"240690 Lucrécia";1
"240700 Luís Gomes";2
"240710 Macaíba";23
"240720 Macau";11
"240730 Marcelino Vieira";1
"240740 Martins";5
"240750 Maxaranguape";3
"240760 Messias Targino";4
"240770 Montanhas";10
"240780 Monte Alegre";21
"240790 Monte das Gameleiras";2
"240800 Mossoró";118
"240810 Natal";321
"240820 Nísia Floresta";20
"240830 Nova Cruz";11
"240840 Olho-d'Água do Borges";4
"240860 Paraná";5
"240880 Parazinho";1
"240890 Parelhas";11
"240325 Parnamirim";58
"240910 Passa e Fica";10
"240930 Patu";5
"240940 Pau dos Ferros";11
"240950 Pedra Grande";3
"240960 Pedra Preta";2
"240970 Pedro Avelino";2
"240980 Pedro Velho";10
"240990 Pendências";6
"241000 Pilões";2
"241010 Poço Branco";8
"241020 Portalegre";5
"241025 Porto do Mangue";1
"241040 Pureza";5
"241050 Rafael Fernandes";8
"241060 Rafael Godeiro";1
"241080 Riacho de Santana";1
"241090 Riachuelo";2
"240895 Rio do Fogo";6
"241110 Ruy Barbosa";1
"241120 Santa Cruz";20
"240933 Santa Maria";3
"241140 Santana do Matos";4
"241142 Santana do Seridó";2
"241150 Santo Antônio";15
"241160 São Bento do Norte";4
"241170 São Bento do Trairí";4
"241200 São Gonçalo do Amarante";29
"241210 São João do Sabugi";3
"241220 São José de Mipibu";24
"241230 São José do Campestre";5
"241240 São José do Seridó";2
"241250 São Miguel";4
"241255 São Miguel do Gostoso";6
"241260 São Paulo do Potengi";10
"241270 São Pedro";3
"241280 São Rafael";4
"241290 São Tomé";3
"241300 São Vicente";2
"241310 Senador Elói de Souza";4
"241320 Senador Georgino Avelino";4
"241030 Serra Caiada";6
"241330 Serra de São Bento";3
"241335 Serra do Mel";9
"241340 Serra Negra do Norte";3
"241350 Serrinha";4
"241355 Serrinha dos Pintos";1
"241360 Severiano Melo";6
"241370 Sítio Novo";5
"241390 Taipu";5
"241400 Tangará";6
"241410 Tenente Ananias";2
"241415 Tenente Laurentino Cruz";1
"241105 Tibau";1
"241420 Tibau do Sul";7
"241430 Timbaúba dos Batistas";2
"241440 Touros";19
"241450 Umarizal";6
"241460 Upanema";6
"241470 Várzea";1
"241475 Venha-Ver";2
"241480 Vera Cruz";13
"241490 Viçosa";1
"241500 Vila Flor";1
"250020 Aguiar";3
"250030 Alagoa Grande";3
"250040 Alagoa Nova";7
"250050 Alagoinha";7
"250060 Alhandra";6
"250073 Amparo";1
"250077 Aparecida";1
"250080 Araçagi";4
"250090 Arara";3
"250100 Araruna";4
"250110 Areia";7
"250115 Areia de Baraúnas";1
"250120 Areial";3
"250135 Assunção";3
"250140 Baía da Traição";3
"250150 Bananeiras";7
"250160 Barra de Santa Rosa";5
"250157 Barra de Santana";1
"250170 Barra de São Miguel";2
"250180 Bayeux";38
"250190 Belém";2
"250210 Boa Ventura";1
"250215 Boa Vista";1
"250220 Bom Jesus";2
"250240 Bonito de Santa Fé";6
"250250 Boqueirão";2
"250270 Borborema";1
"250280 Brejo do Cruz";3
"250290 Brejo dos Santos";1
"250300 Caaporã";11
"250320 Cabedelo";23
"250330 Cachoeira dos Índios";3
"250340 Cacimba de Areia";1
"250350 Cacimba de Dentro";4
"250355 Cacimbas";1
"250360 Caiçara";4
"250370 Cajazeiras";15
"250380 Caldas Brandão";1
"250390 Camalaú";3
"250400 Campina Grande";75
"250407 Caraúbas";1
"250410 Carrapateira";1
"250415 Casserengue";1
"250430 Catolé do Rocha";10
"250435 Caturité";1
"250440 Conceição";4
"250450 Condado";3
"250460 Conde";15
"250480 Coremas";4
"250490 Cruz do Espírito Santo";4
"250500 Cubati";1
"250510 Cuité";2
"250523 Cuité de Mamanguape";7
"250520 Cuitegi";1
"250527 Curral de Cima";3
"250530 Curral Velho";1
"250535 Damião";6
"250540 Desterro";3
"250560 Diamante";3
"250570 Dona Inês";2
"250600 Esperança";10
"250610 Fagundes";2
"250620 Frei Martinho";1
"250625 Gado Bravo";2
"250630 Guarabira";25
"250640 Gurinhém";4
"250660 Ibiara";1
"250260 Igaracy";1
"250670 Imaculada";1
"250680 Ingá";4
"250690 Itabaiana";5
"250700 Itaporanga";4
"250710 Itapororoca";7
"250720 Itatuba";4
"250730 Jacaraú";12
"250740 Jericó";1
"250750 João Pessoa";234
"251365 Joca Claudino";2
"250760 Juarez Távora";3
"250770 Juazeirinho";1
"250790 Juripiranga";1
"250810 Lagoa";1
"250820 Lagoa de Dentro";4
"250830 Lagoa Seca";6
"250840 Lastro";2
"250850 Livramento";2
"250855 Logradouro";1
"250860 Lucena";7
"250880 Malta";2
"250890 Mamanguape";16
"250900 Manaíra";3
"250910 Mari";9
"250915 Marizópolis";1
"250920 Massaranduba";5
"250930 Mataraca";3
"250937 Mato Grosso";1
"250939 Maturéia";1
"250940 Mogeiro";3
"250950 Montadas";1
"250960 Monte Horebe";4
"250970 Monteiro";4
"250980 Mulungu";8
"250990 Natuba";3
"251010 Nova Floresta";6
"251020 Nova Olinda";1
"251030 Nova Palmeira";1
"251040 Olho d'Água";1
"251050 Olivedos";1
"251070 Passagem";4
"251080 Patos";26
"251100 Pedra Branca";1
"251110 Pedra Lavrada";1
"251120 Pedras de Fogo";7
"251272 Pedro Régis";5
"251130 Piancó";6
"251140 Picuí";4
"251150 Pilar";4
"251160 Pilões";2
"251180 Pirpirituba";4
"251190 Pitimbu";2
"251200 Pocinhos";3
"251203 Poço Dantas";2
"251207 Poço de José de Moura";3
"251210 Pombal";2
"251220 Prata";1
"251230 Princesa Isabel";6
"251240 Puxinanã";2
"251250 Queimadas";9
"251270 Remígio";2
"251275 Riachão do Bacamarte";2
"251290 Rio Tinto";5
"251310 Salgado de São Félix";2
"251320 Santa Cruz";2
"251330 Santa Helena";3
"251340 Santa Luzia";3
"251370 Santa Rita";37
"251380 Santa Teresinha";1
"251350 Santana de Mangueira";1
"251360 Santana dos Garrotes";2
"251390 São Bento";8
"251400 São João do Cariri";1
"250070 São João do Rio do Peixe";3
"251410 São João do Tigre";1
"251430 São José de Caiana";1
"251450 São José de Piranhas";4
"251455 São José de Princesa";1
"251460 São José do Bonfim";1
"251480 São José dos Cordeiros";3
"251445 São José dos Ramos";1
"251490 São Mamede";1
"251500 São Miguel de Taipu";3
"251510 São Sebastião de Lagoa de Roça";3
"251520 São Sebastião do Umbuzeiro";2
"251540 São Vicente do Seridó";2
"251530 Sapé";17
"251550 Serra Branca";2
"251593 Sertãozinho";2
"251597 Sobrado";4
"251600 Solânea";14
"251610 Soledade";8
"251615 Sossêgo";2
"251620 Sousa";15
"251630 Sumé";2
"251640 Tacima";1
"251660 Tavares";7
"251670 Teixeira";1
"251680 Triunfo";1
"251690 Uiraúna";4
"251700 Umbuzeiro";2
"260005 Abreu e Lima";58
"260010 Afogados da Ingazeira";24
"260020 Afrânio";5
"260030 Agrestina";8
"260040 Água Preta";18
"260050 Águas Belas";20
"260060 Alagoinha";7
"260070 Aliança";22
"260080 Altinho";17
"260090 Amaraji";12
"260100 Angelim";6
"260105 Araçoiaba";12
"260110 Araripina";31
"260120 Arcoverde";30
"260130 Barra de Guabiraba";3
"260140 Barreiros";16
"260150 Belém de Maria";2
"260160 Belém do São Francisco";7
"260170 Belo Jardim";28
"260180 Betânia";8
"260190 Bezerros";28
"260200 Bodocó";10
"260210 Bom Conselho";19
"260220 Bom Jardim";16
"260230 Bonito";13
"260240 Brejão";4
"260250 Brejinho";2
"260260 Brejo da Madre de Deus";28
"260270 Buenos Aires";8
"260280 Buíque";27
"260290 Cabo de Santo Agostinho";109
"260300 Cabrobó";4
"260310 Cachoeirinha";5
"260320 Caetés";17
"260330 Calçado";8
"260340 Calumbi";5
"260345 Camaragibe";83
"260350 Camocim de São Félix";12
"260360 Camutanga";8
"260370 Canhotinho";13
"260380 Capoeiras";11
"260390 Carnaíba";8
"260392 Carnaubeira da Penha";7
"260400 Carpina";33
"260410 Caruaru";126
"260415 Casinhas";6
"260420 Catende";9
"260430 Cedro";3
"260440 Chã de Alegria";10
"260450 Chã Grande";16
"260460 Condado";14
"260470 Correntes";10
"260480 Cortês";9
"260490 Cumaru";3
"260500 Cupira";18
"260510 Custódia";11
"260515 Dormentes";2
"260520 Escada";27
"260530 Exu";9
"260540 Feira Nova";20
"260545 Fernando de Noronha";2
"260550 Ferreiros";6
"260560 Flores";11
"260570 Floresta";12
"260580 Frei Miguelinho";4
"260590 Gameleira";9
"260600 Garanhuns";54
"260610 Glória do Goitá";14
"260620 Goiana";37
"260630 Granito";3
"260640 Gravatá";26
"260650 Iati";10
"260660 Ibimirim";12
"260670 Ibirajuba";6
"260680 Igarassu";65
"260690 Iguaracy";3
"260760 Ilha de Itamaracá";17
"260700 Inajá";9
"260710 Ingazeira";2
"260720 Ipojuca";37
"260730 Ipubi";14
"260740 Itacuruba";2
"260750 Itaíba";18
"260765 Itambé";13
"260770 Itapetim";5
"260775 Itapissuma";24
"260780 Itaquitinga";6
"260790 Jaboatão dos Guararapes";329
"260795 Jaqueira";4
"260800 Jataúba";15
"260805 Jatobá";5
"260810 João Alfredo";14
"260820 Joaquim Nabuco";4
"260825 Jucati";8
"260830 Jupi";14
"260840 Jurema";13
"260850 Lagoa de Itaenga";17
"260845 Lagoa do Carro";9
"260860 Lagoa do Ouro";3
"260870 Lagoa dos Gatos";8
"260875 Lagoa Grande";8
"260880 Lajedo";35
"260890 Limoeiro";20
"260900 Macaparana";14
"260910 Machados";12
"260915 Manari";14
"260920 Maraial";3
"260930 Mirandiba";6
"261430 Moreilândia";4
"260940 Moreno";38
"260950 Nazaré da Mata";16
"260960 Olinda";234
"260970 Orobó";11
"260980 Orocó";1
"260990 Ouricuri";24
"261000 Palmares";20
"261020 Panelas";16
"261030 Paranatama";8
"261040 Parnamirim";2
"261050 Passira";14
"261060 Paudalho";29
"261070 Paulista";156
"261080 Pedra";12
"261090 Pesqueira";23
"261100 Petrolândia";16
"261110 Petrolina";117
"261120 Poção";6
"261130 Pombos";13
"261140 Primavera";11
"261150 Quipapá";12
"261153 Quixaba";2
"261160 Recife";1003
"261170 Riacho das Almas";15
"261180 Ribeirão";18
"261190 Rio Formoso";8
"261200 Sairé";6
"261220 Salgueiro";21
"261230 Saloá";7
"261240 Sanharó";8
"261245 Santa Cruz";7
"261247 Santa Cruz da Baixa Verde";7
"261250 Santa Cruz do Capibaribe";41
"261255 Santa Filomena";8
"261260 Santa Maria da Boa Vista";15
"261270 Santa Maria do Cambucá";9
"261280 Santa Terezinha";6
"261290 São Benedito do Sul";8
"261300 São Bento do Una";23
"261310 São Caitano";22
"261320 São João";7
"261330 São Joaquim do Monte";15
"261340 São José da Coroa Grande";8
"261350 São José do Belmonte";12
"261360 São José do Egito";19
"261370 São Lourenço da Mata";43
"261380 São Vicente Ferrer";10
"261390 Serra Talhada";48
"261400 Serrita";11
"261410 Sertânia";11
"261420 Sirinhaém";17
"261450 Surubim";37
"261460 Tabira";13
"261470 Tacaimbó";4
"261480 Tacaratu";8
"261485 Tamandaré";20
"261500 Taquaritinga do Norte";7
"261510 Terezinha";5
"261520 Terra Nova";3
"261530 Timbaúba";27
"261540 Toritama";21
"261550 Tracunhaém";6
"261560 Trindade";11
"261570 Triunfo";5
"261580 Tupanatinga";11
"261590 Tuparetama";6
"261600 Venturosa";6
"261610 Verdejante";3
"261618 Vertente do Lério";6
"261620 Vertentes";14
"261630 Vicência";17
"261640 Vitória de Santo Antão";68
"261650 Xexéu";10
"270010 Água Branca";8
"270020 Anadia";10
"270030 Arapiraca";110
"270040 Atalaia";8
"270050 Barra de Santo Antônio";1
"270060 Barra de São Miguel";1
"270070 Batalha";12
"270080 Belém";4
"270100 Boca da Mata";4
"270110 Branquinha";1
"270120 Cacimbinhas";5
"270135 Campestre";3
"270140 Campo Alegre";6
"270150 Campo Grande";5
"270160 Canapi";7
"270180 Carneiros";3
"270190 Chã Preta";1
"270200 Coité do Nóia";12
"270210 Colônia Leopoldina";4
"270230 Coruripe";8
"270235 Craíbas";11
"270240 Delmiro Gouveia";15
"270250 Dois Riachos";2
"270255 Estrela de Alagoas";5
"270260 Feira Grande";7
"270270 Feliz Deserto";1
"270290 Girau do Ponciano";17
"270300 Ibateguara";2
"270310 Igaci";12
"270320 Igreja Nova";4
"270330 Inhapi";6
"270340 Jacaré dos Homens";3
"270360 Japaratinga";3
"270370 Jaramataia";1
"270375 Jequiá da Praia";1
"270380 Joaquim Gomes";5
"270400 Junqueiro";7
"270410 Lagoa da Canoa";6
"270420 Limoeiro de Anadia";9
"270430 Maceió";103
"270440 Major Isidoro";10
"270490 Mar Vermelho";1
"270450 Maragogi";1
"270460 Maravilha";2
"270470 Marechal Deodoro";3
"270480 Maribondo";4
"270500 Mata Grande";6
"270510 Matriz de Camaragibe";3
"270520 Messias";2
"270530 Minador do Negrão";3
"270540 Monteirópolis";2
"270550 Murici";3
"270560 Novo Lino";2
"270570 Olho d'Água das Flores";4
"270580 Olho d'Água do Casado";3
"270590 Olho d'Água Grande";3
"270600 Olivença";5
"270610 Ouro Branco";5
"270620 Palestina";4
"270630 Palmeira dos Índios";22
"270640 Pão de Açúcar";4
"270644 Paripueira";3
"270650 Passo de Camaragibe";2
"270660 Paulo Jacinto";1
"270670 Penedo";17
"270680 Piaçabuçu";5
"270690 Pilar";2
"270710 Piranhas";7
"270720 Poço das Trincheiras";3
"270730 Porto Calvo";2
"270750 Porto Real do Colégio";4
"270760 Quebrangulo";4
"270770 Rio Largo";9
"270780 Roteiro";1
"270800 Santana do Ipanema";18
"270810 Santana do Mundaú";1
"270830 São José da Laje";3
"270840 São José da Tapera";8
"270850 São Luís do Quitunde";6
"270860 São Miguel dos Campos";8
"270870 São Miguel dos Milagres";1
"270880 São Sebastião";17
"270890 Satuba";3
"270895 Senador Rui Palmeira";3
"270900 Tanque d'Arca";4
"270910 Taquarana";7
"270915 Teotônio Vilela";17
"270920 Traipu";9
"270930 União dos Palmares";8
"270940 Viçosa";3
"280020 Aquidabã";8
"280030 Aracaju";177
"280040 Arauá";6
"280050 Areia Branca";3
"280060 Barra dos Coqueiros";5
"280067 Boquim";13
"280070 Brejo Grande";1
"280100 Campo do Brito";10
"280120 Canindé de São Francisco";18
"280130 Capela";7
"280140 Carira";8
"280150 Carmópolis";5
"280160 Cedro de São João";2
"280170 Cristinápolis";4
"280190 Cumbe";3
"280200 Divina Pastora";2
"280210 Estância";13
"280220 Feira Nova";2
"280230 Frei Paulo";11
"280240 Gararu";1
"280250 General Maynard";1
"280260 Gracho Cardoso";2
"280270 Ilha das Flores";2
"280280 Indiaroba";6
"280290 Itabaiana";40
"280300 Itabaianinha";18
"280320 Itaporanga d'Ajuda";14
"280330 Japaratuba";5
"280340 Japoatã";1
"280350 Lagarto";36
"280360 Laranjeiras";10
"280370 Macambira";4
"280380 Malhada dos Bois";3
"280400 Maruim";10
"280410 Moita Bonita";7
"280420 Monte Alegre de Sergipe";7
"280430 Muribeca";1
"280440 Neópolis";11
"280445 Nossa Senhora Aparecida";2
"280450 Nossa Senhora da Glória";15
"280460 Nossa Senhora das Dores";9
"280470 Nossa Senhora de Lourdes";4
"280480 Nossa Senhora do Socorro";57
"280490 Pacatuba";8
"280510 Pedrinhas";6
"280520 Pinhão";1
"280530 Pirambu";15
"280540 Poço Redondo";5
"280550 Poço Verde";14
"280560 Porto da Folha";8
"280570 Propriá";5
"280580 Riachão do Dantas";12
"280590 Riachuelo";2
"280600 Ribeirópolis";9
"280610 Rosário do Catete";6
"280620 Salgado";13
"280630 Santa Luzia do Itanhy";3
"280650 Santa Rosa de Lima";4
"280660 Santo Amaro das Brotas";3
"280670 São Cristóvão";25
"280680 São Domingos";4
"280690 São Francisco";1
"280710 Simão Dias";11
"280720 Siriri";2
"280730 Telha";4
"280740 Tobias Barreto";29
"280750 Tomar do Geru";7
"280760 Umbaúba";12
"290010 Abaíra";2
"290020 Abaré";6
"290030 Acajutiba";3
"290035 Adustina";1
"290040 Água Fria";21
"290060 Aiquara";3
"290070 Alagoinhas";18
"290080 Alcobaça";14
"290100 Amargosa";8
"290110 Amélia Rodrigues";7
"290115 América Dourada";6
"290120 Anagé";16
"290130 Andaraí";6
"290135 Andorinha";3
"290140 Angical";9
"290150 Anguera";2
"290160 Antas";3
"290170 Antônio Cardoso";4
"290180 Antônio Gonçalves";1
"290190 Aporá";2
"290195 Apuarema";3
"290205 Araças";1
"290200 Aracatu";13
"290210 Araci";6
"290220 Aramari";1
"290225 Arataca";3
"290230 Aratuípe";4
"290240 Aurelino Leal";5
"290250 Baianópolis";4
"290260 Baixa Grande";4
"290265 Banzaê";2
"290270 Barra";16
"290280 Barra da Estiva";21
"290290 Barra do Choça";27
"290300 Barra do Mendes";4
"290310 Barra do Rocha";5
"290320 Barreiras";53
"290323 Barro Alto";3
"290330 Barro Preto";1
"290327 Barrocas";4
"290340 Belmonte";12
"290350 Belo Campo";9
"290360 Biritinga";2
"290370 Boa Nova";8
"290380 Boa Vista do Tupim";7
"290390 Bom Jesus da Lapa";63
"290395 Bom Jesus da Serra";16
"290400 Boninal";2
"290405 Bonito";4
"290410 Boquira";5
"290420 Botuporã";3
"290430 Brejões";3
"290440 Brejolândia";5
"290450 Brotas de Macaúbas";15
"290460 Brumado";56
"290470 Buerarema";5
"290475 Buritirama";7
"290480 Caatiba";3
"290485 Cabaceiras do Paraguaçu";2
"290490 Cachoeira";11
"290500 Caculé";24
"290510 Caém";16
"290515 Caetanos";3
"290520 Caetité";40
"290530 Cafarnaum";9
"290540 Cairu";5
"290550 Caldeirão Grande";4
"290560 Camacan";9
"290570 Camaçari";56
"290580 Camamu";12
"290590 Campo Alegre de Lourdes";19
"290600 Campo Formoso";11
"290610 Canápolis";5
"290620 Canarana";3
"290630 Canavieiras";7
"290640 Candeal";1
"290650 Candeias";19
"290660 Candiba";8
"290670 Cândido Sales";14
"290680 Cansanção";34
"290682 Canudos";3
"290685 Capela do Alto Alegre";4
"290687 Capim Grosso";23
"290689 Caraíbas";4
"290690 Caravelas";3
"290700 Cardeal da Silva";1
"290710 Carinhanha";23
"290720 Casa Nova";17
"290730 Castro Alves";6
"290750 Catu";13
"290755 Caturama";7
"290760 Central";6
"290770 Chorrochó";2
"290780 Cícero Dantas";6
"290790 Cipó";2
"290800 Coaraci";3
"290810 Cocos";8
"290820 Conceição da Feira";8
"290830 Conceição do Almeida";3
"290840 Conceição do Coité";74
"290850 Conceição do Jacuípe";19
"290860 Conde";4
"290870 Condeúba";16
"290880 Contendas do Sincorá";3
"290890 Coração de Maria";13
"290900 Cordeiros";9
"290910 Coribe";3
"290920 Coronel João Sá";5
"290930 Correntina";10
"290940 Cotegipe";7
"290950 Cravolândia";1
"290960 Crisópolis";5
"290970 Cristópolis";4
"290980 Cruz das Almas";17
"290990 Curaçá";19
"291000 Dário Meira";5
"291005 Dias d'Ávila";4
"291010 Dom Basílio";9
"291020 Dom Macedo Costa";3
"291030 Elísio Medrado";6
"291040 Encruzilhada";55
"291050 Entre Rios";15
"290050 Érico Cardoso";8
"291060 Esplanada";6
"291070 Euclides da Cunha";51
"291072 Eunápolis";27
"291075 Fátima";2
"291080 Feira de Santana";295
"291085 Filadélfia";6
"291090 Firmino Alves";2
"291110 Formosa do Rio Preto";7
"291120 Gandu";6
"291125 Gavião";2
"291130 Gentio do Ouro";4
"291140 Glória";3
"291150 Gongogi";4
"291160 Governador Mangabeira";14
"291165 Guajeru";6
"291170 Guanambi";61
"291180 Guaratinga";6
"291185 Heliópolis";3
"291190 Iaçu";11
"291200 Ibiassucê";21
"291210 Ibicaraí";6
"291220 Ibicoara";14
"291230 Ibicuí";5
"291240 Ibipeba";12
"291250 Ibipitanga";9
"291260 Ibiquera";1
"291270 Ibirapitanga";3
"291280 Ibirapuã";5
"291290 Ibirataia";21
"291300 Ibitiara";78
"291310 Ibititá";5
"291320 Ibotirama";24
"291330 Ichu";1
"291340 Igaporã";2
"291345 Igrapiúna";6
"291350 Iguaí";15
"291360 Ilhéus";63
"291370 Inhambupe";8
"291380 Ipecaetá";7
"291390 Ipiaú";9
"291400 Ipirá";11
"291410 Ipupiara";3
"291420 Irajuba";6
"291430 Iramaia";4
"291440 Iraquara";2
"291450 Irará";14
"291460 Irecê";20
"291465 Itabela";6
"291470 Itaberaba";42
"291480 Itabuna";85
"291490 Itacaré";2
"291500 Itaeté";3
"291510 Itagi";5
"291520 Itagibá";4
"291535 Itaguaçu da Bahia";7
"291540 Itaju do Colônia";4
"291550 Itajuípe";8
"291560 Itamaraju";16
"291570 Itamari";3
"291580 Itambé";24
"291600 Itanhém";8
"291610 Itaparica";9
"291620 Itapé";2
"291630 Itapebi";4
"291640 Itapetinga";38
"291650 Itapicuru";3
"291660 Itapitanga";3
"291670 Itaquara";1
"291680 Itarantim";7
"291685 Itatim";3
"291690 Itiruçu";23
"291700 Itiúba";26
"291710 Itororó";4
"291720 Ituaçu";7
"291730 Ituberá";27
"291733 Iuiú";5
"291735 Jaborandi";16
"291740 Jacaraci";8
"291750 Jacobina";33
"291760 Jaguaquara";16
"291770 Jaguarari";8
"291780 Jaguaripe";6
"291790 Jandaíra";7
"291800 Jequié";81
"291810 Jeremoabo";11
"291820 Jiquiriçá";6
"291830 Jitaúna";1
"291835 João Dourado";6
"291840 Juazeiro";74
"291845 Jucuruçu";2
"291850 Jussara";3
"291855 Jussari";1
"291860 Jussiape";1
"291870 Lafaiete Coutinho";1
"291875 Lagoa Real";7
"291880 Laje";13
"291890 Lajedão";4
"291900 Lajedinho";1
"291905 Lajedo do Tabocal";11
"291910 Lamarão";2
"291915 Lapão";6
"291920 Lauro de Freitas";67
"291930 Lençóis";4
"291940 Licínio de Almeida";2
"291950 Livramento de Nossa Senhora";33
"291955 Luís Eduardo Magalhães";18
"291960 Macajuba";5
"291970 Macarani";7
"291980 Macaúbas";34
"291990 Macururé";2
"291992 Madre de Deus";4
"291995 Maetinga";3
"292010 Mairi";9
"292020 Malhada";13
"292030 Malhada de Pedras";3
"292040 Manoel Vitorino";8
"292050 Maracás";10
"292060 Maragogipe";6
"292070 Maraú";5
"292080 Marcionílio Souza";3
"292090 Mascote";5
"292100 Mata de São João";21
"292105 Matina";7
"292110 Medeiros Neto";7
"292120 Miguel Calmon";17
"292130 Milagres";4
"292140 Mirangaba";4
"292145 Mirante";11
"292150 Monte Santo";50
"292160 Morpará";2
"292170 Morro do Chapéu";27
"292180 Mortugaba";5
"292190 Mucugê";5
"292200 Mucuri";10
"292205 Mulungu do Morro";2
"292210 Mundo Novo";9
"292220 Muniz Ferreira";1
"292225 Muquém de São Francisco";6
"292230 Muritiba";6
"292240 Mutuípe";31
"292250 Nazaré";6
"292260 Nilo Peçanha";2
"292265 Nordestina";6
"292270 Nova Canaã";17
"292273 Nova Fátima";1
"292280 Nova Itarana";4
"292290 Nova Soure";8
"292300 Nova Viçosa";22
"292303 Novo Horizonte";53
"292305 Novo Triunfo";1
"292310 Olindina";4
"292320 Oliveira dos Brejinhos";4
"292330 Ouriçangas";2
"292335 Ourolândia";9
"292340 Palmas de Monte Alto";8
"292350 Palmeiras";1
"292360 Paramirim";23
"292370 Paratinga";16
"292380 Paripiranga";3
"292390 Pau Brasil";1
"292400 Paulo Afonso";38
"292405 Pé de Serra";10
"292420 Pedro Alexandre";5
"292430 Piatã";10
"292440 Pilão Arcado";3
"292450 Pindaí";11
"292460 Pindobaçu";14
"292465 Pintadas";5
"292467 Piraí do Norte";1
"292470 Piripá";9
"292480 Piritiba";6
"292490 Planaltino";12
"292500 Planalto";8
"292510 Poções";119
"292520 Pojuca";3
"292525 Ponto Novo";16
"292530 Porto Seguro";43
"292540 Potiraguá";1
"292550 Prado";6
"292560 Presidente Dutra";5
"292570 Presidente Jânio Quadros";4
"292575 Presidente Tancredo Neves";13
"292580 Queimadas";5
"292590 Quijingue";4
"292593 Quixabeira";5
"292595 Rafael Jambeiro";6
"292600 Remanso";20
"292610 Retirolândia";7
"292620 Riachão das Neves";12
"292630 Riachão do Jacuípe";12
"292640 Riacho de Santana";13
"292650 Ribeira do Amparo";5
"292660 Ribeira do Pombal";11
"292665 Ribeirão do Largo";7
"292670 Rio de Contas";3
"292680 Rio do Antônio";7
"292690 Rio do Pires";9
"292700 Rio Real";8
"292710 Rodelas";8
"292720 Ruy Barbosa";28
"292730 Salinas da Margarida";1
"292740 Salvador";1141
"292750 Santa Bárbara";1
"292760 Santa Brígida";3
"292770 Santa Cruz Cabrália";5
"292790 Santa Inês";9
"292805 Santa Luzia";2
"292810 Santa Maria da Vitória";12
"292840 Santa Rita de Cássia";21
"292850 Santa Teresinha";4
"292800 Santaluz";15
"292820 Santana";8
"292830 Santanópolis";2
"292860 Santo Amaro";7
"292870 Santo Antônio de Jesus";54
"292880 Santo Estêvão";23
"292890 São Desidério";18
"292895 São Domingos";6
"292910 São Felipe";6
"292900 São Félix";7
"292905 São Félix do Coribe";6
"292920 São Francisco do Conde";8
"292925 São Gabriel";5
"292930 São Gonçalo dos Campos";3
"292935 São José da Vitória";1
"292937 São José do Jacuípe";8
"292940 São Miguel das Matas";3
"292950 São Sebastião do Passé";8
"292960 Sapeaçu";6
"292970 Sátiro Dias";4
"292975 Saubara";1
"292980 Saúde";12
"292990 Seabra";11
"293000 Sebastião Laranjeiras";6
"293010 Senhor do Bonfim";11
"293020 Sento Sé";9
"293015 Serra do Ramalho";16
"293030 Serra Dourada";11
"293040 Serra Preta";2
"293050 Serrinha";38
"293060 Serrolândia";10
"293070 Simões Filho";69
"293075 Sítio do Mato";8
"293077 Sobradinho";3
"293080 Souto Soares";11
"293090 Tabocas do Brejo Velho";11
"293100 Tanhaçu";2
"293105 Tanque Novo";10
"293120 Taperoá";4
"293130 Tapiramutá";4
"293135 Teixeira de Freitas";122
"293150 Teofilândia";3
"293170 Terra Nova";4
"293180 Tremedal";26
"293190 Tucano";29
"293200 Uauá";3
"293210 Ubaíra";29
