,CID10,Count,DESCR
140,J449,10342,J44.9 Doenc pulmonar obstrutiva cronica NE
141,R930,10252,R93.0 Achados anorm ex diag imag cran cabeca NCOP
142,Z540,10175,Z54.0 Convalescenca apos cirurgia
143,H521,10124,H52.1 Miopia
144,G439,10072,G43.9 Enxaqueca s/especificacao
145,G560,10031,G56.0 Sindr do tunel do carpo
146,N202,10010,N20.2 Calculose do rim c/calculo do ureter
147,Z411,9997,Z41.1 Outr interv cirurg plast p/razoes esteticas
148,T141,9945,T14.1 Ferim de regiao NE do corpo
149,F840,9932,F84.0 Autismo infantil
150,F800,9824,F80.0 Transt especifico da articulacao da fala
151,C73,9661,C73   Neopl malig da gland tireoide
152,S525,9634,S52.5 Frat da extremidade distal do radio
153,I48,9619,I48   Flutter e fibrilacao atrial
154,O828,9575,O82.8 Outr tipos de parto unico p/cesariana
155,C449,9572,C44.9 Neopl malig da pele
156,H578,9572,H57.8 Outr transt espec do olho e anexos
157,O200,9532,O20.0 Ameaca de aborto
158,S934,9509,S93.4 Entorse e distensao do tornozelo
159,K310,9310,K31.0 Dilatacao aguda do estomago
160,H524,9265,H52.4 Presbiopia
161,K291,9255,K29.1 Outr gastrites agudas
162,J209,9183,J20.9 Bronquite aguda NE
163,I219,9173,I21.9 Infarto agudo do miocardio NE
164,K922,9134,K92.2 Hemorragia gastrointestinal SOE
165,Z479,9073,Z47.9 Seguimento ortopedico NE
166,C349,8935,C34.9 Bronquios ou pulmoes NE
167,M540,8914,M54.0 Paniculite atingindo regioes pescoco e dorso
168,M170,8828,M17.0 Gonartrose prim bilateral
169,E881,8626,E88.1 Lipodistrofia NCOP
170,K319,8594,K31.9 Doenc do estomago e do duodeno SOE
171,Z048,8588,Z04.8 Exame e observacao p/outr razoes espec
172,F411,8564,F41.1 Ansiedade generalizada
173,Z123,8539,Z12.3 Exame especial rastr de neoplasia de mama
174,D649,8463,D64.9 Anemia NE
175,C900,8462,C90.0 Mieloma mult
176,H522,8315,H52.2 Astigmatismo
177,G473,8139,G47.3 Apneia de sono
178,T181,8135,T18.1 Corpo estranho no esofago
179,A419,8029,A41.9 Septicemia NE
180,G801,8027,G80.1 Diplegia espastica
181,K929,7688,K92.9 Doenc do aparelho digestivo SOE
182,Z719,7670,Z71.9 Aconselhamento NE
183,H938,7565,H93.8 Outr transt espec do ouvido
184,J350,7519,J35.0 Amigdalite cronica
185,Z340,7454,Z34.0 Supervisao de primeira gravidez normal
186,J960,7412,J96.0 Insuf respirat aguda
187,K402,7349,K40.2 Hernia inguinal bilat s/obstr ou gangrena
188,N399,7347,N39.9 Transt NE do aparelho urinario
189,Z380,7289,Z38.0 Crianca unica nascida em hospital
190,H903,7268,H90.3 Perda de audicao bilateral neuro-sensorial
191,M150,7254,M15.0 Artrose prim generalizada
192,I499,7245,I49.9 Arritmia cardiaca NE
193,S835,7228,S83.5 Entorse distensao envolv lig cruzado joelho
194,C20,7193,C20   Neopl malig do reto
195,S832,7175,S83.2 Ruptura do menisco atual
196,K589,7075,K58.9 Sindr do colon irritavel s/diarreia
197,K625,7021,K62.5 Hemorragia do anus e do reto
198,M659,6851,M65.9 Sinovite e tenossinovite NE
199,A46,6834,A46   Erisipela
200,F83,6703,F83   Transt especificos misto do desenvolv
201,M239,6668,M23.9 Transt interno NE do joelho
202,S720,6633,S72.0 Frat do colo do femur
203,N110,6628,N11.0 Pielonefrite nao-obstrut cron assoc refluxo
204,M230,6563,M23.0 Menisco cistico
205,C508,6560,C50.8 Lesao invasiva da mama
206,B182,6556,B18.2 Hepatite viral cronica C
207,N648,6525,N64.8 Outr transt espec da mama
208,L029,6514,L02.9 Abscesso cutaneo furunculo e antraz loc NE
209,K639,6501,K63.9 Doenc do intestino SOE
210,H109,6493,H10.9 Conjuntivite NE
211,G409,6478,G40.9 Epilepsia NE
212,M233,6418,M23.3 Outr transt do menisco
213,D250,6375,D25.0 Leiomioma submucoso do utero
214,F412,6364,F41.2 Transt misto ansioso e depressivo
215,H353,6364,H35.3 Degeneracao da macula e do polo posterior
216,I99,6346,I99   Outr transt do aparelho circulatorio e os NE
217,K290,6317,K29.0 Gastrite hemorragica aguda
218,J352,6302,J35.2 Hipertrofia das adenoides
219,G20,6280,G20   Doenc de Parkinson
220,R300,6174,R30.0 Disuria
221,C768,6172,C76.8 Lesao invasiva outr localiz e mal definidas
222,Z429,6134,Z42.9 Seguimento envolv cirurgia plastica NE
223,G811,6134,G81.1 Hemiplegia espastica
224,I830,6036,I83.0 Varizes dos membros infer c/ulcera
225,M179,5996,M17.9 Gonartrose NE
226,S626,5993,S62.6 Frat de outr dedos
227,F720,5974,F72.0 Mencao ausencia de ou compr minimo comport
228,D239,5918,D23.9 Pele NE
229,Z489,5917,Z48.9 Seguimento cirurgico NE
230,T149,5895,T14.9 Traum NE
231,K635,5884,K63.5 Polipo de colon
232,K811,5847,K81.1 Colecistite cronica
233,P073,5837,P07.3 Outr recem-nascidos de pre-termo
234,Z136,5826,Z13.6 Exame especial rastr doenc cardiovasculares
235,J219,5824,J21.9 Bronquite aguda NE
236,M541,5809,M54.1 Radiculopatia
237,H000,5797,H00.0 Hordeolo e outr inflam profundas palpebras
238,M999,5784,M99.9 Lesao biomecanica NE
239,C56,5766,C56   Neopl malig do ovario
240,H264,5757,H26.4 Pos-catarata
241,J158,5716,J15.8 Outr pneumonias bacter
242,H401,5610,H40.1 Glaucoma prim de angulo aberto
243,N309,5606,N30.9 Cistite NE
244,R073,5553,R07.3 Outr dor toracica
245,K591,5550,K59.1 Diarreia funcional
246,R521,5550,R52.1 Dor cronica intratavel
247,F200,5533,F20.0 Esquizofrenia paranoide
248,H520,5517,H52.0 Hipermetropia
249,N951,5464,N95.1 Estado da menopausa e do climaterio femin
250,J938,5463,J93.8 Outr tipos de pneumotorax espec
251,C910,5456,C91.0 Leucemia linfoblastica aguda
252,C760,5420,C76.0 Cabeca face e pescoco
253,M232,5399,M23.2 Transt menisco dev ruptura ou lesao antiga
254,K819,5379,K81.9 Colecistite SOE
255,R070,5359,R07.0 Dor de garganta
256,A90,5329,A90   Dengue
257,I849,5322,I84.9 Hemorroidas s/complic NE
258,D229,5284,D22.9 Nevo melanocitico NE
259,N179,5250,N17.9 Insuf renal aguda NE
260,R31,5226,R31   Hematuria NE
261,S099,5198,S09.9 Traum NE da cabeca
262,K400,5182,K40.0 Hernia inguinal bilateral c/obstr s/gangrena
263,H669,5175,H66.9 Otite media NE
264,J188,5162,J18.8 Outr pneumonias dev microorg NE
265,Z759,5140,Z75.9 Probl NE relac facil med outr cuid saude
266,N641,5139,N64.1 Necrose gordurosa da mama
267,M238,5128,M23.8 Outr transt internos do joelho
268,H103,5091,H10.3 Conjuntivite aguda NE
269,R568,5060,R56.8 Outr convulsoes e as NE
270,J040,4962,J04.0 Laringite aguda
271,J018,4960,J01.8 Outr sinusites agudas
272,M759,4941,M75.9 Lesao NE do ombro
273,G819,4937,G81.9 Hemiplegia NE
274,F849,4926,F84.9 Transt globais NE do desenvolv
275,M169,4902,M16.9 Coxartrose NE
276,O034,4900,O03.4 Incompleto s/complic
277,K439,4882,K43.9 Hernia ventral s/obstrucao ou gangrena
278,H360,4875,H36.0 Retinopatia diabetica
279,K579,4872,K57.9 Doenc divert intest localiz NE s/perf absc
280,N800,4846,N80.0 Endometriose do utero
281,K573,4846,K57.3 Doenc divert intest grosso s/perfur abscesso
282,S069,4803,S06.9 Traum intracraniano NE
283,J359,4786,J35.9 Doenc das amigdalas e das adenoides NE
284,Z129,4772,Z12.9 Exame especial rastr de neoplasia NE
285,Q909,4720,Q90.9 Sindr de Down NE
286,M199,4712,M19.9 Artrose NE
287,J111,4708,J11.1 Influenza c/out manif resp dev virus n ident
288,I829,4689,I82.9 Embolia e trombose venosas de veia NE
289,I840,4666,I84.0 Hemorroidas internas trombosadas
290,K403,4638,K40.3 Hernia inguinal unilat NE c/obstr s/gangrena
291,L998,4632,L99.8 Outr afecc espec pele tec subcut doenc COP
292,I831,4630,I83.1 Varizes dos membros infer c/inflam
293,I879,4613,I87.9 Transt venoso NE
294,Z301,4606,Z30.1 Insercao de disp anticoncepcional
295,F192,4600,F19.2 Sindr de dependencia
296,E042,4579,E04.2 Bocio nao-toxico multinodular
297,H330,4577,H33.0 Descolamento da retina c/defeito retiniano
298,M658,4550,M65.8 Outr sinovites e tenossinovites
299,N832,4533,N83.2 Outr cistos ovarianos e os NE
300,R32,4511,R32   Incontinencia urinaria NE
301,H830,4510,H83.0 Labirintite
302,B07,4483,B07   Verrugas orig viral
303,K299,4483,K29.9 Gastroduodenite SOE
304,Z100,4479,Z10.0 Exame de saude ocupacional
305,K805,4470,K80.5 Calculose via biliar s/colangite colecistite
306,L020,4430,L02.0 Abscesso cutaneo furunculo e antraz face
307,A049,4408,A04.9 Infecc intestinal bacter NE
308,E831,4406,E83.1 Doenc do metabolismo do ferro
309,K420,4402,K42.0 Hernia umbilical c/obstrucao s/gangrena
310,C180,4374,C18.0 Ceco
311,J304,4373,J30.4 Rinite alergica NE
312,S610,4358,S61.0 Ferim de dedos s/lesao da unha
313,N10,4343,N10   Nefrite tubulo-intersticial aguda
314,I248,4325,I24.8 Outr form doenc isquemica aguda do coracao
315,G430,4323,G43.0 Enxaqueca s/aura
316,N939,4311,N93.9 Sangramento anormal do utero ou da vagina NE
317,R000,4302,R00.0 Taquicardia NE
318,E079,4246,E07.9 Transt NE da tireoide
319,O429,4244,O42.9 Ruptura prematura de membranas NE
320,O623,4228,O62.3 Trabalho de parto precipitado
321,K818,4223,K81.8 Outr colecistites
322,Z988,4208,Z98.8 Outr estados pos-cirurgicos espec
323,K603,4197,K60.3 Fistula anal
324,C64,4175,C64   Neopl malig do rim exceto pelve renal
325,K350,4170,K35.0 Apendicite aguda c/peritonite generalizada
326,S800,4150,S80.0 Contusao do joelho
327,E039,4147,E03.9 Hipotireoidismo NE
328,Z121,4146,Z12.1 Exame especial rastr neoplasia trato intest
329,H258,4144,H25.8 Outr cataratas senis
330,I251,4140,I25.1 Doenc aterosclerotica do coracao
331,N809,4114,N80.9 Endometriose NE
332,N72,4108,N72   Doenc inflam do colo do utero
333,M235,4100,M23.5 Instabilidade cronica do joelho
334,J22,4091,J22   Infecc agudas NE das vias aereas infer
335,M510,4086,M51.0 Transt disco lombar outr intervert mielopat
336,F718,4076,F71.8 Outr comprometimentos do comport
337,S821,4066,S82.1 Frat da extremidade proximal da tibia
338,K20,4020,K20   Esofagite
339,J210,4007,J21.0 Bronquiolite aguda dev virus sincicial resp
340,C679,4005,C67.9 Bexiga SOE
341,S420,3982,S42.0 Frat da clavicula
342,N841,3965,N84.1 Polipo do colo do utero
343,M543,3949,M54.3 Ciatica
344,F809,3919,F80.9 Transt NE do desenvolv da fala ou linguagem
345,H540,3899,H54.0 Cegueira ambos os olhos
346,H110,3859,H11.0 Pterigio
347,J010,3855,J01.0 Sinusite maxilar aguda
348,N642,3833,N64.2 Atrofia da mama
349,G442,3825,G44.2 Cefaleia tensional
350,I269,3786,I26.9 Embolia pulmonar s/menc cor pulmonale agudo
351,H024,3781,H02.4 Ptose da palpebra
352,B349,3771,B34.9 Infecc viral NE
353,F711,3771,F71.1 Compr signif comport req vigilancia ou trat
354,H570,3746,H57.0 Anomalias da funcao pupilar
355,G328,3741,G32.8 Outr transt degener espec sist nerv doen COP
356,J329,3706,J32.9 Sinusite cronica NE
357,G459,3704,G45.9 Isquemia cerebral transitoria NE
358,S422,3689,S42.2 Frat da extremidade super do umero
359,G808,3678,G80.8 Outr form de paralisia cerebral infantil
360,S826,3659,S82.6 Frat do maleolo lateral
361,M201,3657,M20.1 Hallux valgo
362,M629,3655,M62.9 Transt muscular NE
363,D367,3644,D36.7 Outr localiz espec
364,G802,3615,G80.2 Hemiplegia infantil
365,C920,3583,C92.0 Leucemia mieloide aguda
366,L720,3567,L72.0 Cisto epidermico
367,H612,3561,H61.2 Cerume impactado
368,J030,3540,J03.0 Amigdalite estreptococica
369,G820,3534,G82.0 Paraplegia flacida
370,S019,3532,S01.9 Ferim na cabeca parte NE
371,A499,3510,A49.9 Infecc bacter NE
372,N219,3497,N21.9 Calculo do trato urinario infer porcao NE
373,S837,3488,S83.7 Traum de estruturas mult do joelho
374,J441,3460,J44.1 Doenc pulmonar obstr cron c/exacerb aguda NE
375,H539,3459,H53.9 Disturbio visual NE
376,C859,3454,C85.9 Linfoma nao-Hodgkin de tipo NE
377,C169,3448,C16.9 Estomago NE
378,F848,3442,F84.8 Outr transt globais do desenvolv
379,S828,3372,S82.8 Frat de outr partes da perna
380,K928,3367,K92.8 Outr doenc espec do aparelho digestivo
381,F900,3350,F90.0 Disturbios da atividade e da atencao
382,C340,3316,C34.0 Bronquio principal
383,S623,3311,S62.3 Frat de outr ossos do metacarpo
384,F419,3287,F41.9 Transt ansioso NE
385,S009,3252,S00.9 Traum superf da cabeca parte NE
386,E149,3250,E14.9 S/complic
387,S729,3248,S72.9 Frat do femur parte NE
388,C259,3232,C25.9 Pancreas NE
389,O342,3158,O34.2 Assist prest mae cicatriz uterina cirurg ant
390,R002,3148,R00.2 Palpitacoes
391,D469,3143,D46.9 Sindr mielodisplasica NE
392,S822,3135,S82.2 Frat da diafise da tibia
393,N211,3123,N21.1 Calculo uretral
394,N111,3117,N11.1 Pielonefrite obstrutiva cronica
395,S520,3089,S52.0 Frat da extremidade super do cubito
396,C539,3086,C53.9 Colo do utero NE
397,O334,3079,O33.4 Assist prest mae desprop orig mista mat fet
398,N394,3075,N39.4 Outr incontinencias urinarias espec
399,E119,3073,E11.9 S/complic
400,A085,3072,A08.5 Outr infecc intestinais espec
401,H010,3056,H01.0 Blefarite
402,I119,3049,I11.9 Doenc cardiaca hipertensiva s/insuf cardiaca
403,M819,3047,M81.9 Osteoporose NE
404,J450,3024,J45.0 Asma predom alergica
405,C443,3023,C44.3 Pele de outr partes e de partes NE da face
406,R17,2993,R17   Ictericia NE
407,O420,2985,O42.0 Ruptura premat membr c/inic trab parto 24h
408,F102,2981,F10.2 Sindr de dependencia
409,J348,2967,J34.8 Outr transt espec nariz e seios paranasais
410,M160,2956,M16.0 Coxartrose prim bilateral
411,M775,2948,M77.5 Outr entesopatia do pe
412,A084,2944,A08.4 Infecc intestinal dev virus NE
413,I250,2932,I25.0 Doenc cardiovasc ateroscler descr deste modo
414,S430,2926,S43.0 Luxacao da articulacao do ombro
415,I159,2921,I15.9 Hipertensao secund NE
416,S068,2918,S06.8 Outr traum intracranianos
417,J118,2918,J11.8 Influenza c/outr manif dev virus nao ident
418,I861,2914,I86.1 Varizes escrotais
419,G35,2912,G35   Esclerose mult
420,C218,2909,C21.8 Lesao invasiva do reto anus e do canal anal
421,F82,2908,F82   Transt especifico do desenvolv motor
422,I210,2907,I21.0 Infarto agudo transmural parede ant miocard
423,S721,2903,S72.1 Frat pertrocanterica
424,Z513,2902,Z51.3 Transfusao de sangue s/diagn registrado
425,L82,2877,L82   Ceratose seborreica
426,I702,2873,I70.2 Aterosclerose das arterias das extremidades
427,M171,2873,M17.1 Outr gonartroses prim
428,K566,2867,K56.6 Outr form de obstrucao intestinal e as NE
429,R071,2867,R07.1 Dor toracica ao respirar
430,H189,2865,H18.9 Transt NE da cornea
431,L600,2863,L60.0 Unha encravada
432,D485,2846,D48.5 Pele
433,K629,2839,K62.9 Doenc do anus e do reto SOE
434,J218,2834,J21.8 Bronquiolite aguda dev outr microorg espec
435,S923,2834,S92.3 Frat de ossos do metatarso
436,O654,2826,O65.4 Obstr trab parto dev desprop feto-pelvica NE
437,H526,2818,H52.6 Outr transt da refracao
438,N178,2816,N17.8 Outr tipo de insuf renal aguda
439,R202,2808,R20.2 Parestesias cutaneas
440,N600,2799,N60.0 Cisto solitario da mama
441,K295,2797,K29.5 Gastrite cronica SOE
442,K610,2794,K61.0 Abscesso anal
443,R490,2776,R49.0 Disfonia
444,S602,2775,S60.2 Contusao de outr partes do punho e da mao
445,S424,2767,S42.4 Frat da extremidade infer do umero
446,I652,2753,I65.2 Oclusao e estenose da arteria carotida
447,C719,2746,C71.9 Encefalo NE
448,R522,2744,R52.2 Outr dor cronica
449,D180,2737,D18.0 Hemangioma de qualquer localiz
450,C670,2731,C67.0 Trigono da bexiga
451,Z359,2729,Z35.9 Supervisao NE de gravidez de alto risco
452,E041,2724,E04.1 Bocio nao-toxico uninodular
453,L039,2720,L03.9 Celulite NE
454,R040,2718,R04.0 Epistaxis
455,M218,2717,M21.8 Outr deform adquir espec dos membros
456,F320,2714,F32.0 Episodio depressivo leve
457,J440,2712,J44.0 Doen pulm obs cron c/inf resp ag tr resp inf
458,S620,2710,S62.0 Frat do osso navicular da mao
459,P229,2707,P22.9 Desconforto respirat NE do recem-nascido
460,M501,2698,M50.1 Transt do disco cervical c/radiculopatia
461,S600,2692,S60.0 Contusao de dedos s/lesao da unha
462,Z321,2686,Z32.1 Gravidez confirmada
463,H169,2684,H16.9 Ceratite NE
464,M758,2678,M75.8 Outr lesoes do ombro
465,I848,2673,I84.8 Hemorroidas NE c/outr complic
466,I471,2672,I47.1 Taquicardia supraventricular
467,S018,2664,S01.8 Ferim na cabeca de outr localiz
468,D486,2661,D48.6 Mama
469,E780,2654,E78.0 Hipercolesterolemia pura
470,N850,2647,N85.0 Hiperplasia glandular endometrial
471,J351,2643,J35.1 Hipertrofia das amigdalas
472,J110,2640,J11.0 Influenza c/pneumonia dev virus nao ident
473,S628,2636,S62.8 Frat de outr partes e de partes NE punho mao
474,M755,2633,M75.5 Bursite do ombro
475,O410,2624,O41.0 Oligohidramnio
476,E65,2615,E65   Adiposidade localizada
477,T009,2605,T00.9 Traum superf mult NE
478,J36,2605,J36   Abscesso periamigdaliano
479,Q654,2598,Q65.4 Subluxacao congen bilateral do quadril
480,L031,2589,L03.1 Celulite de outr partes de membros
481,H186,2584,H18.6 Ceratocone
482,J90,2584,J90   Derrame pleural NCOP
483,K076,2575,K07.6 Transt da articulacao temporomandibular
484,R13,2564,R13   Disfagia
485,J068,2563,J06.8 Outr infecc agudas vias aereas sup loc mult
486,N760,2563,N76.0 Vaginite aguda
487,S932,2546,S93.2 Ruptura de ligamentos nivel tornozelo e pe
488,S900,2543,S90.0 Contusao do tornozelo
489,F29,2541,F29   Psicose nao-organica NE
490,G400,2540,G40.0 Epilep sind epil idiop def loc cris inic foc
491,N039,2539,N03.9 NE
492,S836,2537,S83.6 Entorse distensao outr partes e NE joelho
493,Z940,2531,Z94.0 Rim transplantado
494,K469,2526,K46.9 Hernia abdominal NE s/obstrucao ou gangrena
495,O479,2519,O47.9 Falso trabalho de parto NE
496,S820,2517,S82.0 Frat da rotula
497,L97,2515,L97   Ulcera dos membros infer NCOP
498,H580,2499,H58.0 Anomalias da funcao pupilar em doenc COP
499,M224,2495,M22.4 Condromalacia da rotula
500,S218,2494,S21.8 Ferim de outr partes do torax
501,S723,2483,S72.3 Frat da diafise do femur
502,Z488,2479,Z48.8 Outr seguimento cirurgico espec
503,G821,2472,G82.1 Paraplegia espastica
504,M519,2470,M51.9 Transt NE de disco intervertebral
505,Z572,2454,Z57.2 Exposicao ocupacional a poeira
506,M653,2452,M65.3 Dedo em gatilho
507,I639,2448,I63.9 Infarto cerebral NE
508,S529,2447,S52.9 Frat do antebraco parte NE
509,L988,2441,L98.8 Outr afeccoes espec pele e tec subcutaneo
510,Z470,2424,Z47.0 Seguim env rem placa frat outr disp fix int
511,Z004,2422,Z00.4 Exame psiquiatrico geral NCOP
512,R600,2407,R60.0 Edema localizado
513,G823,2402,G82.3 Tetraplegia flacida
514,E878,2402,E87.8 Outr transt equilibrio hidroeletrolit NCOP
515,J984,2401,J98.4 Outr transt pulmonares
516,M546,2377,M54.6 Dor na coluna toracica
517,H029,2377,H02.9 Transt NE da palpebra
518,D251,2373,D25.1 Leiomioma intramural do utero
519,S531,2366,S53.1 Luxacao do cotovelo NE
520,D509,2360,D50.9 Anemia p/defic de ferro NE
521,N645,2356,N64.5 Outr sint e sinais da mama
522,M190,2354,M19.0 Artrose prim de outr articulacoes
523,B269,2351,B26.9 Caxumba s/complic
524,R194,2351,R19.4 Alteracao do habito intestinal
525,J320,2350,J32.0 Sinusite maxilar cronica
526,I743,2349,I74.3 Embolia e trombose de arterias membros infer
527,N009,2338,N00.9 NE
528,M058,2335,M05.8 Outr artrites reumatoides soro-positivas
529,R33,2328,R33   Retencao urinaria
530,H920,2317,H92.0 Otalgia
531,S829,2306,S82.9 Frat da perna parte NE
532,D440,2305,D44.0 Gland tireoide
533,I516,2296,I51.6 Doenc cardiovascular NE
534,S423,2295,S42.3 Frat da diafise do umero
535,K921,2282,K92.1 Melena
