"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"130050 Barreirinha";-;1;-;-;-;-;-;-;-;-;-;-;1
"130060 Benjamin Constant";-;-;1;1;1;1;-;1;-;-;2;3;10
"130068 Boa Vista do Ramos";-;-;-;-;-;-;-;-;1;-;-;-;1
"130070 Boca do Acre";-;-;1;-;1;-;-;-;-;-;-;-;2
"130100 Carauari";1;-;-;-;-;-;-;-;-;-;1;-;2
"130120 Coari";-;-;-;-;-;1;-;-;1;-;-;-;2
"130140 Eirunepé";-;-;1;-;3;1;-;-;1;1;-;-;7
"130150 Envira";-;-;-;-;-;-;-;-;-;-;1;1;2
"130160 Fonte Boa";-;-;-;-;-;-;-;1;-;-;-;-;1
"130170 Humaitá";-;-;-;1;-;-;-;1;-;-;-;-;2
"130180 Ipixuna";-;-;-;1;-;-;-;-;-;1;-;-;2
"130185 Iranduba";-;-;-;-;-;-;-;-;-;-;-;1;1
"130190 Itacoatiara";-;-;-;-;-;-;-;-;1;-;1;1;3
"130195 Itamarati";-;-;-;-;1;-;-;-;1;-;-;-;2
"130210 Japurá";-;-;-;-;-;-;-;1;-;-;-;-;1
"130220 Juruá";-;-;-;-;-;-;-;-;-;1;-;-;1
"130230 Jutaí";-;1;-;-;-;-;1;-;-;-;-;-;2
"130240 Lábrea";-;-;-;-;-;-;1;-;1;-;-;-;2
"130250 Manacapuru";1;-;-;-;-;-;2;-;-;-;-;-;3
"130260 Manaus";6;8;5;3;9;8;13;9;4;5;7;12;89
"130290 Maués";-;-;-;-;-;1;-;1;-;-;-;-;2
"130310 Nova Olinda do Norte";-;-;-;-;-;-;-;-;-;-;2;-;2
"130340 Parintins";-;-;-;2;-;-;-;-;-;-;-;3;5
"130353 Presidente Figueiredo";-;-;-;-;-;-;1;-;-;-;-;-;1
"130360 Santa Isabel do Rio Negro";-;-;-;1;-;-;-;-;-;-;-;-;1
"130370 Santo Antônio do Içá";1;1;-;-;2;1;-;-;1;-;-;-;6
"130380 São Gabriel da Cachoeira";1;1;5;1;2;-;4;-;-;4;1;1;20
"130390 São Paulo de Olivença";-;-;1;-;-;-;-;-;-;-;-;-;1
"130406 Tabatinga";-;1;-;3;-;2;-;1;-;2;2;3;14
"130410 Tapauá";-;-;-;-;1;-;-;-;-;-;-;1;2
"130420 Tefé";-;-;-;-;1;1;-;-;-;1;-;-;3
"130430 Urucará";-;-;-;-;-;-;-;-;-;-;-;1;1
"140005 Alto Alegre";-;-;-;1;-;-;-;1;-;1;-;-;3
"140002 Amajari";-;1;-;2;-;-;-;2;-;-;-;-;5
"140010 Boa Vista";1;1;3;-;6;3;-;2;2;4;1;1;24
"140015 Bonfim";-;-;-;1;1;-;-;1;1;-;-;-;4
"140017 Cantá";-;1;-;-;-;-;-;-;1;-;-;1;3
"140030 Mucajaí";-;-;-;-;1;1;-;-;1;-;-;1;4
"140045 Pacaraima";-;-;1;-;-;1;-;-;-;-;-;-;2
"140047 Rorainópolis";-;-;-;-;-;-;-;-;1;-;-;-;1
"140060 São Luiz";-;-;-;1;-;-;-;-;-;-;1;-;2
"140070 Uiramutã";1;-;-;-;-;-;-;-;-;-;-;1;2
"150010 Abaetetuba";1;-;-;-;-;1;-;-;-;-;-;-;2
"150020 Acará";-;-;-;-;-;-;-;-;-;-;1;-;1
"150040 Alenquer";1;-;-;-;-;-;-;-;-;-;-;-;1
"150050 Almeirim";-;-;1;-;1;1;-;-;-;-;-;-;3
"150060 Altamira";-;1;2;-;1;2;1;-;1;-;2;-;10
"150080 Ananindeua";1;-;-;3;-;-;-;3;-;2;3;2;14
"150090 Augusto Corrêa";-;-;-;-;1;-;-;-;-;-;-;-;1
"150095 Aurora do Pará";-;-;-;-;-;-;-;-;-;-;1;-;1
"150120 Baião";-;-;-;-;-;-;1;-;-;-;-;-;1
"150130 Barcarena";-;-;-;-;1;-;1;-;-;2;-;-;4
"150140 Belém";1;4;1;1;8;2;9;3;-;6;3;3;41
"150145 Belterra";-;-;-;-;-;1;-;-;-;-;-;-;1
"150150 Benevides";-;-;-;-;-;-;1;-;-;-;-;-;1
"150157 Bom Jesus do Tocantins";-;-;1;-;-;-;-;-;-;-;-;-;1
"150170 Bragança";-;-;-;-;1;-;-;-;-;-;-;1;2
"150172 Brasil Novo";1;1;-;-;-;-;-;-;-;1;1;-;4
"150178 Breu Branco";-;-;-;-;1;-;-;-;-;1;-;-;2
"150180 Breves";-;-;-;-;1;-;1;-;-;2;1;1;6
"150195 Cachoeira do Piriá";-;-;-;-;-;1;-;-;-;-;-;-;1
"150210 Cametá";-;1;1;-;-;1;-;-;-;1;1;1;6
"150215 Canaã dos Carajás";-;-;-;-;1;-;-;-;-;-;1;-;2
"150220 Capanema";-;-;-;1;-;-;-;-;-;-;1;-;2
"150240 Castanhal";-;-;2;1;2;1;2;-;3;-;-;-;11
"150270 Conceição do Araguaia";-;-;-;-;1;-;-;1;-;1;-;-;3
"150277 Curionópolis";-;-;-;-;-;-;-;-;-;-;1;-;1
"150280 Curralinho";-;-;-;-;-;-;-;-;-;-;1;-;1
"150293 Dom Eliseu";-;-;-;-;-;-;-;2;-;-;-;-;2
"150295 Eldorado do Carajás";-;-;-;1;-;-;1;-;1;-;-;1;4
"150304 Floresta do Araguaia";-;-;-;-;1;1;-;-;-;-;-;-;2
"150309 Goianésia do Pará";-;1;-;-;-;-;-;-;-;-;-;-;1
"150320 Igarapé-Açu";-;1;1;-;-;-;-;-;-;-;-;-;2
"150345 Ipixuna do Pará";-;-;-;-;-;-;-;-;1;-;-;-;1
"150350 Irituia";-;-;-;-;-;-;-;-;-;-;1;-;1
"150360 Itaituba";-;-;4;2;1;1;-;-;1;2;-;2;13
"150375 Jacareacanga";-;-;-;-;-;-;-;-;-;1;-;-;1
"150380 Jacundá";-;1;-;-;-;-;-;1;-;1;-;1;4
"150390 Juruti";-;-;1;1;-;-;-;-;1;-;-;-;3
"150405 Mãe do Rio";-;-;-;-;-;1;-;-;-;-;-;-;1
"150420 Marabá";-;2;3;1;2;2;2;-;2;-;1;2;17
"150440 Marapanim";-;-;-;-;-;1;1;-;-;-;-;-;2
"150442 Marituba";1;-;-;-;-;-;-;1;-;1;-;-;3
"150445 Medicilândia";-;-;-;-;-;-;-;1;-;-;-;-;1
"150460 Mocajuba";1;-;-;-;-;1;-;-;-;-;-;1;3
"150470 Moju";-;-;-;-;-;-;-;1;-;-;-;-;1
"150480 Monte Alegre";1;-;-;1;-;-;1;-;-;-;-;1;4
"150495 Nova Esperança do Piriá";-;-;-;-;-;-;1;1;2;-;-;-;4
"150500 Nova Timboteua";-;-;1;-;-;-;-;-;-;-;-;-;1
"150503 Novo Progresso";1;-;-;-;-;-;-;1;1;-;-;-;3
"150506 Novo Repartimento";-;1;-;-;-;-;-;1;-;-;1;-;3
"150510 Óbidos";-;1;-;-;-;-;-;-;-;-;-;-;1
"150520 Oeiras do Pará";1;-;-;-;-;-;-;-;-;2;-;-;3
"150530 Oriximiná";-;-;-;-;-;-;-;-;-;1;-;-;1
"150543 Ourilândia do Norte";1;-;-;-;-;-;-;-;-;-;-;-;1
"150548 Pacajá";-;-;-;-;-;-;-;1;-;-;-;-;1
"150549 Palestina do Pará";-;-;-;-;-;-;-;-;1;-;-;-;1
"150550 Paragominas";-;-;1;-;-;-;-;-;-;-;1;-;2
"150553 Parauapebas";2;-;1;1;-;-;-;2;2;2;-;-;10
"150560 Peixe-Boi";-;-;-;-;1;-;-;-;-;-;-;-;1
"150565 Placas";1;-;-;-;-;-;-;-;-;-;-;-;1
"150580 Portel";1;-;-;-;-;-;-;-;-;-;-;-;1
"150613 Redenção";1;-;-;-;-;1;-;-;-;-;-;1;3
"150616 Rio Maria";1;-;-;-;-;-;-;-;-;-;1;-;2
"150618 Rondon do Pará";-;-;-;-;-;-;-;-;1;-;-;-;1
"150650 Santa Izabel do Pará";1;-;-;-;-;1;1;-;-;-;-;2;5
"150660 Santa Maria do Pará";-;-;-;-;-;-;1;-;-;1;-;-;2
"150670 Santana do Araguaia";-;-;-;-;-;-;-;1;-;-;-;-;1
"150680 Santarém";1;2;2;4;-;1;2;-;2;1;4;3;22
"150710 São Caetano de Odivelas";-;-;1;-;-;-;-;-;-;-;1;-;2
"150715 São Domingos do Araguaia";-;-;-;-;-;-;-;-;1;-;-;-;1
"150720 São Domingos do Capim";1;-;-;-;-;-;-;-;-;-;-;-;1
"150730 São Félix do Xingu";-;-;-;1;-;1;-;-;-;-;1;1;4
"150740 São Francisco do Pará";-;-;-;-;1;-;-;-;1;1;-;-;3
"150745 São Geraldo do Araguaia";-;-;-;-;-;-;-;-;-;-;1;-;1
"150747 São João de Pirabas";-;1;-;-;-;-;-;-;-;-;-;-;1
"150760 São Miguel do Guamá";-;-;1;-;-;1;-;-;-;1;-;-;3
"150775 Sapucaia";-;-;-;-;-;-;-;1;-;-;-;-;1
"150795 Tailândia";1;1;1;-;-;-;-;-;-;1;1;-;5
"150797 Terra Santa";-;-;-;-;-;-;-;-;-;-;1;-;1
"150803 Tracuateua";-;-;1;-;-;-;-;-;-;-;-;1;2
"150805 Trairão";-;-;-;-;-;-;-;-;1;-;-;-;1
"150808 Tucumã";-;1;-;-;-;-;-;-;-;-;-;-;1
"150810 Tucuruí";-;1;1;-;-;-;1;-;-;-;-;-;3
"150812 Ulianópolis";-;1;-;-;-;-;-;1;-;-;-;-;2
"150815 Uruará";-;1;-;-;-;-;-;1;-;1;2;-;5
"150820 Vigia";-;1;-;-;-;-;-;-;-;1;-;-;2
"150830 Viseu";-;-;-;-;-;-;-;1;-;-;-;-;1
"150835 Vitória do Xingu";-;-;-;-;-;-;1;-;-;-;-;-;1
"150000 Município ignorado - PA";-;-;-;-;-;-;-;1;-;-;-;-;1
"160027 Laranjal do Jari";-;-;-;-;-;-;-;-;-;2;-;-;2
"160030 Macapá";2;2;3;1;1;5;2;6;1;3;2;3;31
"160040 Mazagão";-;1;-;-;-;1;-;-;-;-;-;-;2
"160050 Oiapoque";-;-;-;-;1;-;-;-;-;-;-;-;1
"160015 Pedra Branca do Amapari";-;-;-;-;-;1;-;-;-;1;-;1;3
"160053 Porto Grande";-;-;-;-;-;1;-;-;-;-;-;-;1
"160060 Santana";3;1;-;-;1;-;-;-;-;-;-;1;6
"170070 Alvorada";-;-;-;-;-;-;-;-;1;-;-;-;1
"170100 Ananás";-;1;1;-;-;-;-;-;-;-;-;1;3
"170110 Aparecida do Rio Negro";-;-;-;-;-;-;-;-;-;2;-;-;2
"170130 Aragominas";-;-;1;-;-;-;-;-;-;1;-;-;2
"170200 Araguaçu";-;-;-;-;1;-;-;-;-;-;-;-;1
"170210 Araguaína";1;3;-;1;-;2;3;1;-;-;-;3;14
"170240 Arraias";-;1;-;-;-;-;-;-;-;-;1;-;2
"170290 Axixá do Tocantins";-;-;-;-;-;-;-;-;1;-;-;-;1
"171670 Colméia";-;-;-;-;-;-;-;-;1;-;-;-;1
"170610 Cristalândia";1;-;-;-;-;-;2;-;-;-;-;-;3
"170650 Darcinópolis";-;-;-;-;-;-;-;-;-;1;-;-;1
"170700 Dianópolis";-;-;-;-;1;-;1;-;-;-;-;1;3
"170710 Divinópolis do Tocantins";-;-;-;1;-;-;-;-;1;-;-;-;2
"170730 Dueré";-;-;-;-;-;-;-;-;1;-;-;-;1
"170740 Esperantina";-;-;-;-;-;-;1;-;-;-;-;-;1
"170820 Formoso do Araguaia";-;-;-;-;-;-;-;1;-;-;-;1;2
"170830 Goianorte";-;-;-;1;-;1;-;1;-;-;-;-;3
"170900 Goiatins";-;-;-;-;1;-;-;-;-;-;-;-;1
"170930 Guaraí";-;-;-;-;-;-;-;1;-;1;-;-;2
"170950 Gurupi";-;1;3;-;1;1;1;-;-;-;-;-;7
"171050 Itacajá";1;-;-;-;-;-;-;-;-;-;-;-;1
"171070 Itaguatins";1;-;-;-;-;-;-;-;-;-;-;-;1
"171190 Lagoa da Confusão";-;1;-;-;-;-;-;-;-;1;-;-;2
"171195 Lagoa do Tocantins";-;-;-;-;-;-;-;-;-;1;-;-;1
"171250 Marianópolis do Tocantins";-;-;-;-;-;-;-;-;1;-;-;-;1
"171320 Miracema do Tocantins";-;-;-;-;-;-;-;-;-;-;-;1;1
"171330 Miranorte";-;-;-;-;-;-;-;-;-;-;-;1;1
"171360 Monte do Carmo";-;-;-;-;-;-;1;-;-;-;-;-;1
"171395 Muricilândia";-;-;-;-;-;1;-;-;-;-;-;-;1
"171420 Natividade";-;-;1;-;-;-;-;-;-;1;-;-;2
"171510 Novo Acordo";-;-;-;-;-;1;-;-;-;-;-;-;1
"171515 Novo Alegre";-;-;1;-;-;-;-;-;-;-;-;-;1
"172100 Palmas";-;1;2;1;-;-;2;-;-;2;2;4;14
"171575 Palmeirópolis";-;-;-;1;-;-;-;-;-;1;-;-;2
"171610 Paraíso do Tocantins";1;-;-;-;-;-;-;-;1;1;2;3;8
"171620 Paranã";-;-;1;-;-;-;-;-;-;-;-;-;1
"171630 Pau D'Arco";1;-;-;-;-;-;-;-;-;-;-;-;1
"171650 Pedro Afonso";-;-;-;-;2;-;-;-;-;-;-;-;2
"171660 Peixe";-;1;-;-;-;-;-;1;-;-;-;-;2
"171700 Pindorama do Tocantins";-;-;1;-;-;-;-;-;-;-;-;-;1
"171750 Pium";-;-;1;1;-;-;1;-;-;-;-;-;3
"171820 Porto Nacional";-;-;1;-;-;-;-;-;-;-;-;-;1
"171875 Rio Sono";-;-;1;-;-;-;-;-;-;-;-;1;2
"171884 Sandolândia";-;-;-;-;1;-;-;-;-;-;-;-;1
"171890 Santa Rosa do Tocantins";-;-;-;-;-;1;1;-;-;-;-;-;2
"172000 Santa Terezinha do Tocantins";-;-;-;-;1;-;-;-;-;-;-;-;1
"172025 São Salvador do Tocantins";-;-;1;-;-;-;-;-;-;-;-;-;1
"172030 São Sebastião do Tocantins";1;-;-;-;-;-;-;-;-;-;-;-;1
"172049 São Valério";-;-;-;-;1;-;-;-;-;-;-;-;1
"172120 Tocantinópolis";1;-;-;-;-;1;-;-;-;-;-;-;2
"172208 Wanderlândia";1;-;-;-;-;-;-;-;-;-;-;-;1
"170000 Município ignorado - TO";-;-;-;-;-;-;1;-;-;-;-;-;1
"210005 Açailândia";-;-;-;-;1;-;-;-;1;-;-;1;3
"210030 Aldeias Altas";-;-;-;-;-;-;-;1;-;-;-;-;1
"210043 Alto Alegre do Maranhão";-;-;-;-;-;1;-;-;-;-;-;-;1
"210050 Alto Parnaíba";-;-;-;-;-;-;-;-;-;1;-;-;1
"210070 Anajatuba";-;-;-;-;-;1;-;-;-;-;1;-;2
"210080 Anapurus";-;-;-;-;1;-;-;-;-;-;-;-;1
"210095 Arame";-;-;-;1;-;-;-;-;-;-;1;-;2
"210120 Bacabal";1;-;-;-;1;-;-;-;-;-;1;-;3
"210125 Bacabeira";-;-;-;-;-;-;-;-;1;-;-;-;1
"210130 Bacuri";1;-;-;-;-;-;-;-;-;-;-;-;1
"210140 Balsas";-;-;-;-;1;1;-;-;-;-;1;-;3
"210150 Barão de Grajaú";1;-;-;-;-;-;-;-;1;-;-;2;4
"210160 Barra do Corda";1;-;-;1;-;2;-;2;-;-;-;-;6
"210180 Benedito Leite";-;-;-;1;-;-;-;-;-;-;-;-;1
"210200 Bom Jardim";-;-;-;-;1;-;-;1;-;-;-;-;2
"210203 Bom Jesus das Selvas";-;-;-;-;-;-;-;-;-;-;-;1;1
"210207 Bom Lugar";-;-;-;-;-;-;1;-;-;-;-;-;1
"210210 Brejo";1;1;-;-;-;-;-;-;1;-;-;-;3
"210215 Brejo de Areia";-;-;-;1;-;-;-;-;-;-;-;-;1
"210220 Buriti";1;-;-;-;-;-;-;-;-;1;-;-;2
"210230 Buriti Bravo";-;1;-;-;1;-;1;-;-;-;1;-;4
"210232 Buriticupu";-;-;-;-;1;-;-;-;-;-;-;-;1
"210240 Cajapió";-;-;-;1;-;-;-;-;-;-;-;-;1
"210250 Cajari";-;-;-;-;-;-;-;-;1;-;-;-;1
"210255 Campestre do Maranhão";-;-;-;-;-;-;-;-;1;-;-;-;1
"210275 Capinzal do Norte";-;-;-;-;-;-;-;-;-;-;1;-;1
"210280 Carolina";-;-;1;-;-;-;-;-;-;1;-;-;2
"210290 Carutapera";-;-;-;-;1;-;-;-;-;-;-;-;1
"210300 Caxias";1;-;1;-;-;2;2;3;2;-;-;-;11
"210310 Cedral";-;-;-;-;1;-;-;-;-;-;-;-;1
"210312 Central do Maranhão";-;-;-;-;-;1;-;1;-;-;-;-;2
"210320 Chapadinha";-;-;-;-;-;-;-;-;-;-;1;-;1
"210330 Codó";1;-;-;-;1;1;-;-;-;2;1;-;6
"210340 Coelho Neto";-;-;-;-;-;-;-;-;-;1;-;-;1
"210350 Colinas";-;1;-;-;-;-;-;-;-;-;-;-;1
"210360 Coroatá";-;-;-;-;-;-;1;-;1;1;-;-;3
"210370 Cururupu";-;-;-;-;-;-;-;-;-;1;-;-;1
"210375 Davinópolis";1;-;-;-;-;-;1;-;-;-;-;-;2
"210380 Dom Pedro";-;-;-;-;1;-;-;-;1;-;-;-;2
"210400 Esperantinópolis";-;-;1;-;-;-;-;1;-;1;-;-;3
"210405 Estreito";-;-;-;-;-;-;-;-;-;-;-;1;1
"210407 Feira Nova do Maranhão";-;-;1;-;-;-;-;-;-;1;-;-;2
"210409 Formosa da Serra Negra";-;-;-;-;-;-;-;-;-;2;-;-;2
"210420 Fortuna";-;-;-;-;1;-;-;-;-;-;-;-;1
"210440 Gonçalves Dias";-;-;-;-;-;-;-;-;-;-;1;-;1
"210455 Governador Edison Lobão";-;1;-;-;-;-;-;-;-;-;-;-;1
"210465 Governador Newton Bello";-;-;-;-;-;-;-;1;-;-;-;-;1
"210467 Governador Nunes Freire";-;-;-;1;-;-;-;-;-;-;-;-;1
"210480 Grajaú";-;-;-;-;1;-;-;-;3;-;1;1;6
"210520 Igarapé Grande";-;-;-;-;-;-;-;1;-;-;-;-;1
"210530 Imperatriz";1;1;1;1;2;-;3;4;-;4;1;2;20
"210535 Itaipava do Grajaú";1;-;-;-;-;-;-;-;-;-;-;1;2
"210540 Itapecuru Mirim";-;-;-;-;1;-;1;1;-;-;-;-;3
"210542 Itinga do Maranhão";-;-;-;1;1;-;-;-;-;-;1;-;3
"210545 Jatobá";-;-;-;-;-;-;-;1;-;-;-;-;1
"210547 Jenipapo dos Vieiras";-;-;-;1;-;1;-;-;-;-;-;-;2
"210560 Joselândia";1;-;-;-;1;-;-;1;-;-;-;-;3
"210570 Lago da Pedra";-;-;-;-;-;1;-;-;1;-;-;-;2
"210580 Lago do Junco";-;-;-;-;-;-;1;-;-;-;-;-;1
"210594 Lago dos Rodrigues";-;-;-;-;-;-;-;-;-;-;1;-;1
"210590 Lago Verde";-;-;-;-;-;-;-;1;-;-;-;-;1
"210637 Maranhãozinho";-;-;-;-;-;-;-;-;-;-;1;1;2
"210650 Matinha";-;-;-;-;-;-;-;-;1;-;-;-;1
"210660 Matões";-;-;-;-;-;-;-;1;-;-;1;-;2
"210670 Mirador";-;1;-;-;-;-;-;-;-;-;-;-;1
"210675 Miranda do Norte";-;-;-;-;1;-;-;-;-;-;-;-;1
"210700 Montes Altos";1;-;-;-;1;1;-;-;-;-;-;-;3
"210730 Nova Iorque";-;-;-;-;-;-;-;-;-;1;-;-;1
"210735 Nova Olinda do Maranhão";-;-;-;-;-;-;1;-;-;1;-;-;2
"210740 Olho d'Água das Cunhãs";-;-;-;2;-;-;-;1;-;-;-;-;3
"210745 Olinda Nova do Maranhão";-;1;-;-;-;-;-;-;-;-;-;-;1
"210750 Paço do Lumiar";-;-;-;-;-;-;1;-;2;1;1;-;5
"210760 Palmeirândia";-;-;-;-;-;-;-;-;-;1;1;-;2
"210770 Paraibano";1;-;-;1;-;1;-;-;2;-;-;-;5
"210780 Parnarama";-;-;1;-;-;-;-;-;-;-;-;-;1
"210800 Pastos Bons";-;-;-;-;-;-;-;1;-;-;-;-;1
"210820 Pedreiras";-;1;-;2;1;-;-;-;1;1;-;-;6
"210825 Pedro do Rosário";-;-;-;-;1;-;-;-;-;-;-;1;2
"210850 Pindaré-Mirim";-;-;1;-;-;-;-;1;-;-;-;-;2
"210860 Pinheiro";-;-;1;-;-;-;-;-;1;-;-;-;2
"210870 Pio XII";-;-;-;-;-;-;-;-;-;-;-;1;1
"210880 Pirapemas";-;-;-;1;-;-;-;-;-;-;-;-;1
"210923 Presidente Médici";-;-;1;-;-;-;-;1;-;-;-;-;2
"210927 Presidente Sarney";-;-;1;-;1;-;-;-;-;-;-;-;2
"210930 Presidente Vargas";-;-;-;-;-;-;-;-;-;-;1;-;1
"210945 Raposa";-;-;-;-;-;-;1;-;1;-;-;-;2
"210950 Riachão";1;-;-;-;1;-;-;1;-;-;-;1;4
"210955 Ribamar Fiquene";-;-;-;1;-;-;-;-;-;-;-;1;2
"210960 Rosário";-;-;-;-;1;-;-;-;-;-;-;1;2
"210970 Sambaíba";-;-;-;1;1;-;-;-;-;-;-;-;2
"210980 Santa Helena";-;2;2;-;-;-;-;-;-;-;-;-;4
"210990 Santa Inês";1;-;1;-;-;1;-;-;1;-;-;-;4
"211000 Santa Luzia";-;-;-;-;-;-;1;1;-;-;-;-;2
"211003 Santa Luzia do Paruá";-;-;-;1;-;-;-;-;-;-;-;-;1
"211020 Santa Rita";-;-;-;-;-;-;-;-;1;-;-;-;1
"211050 São Bento";-;-;-;-;-;-;-;-;-;-;1;-;1
"211060 São Bernardo";-;-;1;-;-;1;-;-;-;-;-;-;2
"211070 São Domingos do Maranhão";-;-;1;-;-;-;-;-;-;-;1;1;3
"211080 São Félix de Balsas";-;-;-;-;-;-;1;-;-;-;-;-;1
"211100 São João Batista";-;-;-;1;-;-;1;-;-;-;-;-;2
"211105 São João do Paraíso";-;-;-;-;-;-;-;1;-;-;-;-;1
"211107 São João do Soter";-;-;-;-;-;-;1;-;-;-;-;-;1
"211110 São João dos Patos";2;1;-;-;-;-;-;1;-;-;-;-;4
"211120 São José de Ribamar";-;-;-;-;1;1;3;-;-;-;1;-;6
"211130 São Luís";1;-;2;3;5;7;-;4;3;9;2;2;38
"211140 São Luís Gonzaga do Maranhão";-;-;1;-;-;-;-;-;1;-;1;-;3
"211150 São Mateus do Maranhão";-;-;-;-;-;1;-;1;-;-;-;-;2
"211170 São Vicente Ferrer";-;-;-;-;-;-;-;-;-;-;1;-;1
"211176 Senador La Rocque";-;-;-;-;-;-;-;-;-;1;-;-;1
"211180 Sítio Novo";-;1;-;-;-;-;-;-;-;-;-;-;1
"211210 Timbiras";-;-;-;-;-;-;1;-;-;-;-;-;1
"211220 Timon";1;-;1;-;2;-;1;1;1;1;1;1;10
"211223 Trizidela do Vale";-;-;-;1;-;-;1;-;-;-;-;-;2
"211227 Tufilândia";-;-;-;-;-;-;-;-;-;1;-;-;1
"211230 Tuntum";-;-;-;-;-;-;-;1;-;-;-;-;1
"211240 Turiaçu";-;-;-;-;-;1;1;-;-;-;-;-;2
"211260 Urbano Santos";-;-;-;-;-;-;-;-;-;-;1;1;2
"211270 Vargem Grande";-;-;-;-;1;-;-;-;-;-;-;-;1
"211280 Viana";-;-;-;-;-;-;-;1;-;-;-;-;1
"211285 Vila Nova dos Martírios";-;-;-;-;-;-;-;-;-;-;-;1;1
"211290 Vitória do Mearim";-;-;-;-;1;1;-;1;-;-;-;-;3
"211300 Vitorino Freire";-;-;1;-;-;1;-;1;-;-;1;1;5
"211400 Zé Doca";1;1;-;-;-;-;1;-;-;1;-;1;5
"220010 Agricolândia";1;-;-;-;-;-;-;-;-;-;-;-;1
"220020 Água Branca";-;-;-;-;-;-;1;-;-;-;-;-;1
