"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"170000 Município ignorado - TO";-;-;-;-;-;-;-;-;-;-;1;-;1
"210005 Açailândia";-;-;1;-;-;1;-;-;-;1;1;-;4
"210043 Alto Alegre do Maranhão";-;-;-;-;-;-;-;-;-;1;1;-;2
"210047 Alto Alegre do Pindaré";1;-;-;-;-;-;-;-;-;-;-;-;1
"210120 Bacabal";1;1;-;2;-;-;-;2;1;-;-;1;8
"210125 Bacabeira";-;1;-;-;-;-;-;-;-;-;-;-;1
"210140 Balsas";-;-;-;-;-;-;1;1;1;-;-;-;3
"210160 Barra do Corda";-;-;-;-;1;-;-;-;-;1;2;1;5
"210173 Belágua";-;-;-;-;-;-;-;1;-;-;-;-;1
"210200 Bom Jardim";-;-;-;-;-;-;-;-;-;1;-;-;1
"210203 Bom Jesus das Selvas";-;-;1;-;-;2;-;-;-;-;-;-;3
"210230 Buriti Bravo";-;-;-;-;1;-;-;-;-;-;-;-;1
"210232 Buriticupu";-;-;-;-;-;-;2;-;-;-;-;-;2
"210270 Cantanhede";1;-;-;-;-;-;-;-;-;-;1;-;2
"210275 Capinzal do Norte";-;-;-;1;-;-;-;-;-;-;-;-;1
"210280 Carolina";-;-;1;-;-;-;-;-;-;-;-;-;1
"210290 Carutapera";-;-;-;-;-;-;-;-;1;1;-;-;2
"210300 Caxias";-;1;-;-;-;-;1;-;-;3;1;-;6
"210320 Chapadinha";-;1;-;-;-;1;2;-;1;-;-;1;6
"210330 Codó";-;1;-;-;-;-;-;-;-;-;-;-;1
"210350 Colinas";-;-;-;1;-;-;-;-;-;-;-;-;1
"210360 Coroatá";-;-;-;-;-;-;-;-;-;-;-;1;1
"210380 Dom Pedro";-;-;-;-;-;-;-;-;1;-;-;-;1
"210407 Feira Nova do Maranhão";-;-;-;-;-;1;-;-;-;-;-;-;1
"210430 Godofredo Viana";-;-;-;-;-;-;-;-;1;-;-;-;1
"210460 Governador Eugênio Barros";1;-;-;-;-;-;-;-;-;-;-;-;1
"210467 Governador Nunes Freire";-;-;1;-;-;-;1;1;-;-;-;-;3
"210480 Grajaú";-;-;-;-;-;-;-;-;-;-;1;-;1
"210500 Humberto de Campos";-;-;-;-;1;-;-;-;-;1;-;-;2
"210530 Imperatriz";1;2;1;-;-;-;-;-;1;-;2;-;7
"210540 Itapecuru Mirim";-;-;-;-;-;1;-;1;-;-;1;-;3
"210542 Itinga do Maranhão";-;-;-;-;-;-;-;-;-;-;-;1;1
"210560 Joselândia";-;-;-;-;-;-;-;-;1;-;-;-;1
"210570 Lago da Pedra";-;-;-;-;-;-;1;-;-;-;-;-;1
"210594 Lago dos Rodrigues";-;-;-;-;-;-;-;-;-;-;-;1;1
"210640 Mata Roma";-;-;-;-;1;-;-;-;-;-;-;-;1
"210660 Matões";-;-;-;-;-;-;-;-;-;1;-;-;1
"210675 Miranda do Norte";-;-;1;-;-;-;-;-;-;-;-;-;1
"210690 Monção";-;-;-;-;1;-;-;-;-;-;-;-;1
"210700 Montes Altos";-;1;-;-;-;-;-;-;-;-;-;-;1
"210735 Nova Olinda do Maranhão";-;-;-;-;-;-;-;-;-;1;-;-;1
"210750 Paço do Lumiar";1;-;-;-;-;-;1;-;-;1;1;-;4
"210780 Parnarama";-;-;1;-;-;-;-;-;-;-;-;-;1
"210790 Passagem Franca";1;-;-;-;-;-;-;-;-;-;-;-;1
"210800 Pastos Bons";-;-;-;-;-;-;-;1;1;-;-;-;2
"210820 Pedreiras";-;-;-;-;1;-;-;-;-;-;1;-;2
"210850 Pindaré-Mirim";-;-;-;-;-;-;-;-;-;1;1;1;3
"210860 Pinheiro";1;-;1;-;-;1;1;1;-;-;-;1;6
"210900 Porto Franco";-;-;-;-;-;-;2;-;-;-;-;-;2
"210923 Presidente Médici";-;-;-;-;-;1;-;-;-;-;-;-;1
"210930 Presidente Vargas";-;-;1;-;-;-;-;-;-;-;-;-;1
"210950 Riachão";-;-;-;-;-;-;-;-;-;1;1;-;2
"210955 Ribamar Fiquene";-;-;-;-;-;-;-;-;-;-;-;1;1
"210960 Rosário";-;-;-;-;-;-;-;-;-;-;-;1;1
"210990 Santa Inês";-;1;-;-;-;-;-;-;-;-;-;1;2
"211000 Santa Luzia";-;1;-;-;1;-;-;-;-;-;-;-;2
"211003 Santa Luzia do Paruá";1;-;-;-;-;-;-;-;-;-;-;-;1
"211020 Santa Rita";-;-;1;-;-;-;-;-;-;1;-;-;2
"211027 Santo Amaro do Maranhão";-;-;-;1;-;-;-;-;-;-;-;-;1
"211040 São Benedito do Rio Preto";-;-;-;-;-;-;1;-;-;-;-;-;1
"211060 São Bernardo";-;-;-;-;-;-;-;-;-;-;1;-;1
"211110 São João dos Patos";-;-;-;-;-;1;-;-;2;-;-;-;3
"211120 São José de Ribamar";-;-;-;1;-;-;-;1;-;-;-;-;2
"211125 São José dos Basílios";-;-;-;-;-;1;-;-;1;-;-;-;2
"211130 São Luís";6;1;2;-;3;6;3;5;3;-;-;1;30
"211140 São Luís Gonzaga do Maranhão";-;-;-;-;-;-;-;-;-;1;-;-;1
"211150 São Mateus do Maranhão";-;-;-;1;-;-;-;-;-;-;1;-;2
"211160 São Raimundo das Mangabeiras";-;1;-;-;-;-;-;-;-;-;-;-;1
"211190 Sucupira do Norte";-;-;-;-;-;-;-;-;-;-;1;-;1
"211195 Sucupira do Riachão";-;-;-;-;1;-;-;-;-;-;-;-;1
"211220 Timon";1;2;-;-;-;1;-;-;-;-;-;-;4
"211230 Tuntum";-;-;-;-;-;-;-;-;-;-;1;1;2
"211240 Turiaçu";-;-;1;-;-;-;-;-;-;-;-;-;1
"211250 Tutóia";-;-;-;-;1;-;-;-;-;-;-;-;1
"211260 Urbano Santos";-;-;-;-;-;-;-;1;-;-;-;-;1
"211270 Vargem Grande";-;1;-;-;-;-;-;-;-;-;-;-;1
"211280 Viana";-;-;-;-;-;-;-;-;1;-;-;1;2
"211290 Vitória do Mearim";-;-;-;-;-;-;-;-;-;1;1;-;2
"211400 Zé Doca";-;-;-;-;-;-;-;-;-;-;-;1;1
"210000 Município ignorado - MA";-;-;-;-;-;-;-;-;-;-;1;-;1
"220005 Acauã";-;-;-;-;-;-;-;-;-;-;-;1;1
"220027 Alegrete do Piauí";-;-;-;-;-;1;1;-;-;1;-;-;3
"220040 Altos";-;1;-;-;-;-;-;1;1;-;-;-;3
"220045 Alvorada do Gurguéia";-;-;-;-;-;-;-;-;-;-;1;-;1
"220050 Amarante";1;-;-;-;-;-;1;-;-;1;-;-;3
"220095 Aroeiras do Itaim";1;-;-;-;-;-;-;-;-;1;-;-;2
"220110 Avelino Lopes";-;-;-;-;-;-;-;1;-;-;-;1;2
"220115 Baixa Grande do Ribeiro";-;-;-;1;-;-;-;-;-;-;-;-;1
"220117 Barra D'Alcântara";-;-;1;-;-;-;-;1;1;-;-;-;3
"220120 Barras";-;-;-;-;-;-;-;-;-;1;-;-;1
"220130 Barreiras do Piauí";1;-;-;-;-;-;-;-;-;-;-;-;1
"220140 Barro Duro";-;-;1;-;-;-;-;-;-;-;-;-;1
"220150 Batalha";1;-;1;1;-;-;2;-;-;-;-;-;5
"220173 Betânia do Piauí";-;-;-;1;-;-;-;-;-;-;-;-;1
"220177 Boa Hora";-;-;-;1;-;-;-;-;-;-;-;-;1
"220190 Bom Jesus";-;-;-;-;-;-;-;-;-;-;-;1;1
"220191 Bom Princípio do Piauí";-;-;1;-;-;-;-;-;-;-;-;-;1
"220196 Brasileira";-;-;-;-;-;-;1;-;-;-;-;-;1
"220200 Buriti dos Lopes";-;-;1;-;1;-;-;-;-;-;-;-;2
"220208 Cajueiro da Praia";-;-;-;-;-;-;-;-;-;-;1;-;1
"220217 Campo Largo do Piauí";-;-;-;-;-;-;-;1;-;-;-;-;1
"220220 Campo Maior";-;-;-;-;-;1;3;-;-;-;-;-;4
"220230 Canto do Buriti";-;-;-;-;-;-;-;1;-;-;-;-;1
"220260 Castelo do Piauí";-;-;-;1;-;-;-;-;-;-;-;-;1
"220271 Cocal de Telha";-;-;-;-;-;-;-;1;-;-;-;-;1
"220290 Corrente";-;-;-;-;-;-;-;1;1;-;-;-;2
"220330 Demerval Lobão";-;-;-;-;-;1;-;-;-;-;-;-;1
"220345 Dom Inocêncio";-;-;-;-;-;-;1;-;-;-;-;-;1
"220370 Esperantina";-;-;-;-;-;-;1;-;-;-;-;-;1
"220380 Flores do Piauí";-;1;-;-;-;-;-;-;-;-;-;-;1
"220385 Floresta do Piauí";-;-;-;-;-;-;-;1;-;-;-;-;1
"220390 Floriano";-;-;1;-;-;2;-;-;-;-;1;-;4
"220400 Francinópolis";-;-;-;-;-;-;-;-;-;-;1;-;1
"220430 Fronteiras";-;-;-;1;-;-;-;-;-;-;-;-;1
"220440 Gilbués";-;-;1;-;-;-;-;-;-;-;-;-;1
"220450 Guadalupe";-;-;1;-;-;-;-;-;-;-;-;-;1
"220455 Guaribas";-;-;-;-;-;-;-;-;1;-;-;-;1
"220470 Inhuma";-;-;-;-;-;1;1;-;-;-;-;-;2
"220490 Isaías Coelho";-;-;-;1;-;1;-;-;-;-;-;-;2
"220510 Itaueira";-;-;-;-;-;-;-;1;-;-;-;-;1
"220525 Jardim do Mulato";-;-;-;-;-;-;-;-;-;-;-;1;1
"220545 Joca Marques";-;-;-;1;-;-;-;-;-;-;-;-;1
"220550 José de Freitas";-;-;-;-;-;-;1;-;-;-;-;-;1
"220551 Juazeiro do Piauí";-;-;-;-;-;-;-;-;-;1;-;-;1
"220556 Lagoa do Barro do Piauí";-;-;-;-;-;-;1;-;-;-;-;-;1
"220590 Manoel Emídio";-;-;-;-;1;-;-;-;-;-;-;-;1
"220605 Massapê do Piauí";-;-;-;1;-;-;-;-;-;-;-;-;1
"220620 Miguel Alves";1;-;-;-;-;1;-;-;-;-;-;-;2
"220650 Monsenhor Hipólito";-;-;1;-;-;-;-;-;1;-;-;-;2
"220660 Monte Alegre do Piauí";-;-;-;-;-;-;-;1;-;-;-;-;1
"220665 Morro Cabeça no Tempo";-;-;-;1;-;-;-;-;-;-;-;-;1
"220700 Oeiras";-;-;1;2;2;-;-;1;-;-;1;1;8
"220770 Parnaíba";-;1;1;-;-;-;-;-;-;1;1;1;5
"220777 Patos do Piauí";-;-;-;-;-;-;-;-;1;1;-;-;2
"220780 Paulistana";1;-;-;-;-;-;-;1;1;-;-;-;3
"220790 Pedro II";-;-;-;1;-;-;-;-;-;-;-;1;2
"220800 Picos";-;1;-;-;-;3;-;-;2;-;-;1;7
"220820 Pio IX";-;-;-;-;-;-;1;-;-;-;-;-;1
"220830 Piracuruca";-;1;-;-;-;-;-;-;-;-;-;-;1
"220840 Piripiri";-;-;-;1;-;3;1;2;1;1;-;2;11
"220880 Regeneração";1;-;-;1;-;-;-;-;-;-;-;-;2
"220890 Ribeiro Gonçalves";-;-;-;-;-;-;-;-;1;-;-;-;1
"220910 Santa Cruz do Piauí";-;-;-;-;-;1;-;-;-;-;-;1;2
"220920 Santa Filomena";-;-;-;-;1;-;-;-;1;-;-;-;2
"220930 Santa Luz";-;-;-;-;-;-;-;1;-;-;-;-;1
"220935 Santana do Piauí";-;1;-;-;-;-;-;1;-;-;-;-;2
"220940 Santo Antônio de Lisboa";1;-;-;-;-;-;-;-;-;-;-;-;1
"220960 São Félix do Piauí";-;-;-;-;-;-;1;-;-;-;1;-;2
"220970 São Francisco do Piauí";-;-;-;-;-;-;-;-;-;-;-;1;1
"220980 São Gonçalo do Piauí";-;-;-;-;-;-;-;-;-;1;-;-;1
"220990 São João da Serra";-;-;-;-;-;-;1;-;-;-;-;-;1
"221039 São Miguel do Fidalgo";-;-;-;-;-;-;-;-;-;-;1;-;1
"221040 São Miguel do Tapuio";-;-;-;1;-;-;-;-;-;-;-;-;1
"221060 São Raimundo Nonato";1;-;-;-;-;1;-;-;1;-;-;-;3
"221063 Sebastião Leal";-;-;-;-;-;-;-;1;-;-;-;-;1
"221065 Sigefredo Pacheco";-;-;-;-;1;-;-;-;-;-;-;-;1
"221070 Simões";1;-;-;1;-;-;-;-;-;-;-;-;2
"221080 Simplício Mendes";-;-;-;-;1;-;1;-;-;-;-;-;2
"221097 Tanque do Piauí";-;-;-;-;-;-;-;-;1;-;-;-;1
"221100 Teresina";8;5;4;5;4;5;4;6;5;7;6;5;64
"221110 União";1;-;-;-;-;-;-;-;-;-;1;-;2
"221120 Uruçuí";-;-;-;-;1;-;-;-;-;-;-;1;2
"221130 Valença do Piauí";-;1;-;-;-;1;-;-;-;-;-;-;2
"221150 Vera Mendes";-;-;-;-;-;-;-;-;-;-;1;-;1
"221160 Vila Nova do Piauí";-;-;-;-;1;-;-;-;-;-;-;-;1
"230015 Acarape";-;-;-;-;-;1;-;-;-;-;-;-;1
"230020 Acaraú";-;2;-;-;1;-;-;-;1;1;-;-;5
"230030 Acopiara";-;-;-;-;-;-;1;-;-;1;-;-;2
"230040 Aiuaba";-;-;-;-;-;-;-;1;-;-;-;-;1
"230050 Alcântaras";-;-;-;-;1;-;-;1;-;-;-;-;2
"230070 Alto Santo";1;-;1;-;-;-;-;-;1;-;-;-;3
"230075 Amontada";1;-;-;-;-;-;-;-;-;-;-;-;1
"230080 Antonina do Norte";1;-;-;-;-;-;-;-;-;-;-;-;1
"230100 Aquiraz";1;-;1;2;-;1;-;-;-;-;-;1;6
"230110 Aracati";-;-;-;-;-;-;-;1;-;-;-;-;1
"230120 Aracoiaba";-;-;-;-;-;-;1;-;-;1;2;-;4
"230125 Ararendá";-;-;1;-;-;-;-;-;-;-;-;-;1
"230140 Aratuba";-;-;-;1;-;-;-;-;-;-;1;-;2
"230160 Assaré";1;-;-;-;-;1;1;-;-;-;-;-;3
"230170 Aurora";-;-;-;-;-;-;-;-;2;-;1;-;3
"230185 Banabuiú";-;-;-;1;-;1;-;1;-;-;-;-;3
"230190 Barbalha";1;-;-;-;-;-;-;-;-;-;1;-;2
