"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Total"
"110150 Seringueiras";1;-;1;-;-;-;-;-;-;-;-;2
"110155 Teixeirópolis";-;-;-;-;1;-;-;-;-;-;1;2
"110160 Theobroma";-;-;-;-;-;-;-;-;-;1;-;1
"110170 Urupá";-;-;-;1;-;-;-;-;-;1;-;2
"110175 Vale do Anari";-;-;1;1;-;-;-;-;1;-;-;3
"110180 Vale do Paraíso";-;-;-;-;3;3;-;-;-;1;1;8
"110030 Vilhena";2;8;6;9;1;6;6;4;4;6;5;57
"120001 Acrelândia";-;2;1;-;-;-;-;3;-;1;1;8
"120005 Assis Brasil";-;-;-;-;-;-;2;-;-;-;2;4
"120010 Brasiléia";-;-;1;2;1;1;-;-;1;2;-;8
"120013 Bujari";-;-;-;-;3;1;-;-;-;-;-;4
"120017 Capixaba";-;-;-;-;-;-;2;-;-;-;-;2
"120020 Cruzeiro do Sul";-;-;-;-;-;1;-;3;4;10;4;22
"120030 Feijó";-;-;-;1;-;-;-;-;1;-;-;2
"120032 Jordão";-;-;-;1;-;-;-;-;-;1;-;2
"120033 Mâncio Lima";-;-;-;-;-;-;-;1;1;-;2;4
"120034 Manoel Urbano";1;-;-;1;-;1;3;2;1;1;-;10
"120038 Plácido de Castro";-;1;2;-;2;-;3;1;3;1;-;13
"120080 Porto Acre";-;1;-;1;-;-;-;2;1;1;1;7
"120039 Porto Walter";-;-;-;-;-;-;-;-;-;1;-;1
"120040 Rio Branco";38;24;43;68;56;53;68;50;59;77;54;590
"120050 Sena Madureira";1;-;5;1;4;2;2;4;1;-;4;24
"120045 Senador Guiomard";-;3;3;1;1;-;2;1;1;-;2;14
"120060 Tarauacá";-;-;-;-;-;-;-;2;1;2;2;7
"120070 Xapuri";-;-;-;-;-;-;-;-;2;1;1;4
"130002 Alvarães";-;-;-;-;-;-;-;-;-;1;-;1
"130006 Amaturá";-;-;-;-;-;1;-;-;-;-;-;1
"130010 Anori";-;-;-;-;-;1;2;1;-;-;-;4
"130014 Apuí";-;-;-;-;-;-;-;4;1;2;1;8
"130030 Autazes";-;3;-;3;2;2;1;-;5;8;6;30
"130040 Barcelos";-;-;-;-;-;1;-;-;4;4;-;9
"130050 Barreirinha";-;2;1;-;-;-;-;2;2;4;-;11
"130060 Benjamin Constant";-;-;-;1;-;-;2;1;1;1;2;8
"130063 Beruri";-;-;-;1;1;-;-;1;4;1;1;9
"130068 Boa Vista do Ramos";-;4;-;-;1;-;-;-;-;2;-;7
"130070 Boca do Acre";-;-;-;-;-;2;-;1;1;-;-;4
"130080 Borba";-;1;2;-;3;3;5;5;4;8;5;36
"130083 Caapiranga";-;-;-;-;-;-;1;1;1;1;-;4
"130090 Canutama";-;-;-;-;1;-;-;-;-;-;-;1
"130100 Carauari";-;-;2;-;-;1;1;-;-;-;-;4
"130110 Careiro";2;1;-;-;4;8;-;2;12;-;5;34
"130115 Careiro da Várzea";-;-;-;-;1;3;-;-;-;-;3;7
"130120 Coari";1;2;1;-;1;1;-;1;8;4;10;29
"130130 Codajás";-;-;-;-;-;-;1;1;-;1;-;3
"130140 Eirunepé";-;-;-;-;-;-;-;-;1;1;-;2
"130150 Envira";-;-;-;-;-;-;1;-;-;-;-;1
"130160 Fonte Boa";-;3;-;-;1;1;-;1;1;8;-;15
"130170 Humaitá";2;5;2;1;7;4;7;5;1;7;7;48
"130180 Ipixuna";-;-;-;-;-;-;-;-;-;-;1;1
"130185 Iranduba";8;4;1;3;2;4;5;15;10;5;7;64
"130190 Itacoatiara";16;8;8;4;17;18;25;27;11;24;22;180
"130200 Itapiranga";-;-;-;-;-;-;-;-;-;1;-;1
"130210 Japurá";-;-;-;-;-;-;2;-;-;-;-;2
"130220 Juruá";-;-;-;1;-;-;-;-;-;-;1;2
"130230 Jutaí";-;-;-;-;-;-;-;-;-;2;6;8
"130240 Lábrea";-;-;-;-;-;3;-;-;2;-;12;17
"130250 Manacapuru";8;4;6;9;8;22;13;14;12;7;17;120
"130255 Manaquiri";-;-;-;-;2;3;-;-;2;-;-;7
"130260 Manaus";699;976;892;775;1009;1136;1182;1257;1185;1231;1265;11607
"130270 Manicoré";1;3;1;1;4;4;4;2;2;-;2;24
"130290 Maués";2;-;4;4;-;3;11;1;6;7;1;39
"130300 Nhamundá";-;-;-;-;2;-;-;-;1;3;3;9
"130310 Nova Olinda do Norte";-;-;-;-;1;2;1;2;10;7;3;26
"130320 Novo Airão";-;-;-;-;-;1;3;2;1;2;6;15
"130330 Novo Aripuanã";-;-;-;-;-;-;1;-;1;-;1;3
"130340 Parintins";2;5;2;8;4;5;3;4;6;14;12;65
"130353 Presidente Figueiredo";2;4;11;3;1;2;17;18;27;19;14;118
"130356 Rio Preto da Eva";-;9;7;10;3;3;3;4;11;9;6;65
"130370 Santo Antônio do Içá";-;1;-;-;5;1;-;-;-;2;2;11
"130380 São Gabriel da Cachoeira";-;-;-;-;-;-;1;-;-;1;1;3
"130390 São Paulo de Olivença";-;1;-;-;-;-;4;-;1;-;-;6
"130395 São Sebastião do Uatumã";-;-;2;-;-;-;-;3;-;-;-;5
"130400 Silves";1;1;-;-;-;-;-;-;-;-;-;2
"130406 Tabatinga";-;1;1;2;-;2;2;7;5;4;-;24
"130410 Tapauá";-;-;-;-;-;-;-;-;2;-;1;3
"130420 Tefé";3;6;7;8;5;4;12;4;8;5;14;76
"130423 Tonantins";-;-;-;-;-;2;1;-;-;-;-;3
"130426 Uarini";-;-;1;-;4;-;-;-;-;-;-;5
"130430 Urucará";-;-;-;-;-;-;-;-;-;1;2;3
"130440 Urucurituba";-;-;-;-;-;2;-;2;1;1;1;7
"140005 Alto Alegre";-;-;1;2;2;2;1;-;3;4;-;15
"140002 Amajari";1;-;1;2;-;2;-;-;-;-;1;7
"140010 Boa Vista";107;133;150;114;131;116;87;116;147;132;154;1387
"140015 Bonfim";1;-;-;2;-;1;1;1;-;1;1;8
"140017 Cantá";1;-;4;3;3;2;1;4;1;3;1;23
"140020 Caracaraí";-;4;4;3;4;2;1;-;1;2;1;22
"140023 Caroebe";-;1;-;2;-;1;1;-;-;-;5;10
"140028 Iracema";-;-;-;-;-;2;-;1;-;-;6;9
"140030 Mucajaí";-;2;-;1;2;5;4;4;4;1;2;25
"140040 Normandia";-;-;1;-;-;-;-;-;-;1;1;3
"140045 Pacaraima";1;4;4;2;-;1;2;2;2;3;4;25
"140047 Rorainópolis";-;2;6;1;1;2;2;4;2;6;3;29
"140050 São João da Baliza";2;-;4;-;-;-;-;1;-;-;4;11
"140060 São Luiz";-;-;1;1;-;-;-;-;1;2;-;5
"140070 Uiramutã";-;-;-;-;-;-;-;-;-;1;-;1
"150010 Abaetetuba";10;10;9;6;9;8;3;4;3;12;5;79
"150020 Acará";2;2;1;1;-;1;-;2;6;-;2;17
"150034 Água Azul do Norte";-;-;-;1;-;-;-;-;-;-;-;1
"150040 Alenquer";-;-;-;-;-;-;1;3;2;3;2;11
"150050 Almeirim";-;1;1;-;-;2;2;-;-;-;3;9
"150060 Altamira";1;-;-;-;-;-;1;1;5;5;1;14
"150070 Anajás";1;1;2;-;1;-;-;-;4;-;-;9
"150080 Ananindeua";84;104;86;77;67;69;81;85;63;84;59;859
"150090 Augusto Corrêa";-;1;-;-;-;-;1;-;3;2;-;7
"150095 Aurora do Pará";-;-;-;-;-;2;2;1;1;1;-;7
"150110 Bagre";1;-;1;-;-;-;1;-;-;1;1;5
"150120 Baião";-;-;2;-;2;1;1;-;2;2;2;12
"150125 Bannach";1;-;-;-;-;-;-;-;-;-;-;1
"150130 Barcarena";5;10;5;8;5;5;6;6;17;11;8;86
"150140 Belém";435;459;397;351;271;288;349;364;384;386;371;4055
"150145 Belterra";-;-;4;1;-;-;-;5;-;2;-;12
"150150 Benevides";5;4;4;3;6;3;10;13;13;9;11;81
"150160 Bonito";-;1;-;-;-;-;-;-;-;-;1;2
"150170 Bragança";8;5;6;6;3;5;5;7;3;2;1;51
"150178 Breu Branco";2;1;1;-;-;1;5;7;1;3;3;24
"150180 Breves";1;2;2;4;-;-;1;-;3;1;11;25
"150190 Bujaru";1;3;6;1;1;-;2;4;2;9;3;32
"150200 Cachoeira do Arari";1;3;1;1;-;-;-;-;-;-;2;8
"150195 Cachoeira do Piriá";3;-;1;-;-;-;2;1;-;2;-;9
"150210 Cametá";2;3;4;-;1;1;1;3;-;2;2;19
"150215 Canaã dos Carajás";-;1;3;2;-;-;-;-;-;-;1;7
"150220 Capanema";3;1;3;3;2;-;4;3;3;6;2;30
"150230 Capitão Poço";-;1;-;-;-;3;1;4;-;-;3;12
"150240 Castanhal";10;21;6;10;4;5;4;3;3;10;4;80
"150250 Chaves";-;-;-;-;-;-;-;-;3;-;-;3
"150260 Colares";-;2;1;-;2;1;1;-;-;4;1;12
"150270 Conceição do Araguaia";3;-;-;1;2;-;-;-;-;-;1;7
"150275 Concórdia do Pará";-;1;1;-;1;1;4;-;1;1;2;12
"150276 Cumaru do Norte";-;1;-;-;-;-;1;-;-;-;-;2
"150277 Curionópolis";1;2;-;-;-;2;-;-;-;-;4;9
"150280 Curralinho";1;1;-;-;-;1;-;1;-;1;1;6
"150285 Curuá";-;-;-;-;-;-;-;5;-;-;-;5
"150290 Curuçá";-;1;5;4;1;-;1;1;1;-;2;16
"150293 Dom Eliseu";6;4;2;2;-;-;2;-;-;1;1;18
"150295 Eldorado do Carajás";1;2;2;3;-;1;1;-;1;1;4;16
"150304 Floresta do Araguaia";-;3;6;-;3;-;5;1;-;-;-;18
"150307 Garrafão do Norte";-;-;-;1;-;-;-;-;1;-;2;4
"150309 Goianésia do Pará";-;-;4;2;-;-;1;3;2;-;2;14
"150310 Gurupá";-;-;1;1;2;1;1;2;-;1;1;10
"150320 Igarapé-Açu";1;2;2;2;-;1;1;2;-;2;-;13
"150330 Igarapé-Miri";-;2;1;1;-;3;2;4;2;3;2;20
"150340 Inhangapi";-;-;-;-;-;1;1;-;-;-;1;3
"150345 Ipixuna do Pará";6;1;1;1;2;-;2;2;-;2;3;20
"150350 Irituia";-;3;-;-;-;-;-;4;-;3;-;10
"150360 Itaituba";1;1;3;-;2;4;7;15;12;9;7;61
"150370 Itupiranga";1;-;-;-;1;-;-;-;-;-;1;3
"150375 Jacareacanga";2;-;-;-;-;-;-;6;4;2;2;16
"150380 Jacundá";3;-;-;1;-;-;-;2;-;-;1;7
"150390 Juruti";-;-;1;-;-;-;-;1;-;4;7;13
"150400 Limoeiro do Ajuru";-;-;1;2;-;-;-;-;-;-;-;3
"150405 Mãe do Rio";1;-;3;2;1;1;7;2;1;2;5;25
"150410 Magalhães Barata";-;-;-;-;-;-;-;-;-;1;1;2
"150420 Marabá";4;6;2;6;5;7;13;5;4;6;9;67
"150430 Maracanã";1;1;-;1;-;1;1;1;3;2;2;13
"150440 Marapanim";6;2;1;2;1;1;-;2;1;-;-;16
"150442 Marituba";13;14;18;13;14;17;23;18;22;23;15;190
"150445 Medicilândia";-;-;-;-;-;-;-;1;-;-;-;1
"150460 Mocajuba";-;2;1;-;-;1;-;-;-;-;-;4
"150470 Moju";1;3;3;-;2;1;1;1;4;4;6;26
"150475 Mojuí dos Campos";-;-;-;-;-;-;-;-;1;-;-;1
"150480 Monte Alegre";-;-;-;2;-;2;-;2;-;9;5;20
"150490 Muaná";1;-;2;-;1;1;4;1;2;1;2;15
"150495 Nova Esperança do Piriá";-;-;-;-;-;-;-;-;-;-;1;1
"150500 Nova Timboteua";2;-;-;-;-;-;-;-;-;-;-;2
"150503 Novo Progresso";1;-;2;2;-;3;4;6;4;2;2;26
"150506 Novo Repartimento";2;3;-;-;-;1;5;3;6;-;4;24
"150510 Óbidos";1;-;2;1;1;1;2;9;3;6;5;31
"150520 Oeiras do Pará";-;1;1;-;1;-;-;-;-;2;2;7
"150530 Oriximiná";-;-;-;1;1;-;5;3;2;7;-;19
"150540 Ourém";-;-;-;1;-;-;-;-;-;-;-;1
"150543 Ourilândia do Norte";-;1;1;1;1;-;1;-;1;-;-;6
"150548 Pacajá";-;-;-;1;-;2;1;1;2;1;2;10
"150550 Paragominas";6;5;7;5;4;-;1;6;4;11;10;59
"150553 Parauapebas";10;14;8;5;6;6;4;2;4;11;12;82
"150555 Pau D'Arco";2;-;-;-;-;-;-;-;1;-;-;3
"150560 Peixe-Boi";-;1;-;-;1;-;-;-;1;-;-;3
"150563 Piçarra";-;1;-;-;1;3;1;-;-;1;-;7
"150565 Placas";-;-;-;-;-;-;-;2;-;-;-;2
"150570 Ponta de Pedras";-;2;4;3;5;-;1;-;3;5;3;26
"150580 Portel";8;-;-;-;-;-;-;-;-;-;1;9
"150590 Porto de Moz";-;-;-;-;1;-;-;2;-;-;-;3
"150600 Prainha";-;1;-;-;-;-;-;1;3;1;-;6
"150610 Primavera";1;1;1;-;2;2;1;3;4;-;1;16
"150611 Quatipuru";-;-;-;-;-;1;-;-;-;2;2;5
"150613 Redenção";9;17;27;14;6;4;2;2;3;4;8;96
"150616 Rio Maria";-;-;4;-;-;-;2;-;2;-;-;8
"150618 Rondon do Pará";1;2;-;-;-;1;1;1;-;-;3;9
"150619 Rurópolis";-;-;-;-;1;-;1;1;1;1;8;13
"150620 Salinópolis";2;4;4;2;1;-;3;3;3;5;4;31
"150630 Salvaterra";3;-;1;-;-;-;1;1;6;4;4;20
"150635 Santa Bárbara do Pará";2;-;1;1;1;-;1;2;5;5;5;23
"150640 Santa Cruz do Arari";-;-;-;-;-;-;-;-;-;-;2;2
"150650 Santa Izabel do Pará";3;1;5;3;4;3;12;8;4;7;3;53
"150655 Santa Luzia do Pará";-;-;-;-;-;-;-;3;1;-;1;5
"150658 Santa Maria das Barreiras";-;-;-;-;-;-;-;-;-;2;-;2
"150660 Santa Maria do Pará";5;1;1;2;2;2;1;3;4;2;1;24
"150670 Santana do Araguaia";-;3;2;6;-;-;-;-;-;-;-;11
"150680 Santarém";-;13;20;14;4;18;46;71;66;82;80;414
"150690 Santarém Novo";1;-;-;-;-;2;1;-;-;-;-;4
"150700 Santo Antônio do Tauá";1;-;2;1;5;1;2;6;5;1;3;27
"150710 São Caetano de Odivelas";-;1;5;-;-;-;-;3;2;4;3;18
"150715 São Domingos do Araguaia";1;1;1;-;-;2;-;-;-;-;-;5
"150720 São Domingos do Capim";-;2;4;-;-;-;2;2;1;1;1;13
"150730 São Félix do Xingu";3;5;6;9;3;4;5;4;7;11;-;57
"150740 São Francisco do Pará";-;2;3;-;-;1;-;1;-;-;1;8
"150745 São Geraldo do Araguaia";-;-;4;3;15;11;-;2;8;8;6;57
"150746 São João da Ponta";-;-;-;-;-;-;-;-;1;-;-;1
"150747 São João de Pirabas";1;-;-;-;-;-;-;1;-;2;1;5
"150760 São Miguel do Guamá";8;-;-;2;-;3;2;4;8;14;7;48
"150770 São Sebastião da Boa Vista";2;-;-;1;3;3;-;1;-;1;-;11
"150775 Sapucaia";-;1;2;2;-;-;-;-;-;-;-;5
"150780 Senador José Porfírio";-;-;-;-;-;-;1;-;-;-;-;1
"150790 Soure";1;-;2;2;4;1;3;-;3;2;4;22
"150795 Tailândia";7;5;9;2;1;1;7;1;5;5;4;47
"150796 Terra Alta";-;-;1;1;-;-;-;-;-;-;-;2
"150797 Terra Santa";-;-;-;1;1;-;-;1;2;-;1;6
"150800 Tomé-Açu";-;5;2;5;2;2;5;4;8;10;3;46
"150803 Tracuateua";-;-;2;1;-;-;-;-;2;-;2;7
"150805 Trairão";-;-;-;-;-;1;-;-;1;2;1;5
"150808 Tucumã";4;4;7;1;1;1;-;2;-;2;2;24
"150810 Tucuruí";5;-;-;1;-;-;18;20;14;4;10;72
"150812 Ulianópolis";3;1;3;1;1;-;2;3;1;1;1;17
"150815 Uruará";-;1;1;-;-;-;-;-;-;-;-;2
"150820 Vigia";-;3;4;3;2;3;5;3;9;6;8;46
"150830 Viseu";1;3;1;1;-;1;-;2;-;1;1;11
"150835 Vitória do Xingu";-;-;-;-;-;-;-;-;-;1;-;1
"150840 Xinguara";3;-;6;1;3;2;-;2;1;1;-;19
"160010 Amapá";-;2;-;2;-;-;-;-;1;1;-;6
"160020 Calçoene";1;5;1;2;-;-;-;-;-;-;-;9
"160021 Cutias";1;-;-;-;-;-;-;-;-;-;-;1
"160023 Ferreira Gomes";1;-;-;-;-;-;-;-;-;-;-;1
"160027 Laranjal do Jari";7;2;2;6;-;-;-;-;-;5;-;22
"160030 Macapá";70;32;49;51;7;5;6;1;5;1;15;242
"160040 Mazagão";-;1;-;-;-;-;-;-;-;-;-;1
"160050 Oiapoque";3;1;1;3;-;-;1;-;-;-;-;9
"160053 Porto Grande";1;-;2;1;-;-;-;-;-;-;-;4
"160060 Santana";15;17;10;5;1;1;-;-;1;1;-;51
"160070 Tartarugalzinho";1;-;-;-;-;-;-;-;-;-;-;1
"160080 Vitória do Jari";-;-;1;-;-;-;-;-;-;-;-;1
"170030 Aguiarnópolis";-;1;2;1;5;5;1;2;1;7;5;30
"170035 Aliança do Tocantins";-;-;-;-;-;-;-;-;-;-;1;1
"170070 Alvorada";-;-;1;-;-;-;1;1;-;-;-;3
"170100 Ananás";2;1;1;-;-;-;9;1;-;4;1;19
"170105 Angico";-;-;-;-;1;-;-;-;-;-;-;1
"170130 Aragominas";-;-;1;-;-;3;-;-;-;1;1;6
"170190 Araguacema";-;1;-;4;-;-;-;-;-;-;-;5
"170210 Araguaína";23;48;88;123;77;78;61;66;84;127;78;853
"170215 Araguanã";-;-;-;2;-;1;-;1;-;-;-;4
"170220 Araguatins";2;2;8;6;4;10;3;6;6;10;10;67
"170230 Arapoema";-;2;-;2;2;2;-;2;2;1;5;18
"170255 Augustinópolis";1;-;1;7;3;3;2;2;1;7;1;28
"170290 Axixá do Tocantins";-;-;1;-;3;-;-;-;3;2;3;12
"170300 Babaçulândia";4;1;3;3;1;3;4;-;-;4;1;24
"170305 Bandeirantes do Tocantins";-;-;1;-;-;-;-;-;-;-;-;1
"170307 Barra do Ouro";-;-;-;-;-;-;-;3;-;-;-;3
"170310 Barrolândia";-;1;-;-;-;-;-;-;-;-;-;1
"170320 Bernardo Sayão";1;-;2;-;-;-;-;-;-;1;3;7
"170360 Brasilândia do Tocantins";5;5;4;2;-;-;-;-;-;7;7;30
"170380 Buriti do Tocantins";-;-;-;-;-;1;-;-;2;4;-;7
"170382 Cachoeirinha";-;-;-;-;-;-;-;1;-;-;-;1
"170384 Campos Lindos";2;-;3;-;-;-;-;2;2;4;-;13
"170388 Carmolândia";-;-;-;-;-;1;-;-;-;2;-;3
"170550 Colinas do Tocantins";7;4;2;10;4;6;12;12;5;10;15;87
"171670 Colméia";-;-;-;-;-;-;-;-;5;1;-;6
"170600 Couto Magalhães";-;-;-;-;1;-;-;-;1;3;1;6
"170650 Darcinópolis";1;-;-;-;2;3;1;3;-;3;4;17
"170700 Dianópolis";-;-;-;1;-;-;-;-;-;-;-;1
"170720 Dois Irmãos do Tocantins";-;-;-;-;-;-;-;-;-;2;-;2
"170740 Esperantina";-;1;-;2;-;-;-;1;-;-;1;5
"170770 Filadélfia";-;-;-;-;-;-;4;1;-;1;4;10
"170820 Formoso do Araguaia";-;-;-;-;-;-;-;-;-;1;1;2
"170825 Fortaleza do Tabocão";-;-;-;-;-;-;-;1;1;-;-;2
"170830 Goianorte";1;-;1;-;-;-;-;-;-;-;-;2
"170900 Goiatins";1;4;3;-;-;-;-;-;-;-;-;8
"170930 Guaraí";4;6;8;2;3;1;1;4;5;4;4;42
"170950 Gurupi";-;-;2;2;1;-;2;2;1;1;1;12
"171050 Itacajá";-;-;-;-;-;1;1;-;-;-;-;2
"171070 Itaguatins";-;-;-;-;-;-;-;-;-;1;-;1
"171110 Itaporã do Tocantins";-;-;-;-;-;-;1;-;-;-;-;1
"171245 Luzinópolis";-;-;-;1;-;-;-;-;2;3;1;7
"171250 Marianópolis do Tocantins";-;-;-;-;-;-;-;-;1;-;-;1
"171320 Miracema do Tocantins";-;-;-;-;-;1;-;-;-;1;1;3
"171430 Nazaré";-;-;-;-;-;-;1;-;-;-;-;1
"171488 Nova Olinda";-;2;7;4;-;-;1;1;3;2;1;21
"172100 Palmas";4;1;2;4;-;-;5;1;1;3;1;22
"171570 Palmeirante";-;-;6;2;-;-;-;6;3;-;2;19
"171380 Palmeiras do Tocantins";-;-;1;-;4;-;1;-;-;-;1;7
"171610 Paraíso do Tocantins";-;-;-;-;-;-;1;-;1;-;-;2
"171630 Pau D'Arco";-;-;-;4;-;-;-;1;1;-;1;7
"171650 Pedro Afonso";-;-;-;-;-;-;-;1;2;2;1;6
"171665 Pequizeiro";-;-;-;-;1;3;-;-;1;-;3;8
"171720 Piraquê";-;-;-;2;-;-;1;-;-;-;-;3
"171820 Porto Nacional";-;1;-;-;-;-;-;1;-;-;1;3
"171830 Praia Norte";-;1;-;2;-;-;-;-;-;-;1;4
"171840 Presidente Kennedy";1;-;-;2;-;1;-;-;-;-;1;5
"171855 Riachinho";-;-;-;1;1;2;-;1;-;-;2;7
"171880 Sampaio";-;-;-;-;-;1;2;2;1;1;1;8
"171886 Santa Fé do Araguaia";-;-;1;-;1;1;1;-;-;-;2;6
"171888 Santa Maria do Tocantins";-;-;-;-;-;-;-;-;-;1;-;1
"171900 Santa Tereza do Tocantins";-;-;-;-;-;-;-;1;-;-;-;1
"172000 Santa Terezinha do Tocantins";-;1;-;-;-;-;-;-;-;-;-;1
"172010 São Bento do Tocantins";-;-;1;-;-;-;-;-;1;-;-;2
"172015 São Félix do Tocantins";-;1;2;-;-;-;-;-;-;-;-;3
"172020 São Miguel do Tocantins";-;-;-;-;-;-;-;-;-;2;4;6
"172030 São Sebastião do Tocantins";2;-;-;-;-;-;1;3;-;-;3;9
"172080 Sítio Novo do Tocantins";-;-;-;-;4;-;-;1;-;-;-;5
"172090 Taguatinga";-;-;-;-;-;-;-;-;-;-;1;1
"172120 Tocantinópolis";2;2;3;9;-;2;5;-;3;3;5;34
"172208 Wanderlândia";2;7;9;5;6;3;1;6;3;2;6;50
"172210 Xambioá";1;4;-;4;-;2;10;8;5;10;5;49
"210005 Açailândia";16;42;11;2;2;-;1;6;4;1;3;88
"210010 Afonso Cunha";-;-;-;2;-;1;1;-;2;1;-;7
"210015 Água Doce do Maranhão";-;1;-;-;-;-;-;-;-;-;-;1
"210020 Alcântara";-;1;1;-;-;-;-;-;-;1;1;4
"210030 Aldeias Altas";1;1;2;2;3;3;2;2;1;2;-;19
"210040 Altamira do Maranhão";-;-;1;-;-;-;-;-;2;1;-;4
"210043 Alto Alegre do Maranhão";9;7;6;4;3;1;7;6;4;2;-;49
"210055 Amapá do Maranhão";-;-;1;1;-;-;-;-;-;-;-;2
"210060 Amarante do Maranhão";5;-;-;-;-;-;-;-;-;-;-;5
"210070 Anajatuba";1;-;-;-;-;-;-;-;-;2;-;3
"210080 Anapurus";-;2;1;-;-;1;-;-;2;-;-;6
"210083 Apicum-Açu";-;-;-;-;-;1;-;-;1;1;1;4
"210087 Araguanã";-;1;2;1;1;1;-;-;-;-;-;6
"210090 Araioses";-;2;1;1;-;-;-;-;-;-;-;4
"210095 Arame";-;-;-;-;-;-;-;-;-;-;1;1
"210100 Arari";1;1;1;3;1;1;-;-;1;-;2;11
"210110 Axixá";-;-;1;-;2;2;1;-;-;-;-;6
"210120 Bacabal";18;6;9;8;9;7;13;18;18;18;10;134
"210125 Bacabeira";-;1;-;2;-;-;-;-;-;-;1;4
"210130 Bacuri";1;1;2;-;-;1;-;-;5;1;-;11
"210135 Bacurituba";-;1;-;1;-;-;-;-;-;-;1;3
"210140 Balsas";1;6;3;2;-;-;1;2;-;4;2;21
"210150 Barão de Grajaú";-;1;-;-;-;1;-;-;1;2;1;6
"210160 Barra do Corda";2;5;15;3;5;3;3;9;2;-;1;48
"210170 Barreirinhas";2;-;2;5;1;2;5;5;1;4;2;29
"210177 Bela Vista do Maranhão";-;1;-;-;-;-;-;-;-;-;-;1
"210180 Benedito Leite";-;-;-;1;-;-;-;-;-;-;-;1
"210190 Bequimão";-;-;-;-;-;-;1;-;-;-;-;1
"210197 Boa Vista do Gurupi";-;-;-;-;1;-;-;1;-;-;-;2
"210200 Bom Jardim";-;3;1;2;-;1;-;-;1;3;-;11
"210203 Bom Jesus das Selvas";2;1;1;-;-;-;-;-;-;-;-;4
"210207 Bom Lugar";1;1;1;-;1;-;-;-;1;-;-;5
"210210 Brejo";1;-;-;1;1;1;-;2;-;-;1;7
"210215 Brejo de Areia";1;-;-;-;-;-;-;-;1;-;-;2
"210220 Buriti";-;-;-;2;1;-;-;-;-;1;-;4
"210230 Buriti Bravo";-;-;1;-;-;2;-;1;2;-;-;6
"210232 Buriticupu";5;13;4;2;2;1;1;1;2;3;1;35
"210235 Buritirana";-;-;1;-;-;-;-;-;-;-;1;2
"210250 Cajari";-;-;-;-;2;-;-;-;-;-;-;2
