"Município";"2007/Fev";"2007/Mai";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"Total"
"291580 Itambé";-;-;-;-;-;-;-;4;-;2;4;4;6;1;5;3;5;2;4;2;6;7;5;3;2;-;1;5;4;10;6;6;7;5;2;3;3;4;1;3;-;3;-;2;3;-;-;1;2;2;1;-;1;-;-;3;3;2;3;2;-;-;2;1;-;-;-;1;-;1;1;2;6;-;3;1;2;-;1;2;12;-;9;23;21;13;17;18;19;26;11;18;7;15;7;7;9;14;15;7;7;4;18;8;18;10;2;11;13;12;8;7;9;2;-;1;5;4;6;4;2;5;8;7;8;6;2;2;3;3;5;8;6;4;2;5;4;2;4;1;1;6;3;2;1;-;1;1;7;3;-;1;2;5;-;-;-;713
"291590 Itanagra";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"291600 Itanhém";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"291610 Itaparica";-;-;-;-;-;-;-;-;-;-;-;3;-;2;1;2;4;2;3;1;-;-;-;1;2;3;1;-;2;-;1;-;2;2;1;-;-;-;1;1;2;1;2;1;3;-;-;1;1;-;-;-;-;1;2;-;1;1;1;-;2;1;-;-;-;2;-;-;1;2;-;-;-;-;-;-;2;1;2;-;1;1;2;1;-;2;-;1;1;1;1;1;2;2;1;4;-;-;1;2;-;-;-;-;-;1;-;2;-;-;-;1;2;1;4;2;2;2;1;1;-;-;2;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;116
"291620 Itapé";-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"291630 Itapebi";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;2;2;-;-;5;3;-;2;3;-;1;2;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;32
"291640 Itapetinga";-;-;-;-;-;-;-;1;1;1;-;-;-;-;1;-;1;-;1;2;1;-;1;1;-;1;3;1;-;-;1;1;1;1;1;1;3;3;2;-;1;1;-;2;3;-;-;2;-;-;2;1;2;1;2;3;6;1;-;1;-;2;1;3;3;2;-;3;-;-;1;3;1;-;-;-;-;1;2;1;1;1;2;2;2;1;-;1;2;4;2;-;-;4;1;-;-;-;2;-;2;4;3;-;1;-;1;-;2;4;-;2;1;1;3;2;3;1;2;1;-;3;1;-;-;1;2;1;-;-;-;-;1;1;-;1;1;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;154
"291650 Itapicuru";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;-;1;1;2;-;-;-;-;-;-;-;-;-;-;-;2;2;1;-;-;-;1;-;5;1;2;2;-;-;-;-;1;2;1;1;-;-;-;-;1;-;-;-;4;3;-;1;1;1;-;4;4;3;-;-;-;-;1;-;1;5;3;-;-;-;-;-;1;-;-;2;-;1;-;1;-;-;1;-;1;2;1;-;3;1;3;2;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;88
"291660 Itapitanga";-;-;-;-;-;-;2;3;1;3;2;4;4;3;1;4;2;1;2;2;1;-;3;5;3;1;2;1;-;2;-;1;4;1;2;-;-;-;2;-;1;-;-;3;1;-;-;1;-;2;1;-;1;-;-;1;2;1;-;4;1;-;1;1;2;-;-;1;-;-;1;1;1;2;2;-;-;-;1;1;1;-;-;-;2;-;-;-;-;1;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;2;-;1;-;1;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;111
"291670 Itaquara";-;-;-;-;-;-;1;-;-;2;1;-;-;-;-;-;-;1;2;-;-;-;-;1;-;-;1;1;4;-;1;2;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;34
"291680 Itarantim";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;13
"291685 Itatim";-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;1;1;2;1;1;-;2;1;-;-;-;-;-;8;6;3;14;17;8;1;-;1;1;-;1;2;4;-;-;-;-;-;1;2;-;1;3;4;1;3;5;2;5;9;9;2;3;4;2;4;-;-;-;-;1;1;1;-;-;1;-;-;2;-;-;3;2;-;-;2;-;-;2;1;-;1;-;-;-;3;-;1;1;-;1;1;-;-;-;1;2;-;-;1;2;1;1;-;-;5;-;-;2;-;1;-;2;3;-;1;1;3;-;1;-;2;-;-;2;-;-;3;2;2;-;1;1;2;-;1;5;2;4;-;1;-;1;-;1;219
"291690 Itiruçu";-;-;-;-;-;-;-;2;2;5;2;1;2;5;1;2;5;1;5;5;3;1;7;5;3;3;5;2;7;7;2;2;3;7;5;5;-;4;2;1;1;3;2;2;1;-;5;-;1;-;4;1;1;2;1;3;1;3;1;4;1;5;2;7;3;2;2;-;1;-;-;1;1;-;1;1;2;-;-;4;2;1;1;3;3;1;2;1;1;-;-;1;1;1;2;-;-;-;-;1;3;-;2;1;-;-;-;1;2;-;-;1;-;-;-;1;-;-;1;-;-;1;-;1;-;-;2;-;-;-;2;-;-;2;-;-;1;3;-;1;1;2;-;3;-;1;1;4;-;-;2;3;1;1;1;-;1;248
"291700 Itiúba";-;-;-;-;-;-;-;1;1;1;3;1;1;2;2;-;1;1;2;-;-;1;-;-;1;2;1;-;-;1;-;1;2;2;-;-;-;2;3;-;-;-;-;-;-;1;3;2;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;2;-;-;-;-;-;-;1;1;1;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;58
"291710 Itororó";-;-;-;-;-;-;-;2;3;4;3;5;4;2;2;1;4;2;6;7;5;1;1;2;2;6;1;4;1;4;4;4;4;6;5;8;2;4;4;4;4;7;5;6;3;4;4;5;7;1;6;5;3;3;1;3;4;5;4;3;1;-;1;2;3;2;4;1;3;-;2;1;-;1;5;4;7;5;5;1;2;5;6;2;2;1;-;2;4;1;8;2;1;6;3;4;2;3;4;3;5;5;3;-;1;4;7;8;5;5;1;2;-;-;1;1;1;2;3;1;2;-;1;-;1;2;1;-;1;5;2;2;2;2;4;-;1;1;2;2;1;-;2;2;-;-;4;1;3;2;-;-;-;-;-;-;-;410
"291720 Ituaçu";-;-;-;-;-;-;-;8;8;10;4;9;2;5;6;1;2;2;-;6;2;5;3;4;3;2;2;-;2;-;3;2;2;4;-;2;1;1;1;-;-;3;2;3;4;6;1;-;1;2;2;5;3;2;3;3;1;-;7;5;1;3;2;-;2;1;6;1;1;1;-;1;3;5;-;-;-;-;3;1;1;-;-;-;-;1;1;1;1;1;-;3;-;2;3;2;-;1;-;1;3;-;2;2;1;-;-;1;1;-;2;2;1;-;3;-;-;1;-;1;-;-;1;1;-;-;-;-;-;1;2;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;232
"291730 Ituberá";-;-;-;-;-;-;-;2;3;5;-;1;2;2;2;-;1;4;4;2;-;-;1;1;1;4;2;4;6;2;2;1;-;1;2;1;1;2;1;1;2;1;3;4;1;1;2;3;1;-;-;1;-;-;-;-;1;1;2;1;-;-;-;1;-;-;-;-;-;1;2;-;-;-;-;-;-;7;3;2;-;2;1;2;2;5;1;1;9;2;2;1;4;2;2;-;1;2;1;7;5;7;9;4;2;5;5;3;3;2;2;3;7;3;1;3;2;1;4;3;2;4;-;3;1;1;4;3;1;1;-;4;2;1;3;1;-;1;4;3;1;2;1;-;1;1;-;-;-;1;1;-;-;-;-;1;-;270
"291735 Jaborandi";-;-;-;-;-;-;-;2;-;-;3;2;1;2;2;-;3;4;1;-;2;2;1;-;1;2;1;2;5;5;4;3;3;4;2;3;2;2;2;2;7;1;3;-;2;1;3;-;-;-;1;-;1;1;4;2;3;1;1;4;2;1;5;3;2;4;1;-;3;-;-;-;1;1;-;-;3;1;-;2;1;1;2;-;1;1;-;-;1;-;-;1;-;1;-;-;-;-;3;-;-;1;1;-;2;-;-;-;1;-;2;1;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;160
"291740 Jacaraci";-;-;-;-;-;-;2;6;4;1;3;9;7;4;2;5;5;1;3;6;4;7;1;2;2;5;3;5;8;2;5;6;1;1;-;-;2;1;3;1;4;-;1;2;-;1;1;1;-;2;1;-;1;1;-;2;-;2;1;-;1;-;-;1;2;2;1;1;1;3;2;-;1;-;-;-;2;-;1;2;-;1;1;2;-;1;1;-;1;-;3;-;2;1;-;-;-;-;1;1;2;1;-;3;1;1;-;-;-;-;1;1;2;-;1;1;1;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;1;-;-;-;1;1;-;-;-;-;-;-;-;196
"291750 Jacobina";-;-;-;-;1;2;1;13;9;20;16;21;13;13;16;21;16;21;19;18;21;8;7;9;15;11;12;13;21;16;12;19;16;19;22;21;23;18;18;25;19;20;15;15;18;24;20;8;13;18;15;15;12;12;20;14;12;10;11;6;5;11;8;10;8;10;6;8;6;5;9;4;2;1;1;3;1;2;3;2;1;1;2;3;1;3;5;4;3;2;7;6;5;6;3;6;2;3;1;2;3;-;5;8;1;3;-;2;-;1;1;2;2;-;1;-;-;3;2;1;1;-;-;-;-;-;2;-;-;-;1;-;-;-;-;1;-;2;1;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;1060
"291760 Jaguaquara";-;-;-;-;-;-;-;7;6;4;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;2;-;-;4;3;-;8;-;11;9;6;3;5;4;8;7;9;10;12;9;14;18;-;21;11;10;8;16;17;9;8;9;15;10;19;17;22;11;10;8;22;19;9;12;9;9;11;7;8;8;11;-;-;5;4;11;6;3;4;2;11;1;8;11;10;9;1;10;10;18;9;7;17;9;13;24;19;2;1;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;1;1;-;2;-;-;2;2;2;1;-;3;-;2;1;3;-;1;-;1;2;1;3;-;1;1;-;-;-;-;-;-;-;-;-;-;766
"291770 Jaguarari";-;-;-;-;-;-;-;9;-;1;5;1;4;3;4;1;1;6;1;2;4;2;2;1;2;2;1;5;5;-;5;3;7;2;1;-;1;-;-;-;-;1;2;2;4;-;3;2;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;101
"291780 Jaguaripe";-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;-;-;1;-;2;1;-;-;-;-;2;-;-;-;-;-;-;-;3;-;2;2;-;-;-;-;1;1;1;1;-;2;-;-;-;1;-;-;-;-;-;-;2;-;2;1;-;1;1;-;-;1;-;1;2;-;-;1;-;-;-;-;1;1;1;-;-;-;2;-;1;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;1;-;-;1;-;3;2;-;-;1;-;1;-;-;-;-;-;-;2;-;1;-;-;1;-;-;-;-;1;1;1;-;-;-;-;-;64
"291790 Jandaíra";-;-;-;-;-;-;-;2;-;-;-;-;-;1;1;-;1;-;-;-;2;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"291800 Jequié";-;-;-;-;-;-;3;7;15;14;10;12;8;11;12;9;5;8;6;17;8;8;5;8;1;4;5;10;4;14;17;12;14;9;12;13;6;8;8;12;3;8;13;7;3;10;13;11;6;4;11;9;13;14;5;9;6;8;7;4;15;8;5;8;10;9;7;7;9;13;9;5;7;6;7;10;9;5;7;4;3;8;8;8;3;7;6;-;8;7;2;-;1;3;4;2;5;4;3;1;2;2;1;-;-;-;-;-;1;-;-;1;1;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2;-;-;-;-;-;-;1;-;-;1;-;-;-;2;-;1;1;1;-;-;744
"291810 Jeremoabo";-;-;-;-;-;-;2;2;5;7;6;2;6;9;6;3;6;5;4;3;4;2;6;1;3;12;1;2;6;6;1;3;9;9;8;4;3;4;5;2;1;4;4;1;4;6;5;8;3;1;2;1;-;2;-;2;3;4;1;1;-;1;2;1;2;-;-;1;2;2;1;3;1;1;3;1;1;3;4;1;4;2;2;1;3;1;2;3;1;2;-;2;4;-;-;-;3;1;2;4;1;-;2;-;1;1;-;-;1;2;-;2;1;1;1;1;2;2;3;1;1;1;1;1;-;1;1;2;-;-;1;1;-;2;-;-;-;1;1;1;1;-;-;-;-;3;-;-;2;1;1;-;-;-;-;-;2;324
"291820 Jiquiriçá";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;2;-;1;-;2;-;1;-;2;-;1;1;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;1;1;-;1;-;-;-;-;1;-;2;-;3;1;2;-;1;-;1;1;1;2;-;2;3;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;2;1;-;-;-;-;1;-;1;-;-;-;2;1;3;2;6;-;2;1;-;-;-;-;-;1;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;73
"291830 Jitaúna";-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;1;1;-;-;-;-;-;-;1;-;1;2;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;1;2;-;1;2;1;-;-;-;-;-;1;-;1;-;2;2;1;-;-;-;2;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;-;-;1;1;-;-;-;-;-;1;-;-;-;41
"291835 João Dourado";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;2;-;1;2;1;-;2;2;1;1;1;-;-;2;1;-;-;-;-;2;-;2;1;-;2;4;2;1;1;1;-;-;-;1;2;-;-;-;1;-;1;2;-;1;1;1;-;2;2;-;1;-;2;1;-;-;-;2;-;-;-;1;-;1;2;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;68
"291840 Juazeiro";-;-;-;-;-;-;-;25;17;14;18;11;20;21;37;26;28;31;16;12;14;15;20;18;17;17;6;4;11;6;5;5;12;3;7;8;10;4;13;13;4;3;1;1;-;4;2;4;4;2;-;3;3;1;4;3;1;1;2;1;-;2;3;2;1;4;1;2;2;4;5;1;4;5;2;5;6;-;2;1;3;-;3;-;-;1;-;2;2;1;4;2;-;2;-;-;1;-;3;1;2;-;1;-;-;3;-;1;-;1;1;-;1;-;-;1;3;-;1;2;3;1;-;-;-;-;-;2;1;3;2;2;1;-;1;-;3;1;-;-;1;-;-;1;1;1;-;-;1;-;-;-;1;-;-;2;6;656
"291845 Jucuruçu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"291850 Jussara";-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;3;2;-;-;-;1;1;-;2;-;1;-;2;2;1;-;1;2;1;-;2;-;-;-;1;-;-;1;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;1;-;2;-;2;-;-;-;-;2;2;2;1;3;3;1;-;1;-;-;1;1;1;-;1;1;1;-;-;-;1;1;1;-;-;1;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;1;-;1;-;1;-;-;1;1;76
"291855 Jussari";-;-;-;-;-;-;-;1;1;3;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;2;-;4;-;2;1;3;-;-;-;1;1;2;-;1;-;-;2;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41
"291860 Jussiape";-;-;-;-;-;-;-;1;-;-;-;-;-;4;-;3;-;-;-;2;-;1;1;4;-;-;1;2;-;1;1;1;-;1;1;1;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;1;-;-;-;-;1;-;-;-;1;1;-;-;-;1;-;-;-;1;2;1;3;-;-;3;-;1;-;1;1;1;3;-;1;-;-;-;1;1;-;1;-;-;-;1;-;-;1;-;1;1;1;-;-;2;-;-;2;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;70
"291870 Lafaiete Coutinho";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;17
"291875 Lagoa Real";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;-;-;3;-;-;1;1;1;1;1;-;-;2;-;2;1;-;1;1;-;-;-;2;2;-;2;1;1;-;1;-;-;2;1;-;-;1;1;2;-;-;2;-;-;-;-;1;1;1;3;2;-;-;-;1;-;1;-;-;-;-;2;1;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57
"291880 Laje";-;-;-;-;-;-;-;2;1;-;-;2;-;2;-;1;1;1;1;1;-;-;-;1;-;1;1;1;-;-;-;3;2;1;1;3;-;-;-;1;1;1;-;-;1;-;3;-;-;-;-;-;-;-;1;2;-;1;-;-;1;2;-;-;2;1;-;-;1;-;1;-;-;-;-;-;2;1;-;4;1;1;3;-;1;2;1;1;-;1;-;2;-;-;-;-;3;-;1;3;1;1;-;-;-;1;-;-;-;-;1;-;1;-;2;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;85
"291900 Lajedinho";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;17
"291905 Lajedo do Tabocal";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;2;-;5;-;1;-;-;-;1;-;-;1;3;-;3;2;2;1;1;1;1;1;1;1;-;-;1;-;-;3;3;-;2;1;1;1;-;-;-;-;-;-;1;1;-;-;-;-;-;2;3;-;-;1;-;-;1;-;-;-;-;-;-;-;1;2;-;-;-;4;-;-;3;1;1;-;-;-;1;1;-;2;1;1;1;-;-;2;-;1;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;81
