 Morbidade Hospitalar do SUS - por local de residência - Brasil
Internações por Município e Capítulo CID-10
Período:2017
"Município";"Cap 01";"Cap 02";"Cap 03";"Cap 04";"Cap 05";"Cap 06";"Cap 07";"Cap 08";"Cap 09";"Cap 10";"Cap 11";"Cap 12";"Cap 13";"Cap 14";"Cap 15";"Cap 16";"Cap 17";"Cap 18";"Cap 19";"Cap 21";"Total"
"240410 Galinhos";4;1;-;1;-;3;-;-;2;3;6;1;1;-;38;2;1;-;8;-;71
"240420 Goianinha";48;84;8;20;13;18;1;2;82;88;69;25;15;57;414;29;17;16;124;10;1140
"240430 Governador Dix-Sept Rosado";17;72;2;4;20;2;-;-;37;32;59;7;7;9;151;6;3;3;19;-;450
"240440 Grossos";19;32;3;4;1;4;-;-;33;26;32;7;10;9;137;7;2;2;30;2;360
"240450 Guamaré";54;67;6;25;5;8;3;2;56;69;138;45;39;67;263;18;3;7;67;11;953
"240460 Ielmo Marinho";34;44;1;10;6;21;-;-;21;31;35;8;6;19;150;12;2;6;57;6;469
"240470 Ipanguaçu";26;71;3;10;6;13;-;-;52;29;57;14;5;22;246;12;9;8;48;3;634
"240480 Ipueira";9;4;1;1;-;1;-;-;14;9;11;2;2;8;28;-;1;1;7;2;101
"240485 Itajá";12;36;1;15;11;4;1;1;26;40;40;10;4;21;114;13;8;-;25;5;387
"240490 Itaú";29;35;1;3;3;-;-;-;34;38;26;4;16;14;71;3;2;2;14;7;302
"240500 Jaçanã";8;44;2;4;3;5;-;2;12;16;30;7;9;17;83;12;4;6;33;3;300
"240510 Jandaíra";30;13;1;8;11;5;-;-;14;18;15;4;6;7;106;8;5;8;27;2;288
"240520 Janduís";17;32;1;6;1;3;-;-;20;23;31;3;6;19;62;5;1;-;18;-;248
"240530 Januário Cicco";20;29;3;14;2;2;1;-;27;31;19;7;14;25;111;14;3;4;38;5;369
"240540 Japi";25;48;5;5;1;1;-;-;11;15;32;5;-;8;80;9;7;6;45;12;315
"240550 Jardim de Angicos";12;16;1;7;-;1;-;1;6;5;13;4;-;11;39;3;-;-;18;-;137
"240560 Jardim de Piranhas";181;72;12;110;5;12;1;2;60;94;101;12;16;45;146;2;9;8;75;6;969
"240570 Jardim do Seridó";117;95;19;19;11;11;4;1;70;67;108;18;15;62;98;4;2;4;60;2;787
"240580 João Câmara";189;138;11;52;11;24;1;3;100;79;94;34;31;163;549;34;6;20;164;16;1719
"240590 João Dias";17;17;-;-;2;-;-;-;5;22;13;-;1;5;34;5;-;-;5;1;127
"240600 José da Penha";49;26;-;3;-;5;-;1;30;33;18;3;6;26;68;3;-;2;20;7;300
"240610 Jucurutu";131;75;11;49;3;10;1;2;88;97;137;22;15;76;209;11;4;6;84;13;1044
"240615 Jundiá";9;14;-;3;4;5;-;-;9;14;15;3;6;10;54;2;3;1;13;-;165
"240620 Lagoa d'Anta";17;22;1;1;-;6;1;-;14;17;32;3;4;9;84;9;3;11;40;2;276
"240630 Lagoa de Pedras";26;51;3;6;5;10;-;-;22;40;29;14;10;27;105;8;6;-;46;-;408
"240640 Lagoa de Velhos";14;7;-;3;2;2;2;-;11;12;5;4;5;8;39;3;1;1;20;-;139
"240650 Lagoa Nova";41;36;20;18;4;9;-;1;50;60;64;23;5;40;187;10;8;8;69;-;653
"240660 Lagoa Salgada";28;42;-;5;7;11;1;1;20;18;24;17;8;25;106;8;13;7;55;2;398
"240670 Lajes";305;47;7;45;2;8;-;-;38;89;67;97;9;72;120;6;9;8;48;29;1006
"240680 Lajes Pintadas";12;22;1;1;-;3;-;-;14;19;28;4;6;19;82;8;2;3;23;13;260
"240690 Lucrécia";32;18;2;2;6;2;1;-;16;37;43;7;-;14;24;1;1;1;14;2;223
"240700 Luís Gomes";23;49;2;3;-;1;-;-;21;56;60;3;3;17;147;10;6;5;16;9;431
"240710 Macaíba";189;304;16;76;41;46;10;6;164;133;204;102;71;165;1146;71;53;58;407;27;3289
"240720 Macau";47;76;11;41;11;16;5;1;101;83;116;26;25;79;298;14;6;11;123;8;1098
"240725 Major Sales";27;24;-;3;-;1;1;-;10;29;28;1;5;15;41;-;2;5;13;4;209
"240730 Marcelino Vieira";53;66;2;3;1;2;-;-;23;41;38;7;1;16;89;5;2;3;15;8;375
"240740 Martins";27;29;-;19;4;4;2;-;40;39;34;3;5;22;80;3;4;-;26;11;352
"240750 Maxaranguape";43;34;3;10;6;14;4;-;23;27;35;5;16;23;160;14;10;6;50;5;488
"240760 Messias Targino";10;24;-;1;2;2;-;-;10;7;14;1;5;6;63;5;-;1;14;1;166
"240770 Montanhas";19;82;1;13;3;8;3;2;24;33;40;19;12;29;172;24;4;4;65;6;563
"240780 Monte Alegre";66;90;5;25;14;13;2;2;87;61;97;33;19;50;299;25;10;22;102;12;1034
"240790 Monte das Gameleiras";10;6;-;3;-;-;-;-;3;2;20;2;3;10;36;5;-;-;17;1;118
"240800 Mossoró";514;1848;61;147;472;93;9;10;937;682;809;260;115;364;3831;407;55;63;866;29;11572
"240810 Natal";2853;4677;153;1368;827;758;266;69;2738;1877;2737;1942;1085;2012;9962;757;368;674;4686;415;40224
"240820 Nísia Floresta";57;99;6;19;15;23;7;1;63;55;59;36;26;48;398;25;10;34;126;14;1121
"240830 Nova Cruz";128;139;8;31;15;34;4;2;103;86;142;45;25;88;497;25;22;17;181;20;1612
"240840 Olho-d'Água do Borges";9;35;1;2;5;4;-;-;22;11;21;24;4;6;35;3;1;2;16;-;201
"240850 Ouro Branco";12;17;5;11;2;3;1;-;17;6;25;1;-;12;48;-;-;1;35;3;199
"240860 Paraná";24;25;2;2;2;5;-;-;17;16;34;2;1;10;59;6;5;2;16;4;232
"240870 Paraú";3;21;-;-;6;1;-;-;16;2;11;-;2;5;45;3;1;1;10;-;127
"240880 Parazinho";19;20;2;2;3;9;3;-;26;11;13;9;3;13;96;5;4;4;45;1;288
"240890 Parelhas";71;84;11;21;7;24;4;2;72;122;159;23;29;98;308;8;15;14;115;9;1196
"240325 Parnamirim";428;951;48;161;160;136;27;10;456;273;721;242;184;406;2265;245;98;123;878;114;7926
"240910 Passa e Fica";31;44;-;5;1;6;1;1;19;33;72;17;21;40;146;15;11;12;77;11;563
"240920 Passagem";10;19;-;2;-;3;-;-;7;12;20;5;7;7;46;3;-;5;16;-;162
"240930 Patu";44;79;4;2;15;4;1;1;27;37;45;4;6;24;129;6;3;-;46;5;482
"240940 Pau dos Ferros";294;161;8;22;6;7;6;-;137;274;140;24;15;71;412;25;9;9;101;35;1756
"240950 Pedra Grande";8;16;1;4;1;3;-;-;10;5;21;3;3;10;58;4;2;1;11;1;162
"240960 Pedra Preta";12;16;-;6;1;5;-;-;12;8;8;9;-;4;49;5;1;-;9;2;147
"240970 Pedro Avelino";20;19;-;4;8;4;-;-;14;20;14;7;3;17;79;8;3;4;21;3;248
"240980 Pedro Velho";29;63;5;7;5;17;-;1;27;35;42;12;14;29;159;17;9;5;71;4;551
"240990 Pendências";43;71;2;23;1;10;-;-;29;71;82;14;7;40;153;12;5;12;47;2;624
"241000 Pilões";26;22;-;2;2;1;-;-;11;14;26;1;5;11;43;1;1;1;10;1;178
"241010 Poço Branco";28;38;1;12;9;3;-;2;34;35;32;14;3;14;201;14;4;21;65;5;535
"241020 Portalegre";145;57;2;73;3;6;-;4;45;112;172;4;9;34;101;4;1;6;20;5;803
"241025 Porto do Mangue";18;32;1;3;4;3;-;-;13;10;16;9;3;8;100;7;2;-;13;-;242
"241040 Pureza";21;26;1;4;3;5;1;1;20;16;27;6;9;14;155;16;4;4;60;9;402
"241050 Rafael Fernandes";45;42;-;2;1;1;-;-;27;47;29;1;7;14;54;1;2;2;24;9;308
"241060 Rafael Godeiro";50;32;4;2;1;10;-;1;9;16;21;6;-;22;31;3;-;3;6;-;217
"241070 Riacho da Cruz";25;12;-;7;5;2;-;-;21;18;19;2;3;10;26;1;2;10;10;3;176
"241080 Riacho de Santana";19;19;2;3;1;3;-;-;16;33;23;-;8;6;55;-;-;-;6;3;197
"241090 Riachuelo";26;34;1;3;2;6;-;-;13;19;21;-;3;10;79;12;5;4;25;3;266
"240895 Rio do Fogo";48;66;2;9;6;14;1;2;21;33;56;16;11;36;198;8;3;8;49;4;591
"241100 Rodolfo Fernandes";15;14;1;1;2;-;-;-;24;14;9;1;5;7;62;3;1;3;15;3;180
"241110 Ruy Barbosa";4;23;-;4;2;3;1;-;16;10;10;5;1;9;36;7;3;2;13;4;153
"241120 Santa Cruz";128;197;8;34;14;27;3;12;118;187;196;54;28;204;506;62;33;36;245;137;2229
"240933 Santa Maria";11;14;1;-;13;1;1;1;8;5;18;1;5;18;56;5;-;3;16;3;180
"241140 Santana do Matos";48;48;5;8;2;7;2;3;50;60;43;18;10;32;129;7;5;4;75;4;560
"241142 Santana do Seridó";11;25;2;3;-;1;1;-;7;10;18;2;5;13;32;-;1;1;11;3;146
"241150 Santo Antônio";74;248;7;28;10;21;5;1;85;132;236;46;17;109;305;25;8;5;98;9;1469
"241160 São Bento do Norte";5;13;1;1;2;4;1;1;15;10;10;10;4;9;57;4;-;-;36;1;184
"241170 São Bento do Trairí";16;27;1;3;2;2;-;-;18;16;16;3;10;11;53;10;11;2;26;6;233
"241180 São Fernando";18;25;3;6;1;2;1;-;11;17;18;1;6;9;36;1;1;-;13;8;177
"241190 São Francisco do Oeste";23;44;-;1;-;-;1;-;22;30;27;2;3;9;54;2;1;1;15;3;238
"241200 São Gonçalo do Amarante";714;516;16;98;66;83;8;2;228;1047;396;155;78;320;1608;114;58;60;472;64;6103
"241210 São João do Sabugi";16;25;7;13;7;4;1;-;33;27;28;5;3;23;75;2;5;10;27;6;317
"241220 São José de Mipibu";102;156;4;21;22;20;10;8;102;77;132;44;47;99;704;60;27;14;253;18;1920
"241230 São José do Campestre";43;32;6;12;13;6;3;-;37;30;43;29;9;33;131;24;8;5;72;4;540
"241240 São José do Seridó";12;24;3;5;2;2;1;-;15;11;23;3;6;13;50;1;1;3;27;2;204
"241250 São Miguel";122;81;5;21;11;15;-;-;119;123;64;31;8;43;298;12;5;2;74;15;1049
"241255 São Miguel do Gostoso";28;29;-;6;2;5;1;-;17;22;38;11;10;22;178;10;3;12;48;8;450
"241260 São Paulo do Potengi";81;72;8;44;8;5;4;1;88;39;74;22;21;61;188;19;4;8;85;26;858
"241270 São Pedro";21;34;1;15;2;5;-;1;45;7;20;7;6;30;73;7;4;10;32;3;323
"241280 São Rafael";21;55;4;10;-;3;-;-;45;41;21;23;9;30;74;7;1;3;44;6;397
"241290 São Tomé";27;36;1;1;3;10;-;-;24;22;34;7;9;16;109;15;5;5;50;4;378
"241300 São Vicente";13;31;8;11;4;2;2;1;26;58;38;10;4;16;62;5;2;9;24;1;327
"241310 Senador Elói de Souza";17;33;-;7;5;4;-;-;26;20;19;14;3;19;72;12;4;2;57;5;319
"241320 Senador Georgino Avelino";9;16;-;2;-;5;-;1;6;8;7;6;1;17;63;8;2;1;20;2;174
"241030 Serra Caiada";43;44;-;11;4;7;3;1;31;25;41;19;13;18;127;26;7;5;53;15;493
"241330 Serra de São Bento";23;16;-;15;7;3;-;-;67;42;38;8;5;16;88;11;4;3;44;2;392
"241335 Serra do Mel";7;52;-;2;31;3;1;-;42;28;38;6;11;7;188;12;2;2;48;1;481
"241340 Serra Negra do Norte";24;26;12;11;3;3;-;-;36;51;36;9;7;32;82;2;3;6;29;5;377
"241350 Serrinha";11;36;4;12;2;8;-;2;29;28;39;14;1;26;83;9;5;10;28;4;351
"241355 Serrinha dos Pintos";37;31;1;5;8;3;-;4;25;36;21;4;3;12;44;1;2;1;11;4;253
"241360 Severiano Melo";9;40;-;6;1;3;-;-;20;22;22;24;8;12;73;6;2;1;33;2;284
"241370 Sítio Novo";7;26;2;2;2;4;-;-;22;2;8;6;8;15;49;5;1;3;20;5;187
"241380 Taboleiro Grande";23;18;-;3;-;11;-;-;12;27;18;2;8;8;34;-;5;-;26;6;201
"241390 Taipu";30;32;1;10;5;4;2;1;29;28;33;7;12;19;139;13;-;9;68;4;446
"241400 Tangará";35;88;-;22;7;8;1;3;41;28;43;28;11;46;193;26;7;11;83;18;699
"241410 Tenente Ananias";129;104;1;3;4;3;-;-;58;57;42;3;4;30;129;4;4;-;20;10;605
"241415 Tenente Laurentino Cruz";15;30;4;3;-;7;-;1;18;13;49;10;4;19;108;15;3;3;19;2;323
"241105 Tibau";5;25;2;-;3;-;-;-;17;18;28;7;1;13;91;8;3;1;17;-;239
"241420 Tibau do Sul";30;36;-;6;4;10;3;-;40;22;29;21;7;26;205;24;10;8;48;6;535
"241430 Timbaúba dos Batistas";11;12;1;5;-;3;1;-;18;19;19;3;7;17;26;1;-;1;19;4;167
"241440 Touros";97;96;10;40;10;15;2;1;89;98;107;45;31;45;514;47;14;19;174;8;1462
"241445 Triunfo Potiguar";4;22;1;2;1;2;-;-;5;3;7;4;2;7;58;9;-;1;8;-;136
"241450 Umarizal";28;99;5;5;1;3;-;-;34;31;41;3;4;22;116;3;4;6;32;5;442
"241460 Upanema";56;76;3;8;16;1;1;1;35;64;58;23;11;44;184;15;7;4;47;-;654
"241470 Várzea";23;37;2;6;3;2;-;1;12;14;17;11;7;18;64;7;4;2;30;-;260
"241475 Venha-Ver";7;17;-;1;-;1;-;-;6;11;16;-;1;16;41;3;-;-;13;1;134
"241480 Vera Cruz";27;72;1;9;7;9;2;-;37;33;42;30;8;39;168;15;10;8;81;3;601
"241490 Viçosa";17;35;-;3;-;2;-;-;8;18;8;3;2;10;17;-;1;-;6;1;131
"241500 Vila Flor";9;9;1;2;1;-;-;1;6;5;10;2;3;4;63;1;4;4;14;1;140
"250010 Água Branca";27;16;2;10;1;2;-;-;26;36;36;3;3;23;90;7;-;3;26;1;312
"250020 Aguiar";7;16;6;3;5;4;-;-;20;27;9;4;-;10;45;-;2;4;9;-;171
"250030 Alagoa Grande";57;92;2;23;25;5;2;-;49;57;87;12;11;45;350;30;3;20;61;14;945
"250040 Alagoa Nova";103;58;16;52;36;2;2;1;60;128;49;6;13;42;329;29;3;40;62;8;1039
"250050 Alagoinha";53;28;-;12;10;8;-;-;38;54;49;5;23;35;229;7;3;11;71;11;647
"250053 Alcantil";23;28;2;13;6;2;-;-;18;20;30;3;5;12;137;7;-;3;63;2;374
"250057 Algodão de Jandaíra";9;4;2;1;2;1;-;-;7;5;5;1;-;3;53;3;-;1;6;1;104
"250060 Alhandra";41;67;5;14;30;6;4;-;40;55;95;8;7;32;423;27;6;11;86;24;981
"250073 Amparo";11;5;1;1;1;1;-;-;4;7;8;-;1;19;26;3;-;-;6;2;96
"250077 Aparecida";13;10;-;1;-;2;1;-;22;18;14;1;1;10;22;3;-;1;15;1;135
"250080 Araçagi";34;32;-;5;6;5;1;-;44;57;34;7;32;35;191;1;2;14;68;5;573
"250090 Arara";93;17;-;16;20;3;-;-;28;61;24;1;2;27;103;13;-;5;30;8;451
"250100 Araruna";31;39;1;7;20;2;1;-;24;30;35;2;8;18;220;10;1;8;74;13;544
"250110 Areia";58;34;5;12;28;7;1;-;70;82;48;11;4;29;316;30;9;8;51;55;858
"250115 Areia de Baraúnas";11;2;-;-;-;-;-;-;7;5;4;-;-;4;35;-;1;7;4;-;80
"250120 Areial";19;11;3;8;7;4;-;-;23;34;12;3;2;18;118;11;1;4;15;6;299
"250130 Aroeiras";68;51;11;50;24;8;-;1;66;98;52;24;3;46;335;35;4;22;48;10;956
"250135 Assunção";55;10;-;4;5;1;-;-;13;34;22;3;-;11;67;3;-;16;14;-;258
"250140 Baía da Traição";18;14;1;8;8;7;-;-;23;24;28;12;3;10;103;12;2;4;38;6;321
"250150 Bananeiras";130;48;7;32;8;12;2;-;77;146;84;5;19;59;266;13;2;37;82;4;1033
"250153 Baraúna";12;14;2;5;7;2;-;-;18;33;33;3;3;17;70;2;1;6;25;5;258
"250160 Barra de Santa Rosa";45;55;5;7;19;1;-;-;26;45;39;14;2;39;127;16;-;6;48;4;498
"250157 Barra de Santana";21;14;1;14;10;4;1;1;22;42;20;5;3;22;107;7;-;2;20;4;320
"250170 Barra de São Miguel";9;24;1;3;1;3;-;1;16;21;19;1;-;13;80;5;3;4;24;3;231
"250180 Bayeux";323;362;44;120;289;30;4;-;349;510;430;83;34;311;1465;99;22;73;476;83;5107
"250190 Belém";37;38;3;10;14;4;1;-;45;53;133;8;19;62;192;9;4;8;74;8;722
"250200 Belém do Brejo do Cruz";70;33;2;6;-;-;-;-;13;58;27;-;-;23;81;3;3;5;4;-;328
"250205 Bernardino Batista";23;10;6;3;-;-;1;-;14;32;12;-;1;7;48;-;1;2;9;-;169
"250210 Boa Ventura";14;16;5;8;3;2;-;-;19;16;10;2;2;17;80;2;1;6;14;-;217
"250215 Boa Vista";11;15;1;11;12;3;-;-;7;21;9;1;2;19;103;4;-;10;15;3;247
"250220 Bom Jesus";8;11;1;4;-;4;-;-;13;21;16;2;4;10;32;3;1;2;22;2;156
"250230 Bom Sucesso";55;14;-;3;2;-;-;-;20;44;31;5;-;20;47;-;-;8;4;1;254
"250240 Bonito de Santa Fé";74;23;3;8;2;4;-;2;43;100;34;4;9;36;114;-;4;4;38;5;507
"250250 Boqueirão";61;55;4;28;30;6;-;-;48;77;60;22;7;56;219;20;3;15;63;8;782
"250270 Borborema";20;27;-;4;7;2;-;-;14;43;16;3;5;11;77;-;2;9;21;1;262
"250280 Brejo do Cruz";270;29;8;16;4;6;-;1;50;120;74;2;2;93;171;2;-;2;27;8;885
"250290 Brejo dos Santos";446;28;-;7;1;1;-;-;11;260;28;-;2;65;77;3;1;-;4;-;934
"250300 Caaporã";419;38;6;114;20;17;3;1;73;105;94;11;9;58;346;14;5;15;86;26;1460
"250310 Cabaceiras";10;17;1;6;-;1;-;-;17;7;17;1;3;18;46;7;1;3;13;2;170
"250320 Cabedelo";266;171;39;85;100;29;5;3;196;319;234;63;24;179;853;61;16;43;265;60;3011
"250330 Cachoeira dos Índios";33;32;6;11;1;7;-;-;45;52;22;9;3;21;127;-;1;8;40;2;420
"250340 Cacimba de Areia";5;19;-;1;1;2;-;-;7;8;8;1;1;4;46;1;-;4;8;-;116
"250350 Cacimba de Dentro";38;42;4;9;17;3;-;-;27;33;28;6;14;11;192;12;2;14;50;4;506
"250355 Cacimbas";47;14;-;1;2;2;-;-;17;25;27;10;1;12;140;5;-;9;9;-;321
"250360 Caiçara";8;11;2;3;18;2;1;-;17;49;19;2;7;14;89;1;2;2;28;7;282
"250370 Cajazeiras";171;183;27;56;23;23;1;1;255;363;275;33;17;164;694;17;11;82;243;18;2657
"250375 Cajazeirinhas";11;15;-;2;3;1;-;-;9;24;16;2;1;2;45;1;-;-;2;7;141
"250380 Caldas Brandão";15;24;3;13;2;-;-;-;11;18;26;6;3;15;95;6;1;7;21;-;266
"250390 Camalaú";22;23;2;4;2;-;-;-;15;31;13;-;1;6;39;2;3;11;21;-;195
"250400 Campina Grande";2053;1562;205;1176;931;241;35;7;1620;2594;1610;342;190;1578;5478;513;101;375;1108;411;22130
"250403 Capim";11;21;-;9;5;1;-;-;14;9;31;2;1;17;65;7;2;5;26;4;230
"250407 Caraúbas";13;21;-;18;6;1;-;1;13;13;11;1;1;12;30;3;1;2;12;-;159
"250410 Carrapateira";6;1;-;1;1;-;-;-;6;16;3;2;1;3;8;-;-;-;4;1;53
"250415 Casserengue";154;19;1;17;3;2;-;-;41;127;51;1;3;35;92;7;1;3;23;3;583
"250420 Catingueira";10;10;2;4;2;4;-;-;20;8;24;2;-;9;51;1;-;1;9;1;158
"250430 Catolé do Rocha";129;126;7;26;11;8;-;-;85;186;130;3;8;60;438;3;14;10;50;2;1296
"250435 Caturité";9;19;12;9;5;2;-;-;15;19;21;6;3;9;56;4;2;5;13;4;213
"250440 Conceição";72;37;15;26;5;6;-;-;67;140;51;4;2;58;144;4;3;2;55;-;691
"250450 Condado";20;23;1;5;4;8;2;-;39;14;22;5;4;8;67;3;3;1;57;1;287
"250460 Conde";67;54;6;24;41;14;-;2;64;147;100;19;11;66;463;30;5;14;153;21;1301
"250470 Congo";23;28;7;14;2;-;-;-;29;19;29;2;-;23;61;4;1;5;5;3;255
"250480 Coremas";70;47;3;14;5;6;-;-;42;69;24;4;2;63;145;4;2;7;37;97;641
"250485 Coxixola";5;10;-;1;1;-;-;-;7;4;4;1;-;3;14;-;1;3;5;-;59
"250490 Cruz do Espírito Santo";67;52;14;21;18;6;1;2;85;75;99;16;5;86;346;16;-;5;85;11;1010
"250500 Cubati";80;13;2;7;5;1;-;-;24;16;25;2;2;66;112;8;1;4;19;4;391
"250510 Cuité";170;56;6;52;31;9;1;1;112;245;81;25;15;94;245;14;4;5;73;19;1258
"250523 Cuité de Mamanguape";4;16;1;6;11;3;1;-;11;11;17;4;2;21;61;7;1;2;33;2;214
"250520 Cuitegi";17;17;-;7;3;3;-;-;18;43;22;-;12;10;123;3;1;8;31;8;326
"250527 Curral de Cima";3;11;1;1;4;-;2;-;18;3;24;5;5;7;38;4;2;4;28;1;161
"250530 Curral Velho";8;6;-;-;1;-;-;-;5;6;6;-;-;6;29;2;-;3;2;-;74
"250535 Damião";8;12;-;9;1;2;-;-;20;12;13;5;-;7;70;7;1;3;23;1;194
"250540 Desterro";39;21;1;8;7;-;-;-;32;20;35;2;-;15;103;3;-;9;21;-;316
"250560 Diamante";11;30;6;4;2;1;-;-;12;21;17;4;1;12;83;2;-;7;13;3;229
"250570 Dona Inês";11;18;3;1;6;-;2;-;10;23;36;1;17;17;158;4;2;3;53;4;369
"250580 Duas Estradas";13;7;-;3;11;-;-;-;15;18;13;-;8;14;47;2;-;4;17;3;175
"250590 Emas";12;5;-;3;3;-;-;1;6;15;6;2;-;6;33;-;-;1;4;2;99
"250600 Esperança";155;111;42;112;44;30;2;-;174;247;128;38;19;99;429;41;1;27;76;84;1859
"250610 Fagundes";60;30;8;28;12;3;-;-;32;58;27;6;6;27;180;18;7;12;29;5;548
"250620 Frei Martinho";7;20;1;5;2;-;1;-;16;28;9;1;2;11;26;1;-;-;17;2;149
"250625 Gado Bravo";23;13;2;7;8;2;2;1;20;31;23;2;9;24;106;7;1;6;22;2;311
"250630 Guarabira";137;185;16;47;49;23;1;3;145;228;179;24;111;162;776;41;13;37;275;40;2492
"250640 Gurinhém";38;44;3;14;11;5;1;-;30;58;43;10;6;30;159;8;3;5;66;12;546
"250650 Gurjão";7;7;1;5;1;2;-;-;11;3;15;1;-;8;48;1;-;1;12;-;123
"250660 Ibiara";20;18;3;8;5;1;-;-;24;30;29;2;1;25;55;3;2;5;5;8;244
"250260 Igaracy";12;25;7;6;10;-;-;-;29;35;14;7;-;9;47;2;-;8;9;2;222
"250670 Imaculada";12;18;4;8;7;2;-;-;25;16;16;1;-;12;103;5;-;3;21;-;253
"250680 Ingá";589;59;3;68;20;16;-;-;260;418;55;60;6;37;317;24;3;12;48;17;2012
"250690 Itabaiana";62;89;12;30;15;8;4;1;77;123;116;28;7;101;367;18;7;18;125;23;1231
"250700 Itaporanga";69;73;21;19;15;6;1;-;50;141;93;12;7;62;302;8;5;38;42;7;971
"250710 Itapororoca";13;83;2;8;17;8;-;1;41;30;69;9;16;74;139;14;7;8;82;10;631
"250720 Itatuba";53;37;3;12;5;5;-;-;24;43;50;10;4;44;152;18;3;6;33;8;510
"250730 Jacaraú";20;51;-;13;21;5;-;-;24;18;43;5;3;38;155;8;5;8;67;13;497
"250740 Jericó";22;32;2;6;3;1;3;-;20;32;25;2;2;12;96;-;-;-;11;-;269
"250750 João Pessoa";2500;3536;250;1013;1194;409;180;51;3065;5146;3657;807;383;2578;9840;1133;236;556;3913;896;41343
"251365 Joca Claudino";23;2;-;2;-;1;-;-;8;23;12;1;-;8;23;1;-;1;10;1;116
"250760 Juarez Távora";63;29;2;14;14;1;-;-;57;50;30;7;-;8;110;13;-;6;24;8;436
"250770 Juazeirinho";78;51;3;25;12;12;1;-;44;80;47;14;5;37;302;29;2;21;43;11;817
"250780 Junco do Seridó";16;33;1;3;13;1;-;-;18;33;29;2;-;21;88;4;3;1;13;3;282
"250790 Juripiranga";19;34;5;12;15;2;-;-;18;24;33;8;1;34;181;10;4;6;44;12;462
"250800 Juru";8;18;1;5;2;-;-;-;17;15;28;3;1;23;66;2;1;4;20;2;216
"250810 Lagoa";11;12;2;2;-;-;-;-;14;13;20;2;2;10;49;1;-;2;8;5;153
"250820 Lagoa de Dentro";21;17;4;4;10;2;-;-;18;23;30;10;14;11;138;7;7;4;51;4;375
"250830 Lagoa Seca";123;72;11;64;32;17;-;-;79;173;58;33;11;91;401;27;2;19;69;21;1303
"250840 Lastro";56;7;1;1;2;-;-;-;5;14;10;4;3;16;25;1;-;30;4;1;180
"250850 Livramento";73;24;3;11;5;1;-;3;29;46;29;8;5;19;101;6;2;31;19;7;422
"250855 Logradouro";3;6;-;1;2;-;-;-;8;6;9;5;3;14;60;1;-;1;15;1;135
"250860 Lucena";36;25;13;7;13;2;1;-;30;42;47;9;-;42;252;9;1;8;69;7;613
"250870 Mãe d'Água";5;11;-;3;1;-;-;-;8;10;6;-;-;3;31;1;-;-;5;-;84
"250880 Malta";12;39;4;3;3;-;-;-;11;9;9;2;-;2;46;-;-;-;11;1;152
"250890 Mamanguape";85;108;7;24;42;11;10;-;115;89;116;31;11;101;415;39;10;28;212;29;1483
"250900 Manaíra";11;26;7;4;1;3;-;-;24;25;23;3;1;17;91;4;6;1;18;2;267
"250905 Marcação";15;5;2;8;8;2;-;-;18;10;33;6;2;18;103;12;5;8;34;11;300
"250910 Mari";45;91;5;23;20;9;1;1;46;77;83;11;24;52;295;14;9;9;115;25;955
"250915 Marizópolis";6;17;2;4;-;4;-;-;4;15;9;2;1;9;43;2;-;5;16;2;141
"250920 Massaranduba";76;25;11;29;19;8;-;-;46;83;16;5;6;36;184;14;-;9;34;9;610
"250930 Mataraca";11;30;2;3;6;1;3;-;28;14;20;5;3;25;112;21;2;6;33;7;332
"250933 Matinhas";17;27;-;5;6;-;1;-;19;14;8;2;1;12;97;3;1;5;10;4;232
"250937 Mato Grosso";11;11;1;1;3;1;1;-;11;12;6;1;-;2;29;-;-;1;5;-;96
"250939 Maturéia";7;17;1;7;5;-;-;-;14;14;13;4;1;16;85;1;-;2;19;2;208
"250940 Mogeiro";50;41;4;22;8;5;-;-;25;46;46;7;5;36;178;11;5;5;38;6;538
"250950 Montadas";20;22;1;10;12;-;-;-;19;25;4;3;1;9;107;7;3;4;18;6;271
"250960 Monte Horebe";4;9;1;2;1;5;-;-;20;21;16;3;-;9;43;-;2;3;13;3;155
"250970 Monteiro";231;73;14;25;16;10;2;1;90;265;65;7;7;65;171;18;7;109;89;8;1273
"250980 Mulungu";25;13;-;10;7;2;-;-;19;31;35;4;16;13;131;6;2;3;35;6;358
"250990 Natuba";17;17;2;3;10;1;1;-;12;27;16;1;1;7;78;10;-;8;13;1;225
"251000 Nazarezinho";10;16;-;2;1;6;-;-;14;18;17;-;-;8;31;3;1;1;9;1;138
"251010 Nova Floresta";36;40;4;7;9;4;-;-;26;30;30;5;2;15;157;13;5;13;37;18;451
"251020 Nova Olinda";37;20;1;4;7;5;-;-;24;38;22;3;3;19;71;3;2;10;19;-;288
"251030 Nova Palmeira";14;17;1;6;2;-;-;-;20;22;11;5;3;14;50;4;-;2;18;6;195
"251040 Olho d'Água";30;13;5;3;10;6;-;-;19;54;33;3;2;18;89;-;1;9;12;-;307
"251050 Olivedos";5;16;3;3;2;1;-;-;4;20;7;2;2;14;44;7;1;1;12;3;147
"251060 Ouro Velho";13;7;-;1;5;-;-;-;12;9;4;1;2;5;29;-;-;8;9;2;107
"251065 Parari";4;10;-;4;2;1;-;-;10;5;12;2;-;4;20;-;1;2;1;-;78
"251070 Passagem";2;5;-;1;1;2;-;-;1;5;5;-;-;-;31;-;1;1;10;-;65
